scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
chapter_01_scene_01	chapter_01	1	Deliver a laboring woman's child before panic from the evacuation launch infects the hut	Obstructed labor, monsoon heat, and the loudspeaker ordering the island to assemble	The baby arrives just as the amplified notice names Kadam Char for removal	Halima reaches the crisis already carrying fresh proof of what the state is willing to uproot	YES
chapter_01_scene_02	chapter_01	2	Read the notice and understand what the government is demanding	Crowd noise, bureaucratic language, and Aminul's immediate need for local help	Aminul asks Halima to sit with the verification team because no official list makes sense without her	Refusing would risk collective exclusion, so her choice is narrowed before she makes it	NO
chapter_01_scene_03	chapter_01	3	Decide at home whether to keep the ledger hidden	Nura's questions and Halima's memory of why the ledger exists	Halima unwraps the oilcloth notebook and checks the oldest entries	The secret returns to active use and can no longer remain a buried mercy	NO
chapter_02_scene_01	chapter_02	1	Run the first households through verification without public collapse	Contradictory documents, crowd impatience, and Mofiz's queue manipulation	A widow's household stalls over a missing marriage trace	The room learns that one missing line can suspend an entire family's future	NO
chapter_02_scene_02	chapter_02	2	Patch Kashem's file before the discrepancy hardens into accusation	The database father's name conflicts with the homestead chain and Aminul asks for Halima's source	Halima hesitates before naming the registered father aloud	Her pause teaches the crowd that she is hiding more than clerical error	YES
chapter_02_scene_03	chapter_02	3	Contain the rumor after the table closes	Tea-stall gossip, male pride, and opportunists smelling leverage	Halima hears her ledger described as the real registry of the char	Residents begin approaching her privately for protection or advantage	NO
chapter_03_scene_01	chapter_03	1	Restore domestic routine after the first verification day	The looming deadline and Nura's stack of school papers	Nura asks for the father's NID needed to correct her certificates	Breakfast and ordinary chores become impossible cover for delay	NO
chapter_03_scene_02	chapter_03	2	Deflect Nura's questions without provoking open rupture	Nura's persistence and her refusal to treat paperwork as abstract	Nura says she can search for the man herself if Halima will not help	Halima loses control of the timetable around her most personal lie	YES
chapter_03_scene_03	chapter_03	3	Check Nura's entry in the ledger and judge how trapped the household is	Silence, memory, and Halima's own shame	Halima finds the note she made after Saleha's death and sees how little room the record leaves Nura	Delay becomes a choice that now clearly costs the granddaughter	NO
chapter_04_scene_01	chapter_04	1	Give Kashem enough certainty to keep him calm until a better solution appears	His weak land papers and his insistence on immediate clarity	Kashem presses for the father's name to be affirmed in front of others	Halima cannot postpone the identity question without breeding suspicion	NO
