scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
s01_01	chapter_01	1	Carmen completes evening med pass and care routines	Understaffing, resident needs, physical exhaustion of the work	The routine itself reveals institutional dysfunction — shortcuts, thin coverage, the gap between care standards and care reality	Carmen's body absorbs the cost; her exhaustion is not abstract but muscular and specific	NO
s01_02	chapter_01	2	Carmen picks up Reggie from her mother's, manages domestic life	Financial pressure, time scarcity, the narrowness of her margins	The domestic world mirrors the institutional one — precision under constraint, no slack in the system	Carmen's life outside work has no more room than her life inside it	NO
s01_03	chapter_01	3	Carmen administers Harry's evening medications	Harry's flash of cognitive clarity — he corrects her tramadol count	Harry reveals sharp precision then immediately retreats into confusion; Carmen registers the crack but files it away	A hairline fracture in Carmen's understanding of her patients; she sleeps on it rather than acting	NO
s02_01	chapter_02	1	Carmen runs end-of-shift medication count and observes med pass carefully	Count discrepancies (3 oxycodone, 5 alprazolam short); Lola's theatrical pill-taking	The discrepancies exceed charting-error range; Lola's performance is too practiced to be accidental	Carmen documents the count under her name — her liability grows with each documented discrepancy	NO
s02_02	chapter_02	2	Carmen works a double shift and walks the overnight halls	Animated coherent voices in the TV room at 1 AM that go slack when she appears	The sundowning explanation fails — these residents were lucid, organized, and performing on cue	Carmen can no longer explain the anomalies away; her attention is fully locked	YES
s03_01	chapter_03	1	Harry runs the ring's midnight meeting: inventory, sorting, financial accounting	The clock (Devon might wake), operational logistics, awareness that Carmen is suspicious	The meeting reveals the operation's precision and domestic absurdity simultaneously — pharmaceutical-grade competence mixed with arguments about coffee and compression socks	Harry identifies Carmen as a genuine threat; the ring must decide how to handle her	YES
s03_02	chapter_03	2	Ring members return to rooms and resume their performances	The transition from lucid selves back to performed impairment	The ease of the switch is both comic and unsettling — these people toggle between identities with practiced fluency	The performance is so habitual it no longer costs them visible effort, but Harry's awareness of Carmen adds new weight	NO
s04_01	chapter_04	1	Carmen is charting overnight when she sees Harry walk unassisted at 2:40 AM	Harry walking with full motor control, carrying something in a towel	Three seconds of mutual recognition — the pretense dissolves, then Harry reinstates it with 'Eleanor? Is that you?'	Carmen now has visual proof she cannot rationalize; the confrontation is inevitable	YES
s04_02	chapter_04	2	Carmen does a full manual medication count	The count itself — 47 pills short across four controlled substances	The number transforms the discrepancy from documentation issue to diversion — this is not error, it's a system	Carmen now holds evidence of a federal crime that occurred on her shifts, under her name	NO
s05_01	chapter_05	1	Carmen confronts Harry in the TV room at midnight	Harry's initial attempt to maintain the facade, then his full-powered counter-arguments	Harry drops the act completely — transformation of voice, posture, vocabulary — and reframes the situation: Carmen is trapped whether she reports or not	Carmen gives Harry a week, revealing she's already past the point of simply reporting	YES
