scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
scene_01_01	chapter_01	1	Complete funeral obligations without family rupture	Dohyun withdraws and creditors call during rites	Ina finds Eun-sook's coded lyric notebook hidden in a rice bin	She starts lying by omission to relatives	NO
scene_01_02	chapter_01	2	Identify the notebook's pager number	Fear of surveillance and emotional paralysis	A callback voice gives a state-era challenge phrase only Eun-sook used	Ina commits to a clandestine meeting	YES
scene_01_03	chapter_01	3	Test whether the contact is a fraud	Envoy Rhee demands secrecy before proof	Rhee shows archival photo of Eun-sook with the exile cabinet	Ina accepts a one-week probation and secret burden	YES
scene_02_01	chapter_02	1	Understand what the exile cabinet actually does	Kwon frames obedience as patriotism and downplays legal risk	Ina is offered debt relief for narrative operations	She signs a secrecy contract that can criminalize her	YES
scene_02_02	chapter_02	2	Insert reunification subtext into a commercial writer room	Head writer rejects overt politics and agency handlers monitor Ji-eun	Ji-eun improvises a line that carries the code without tripping censors	Pilot goes forward and Ji-eun is tied to the operation	NO
scene_03_01	chapter_03	1	Decide whether to quit at family dinner	Old grievances about partition and missing kin resurface	Dohyun admits Eun-sook believed stories could shift history	Ina stays in the work but hides the reason	NO
scene_03_02	chapter_03	2	Set private limits before deeper involvement	Debt calls and a warning text from an unknown sender crowd her	Ina writes a personal red line against civilian harm	The rule remains private and unenforceable	YES
scene_04_01	chapter_04	1	Deliver a marketable episode outline with strategic payload	Producer demands romance beats and product placements only	Ina embeds sibling-loss arc and lullaby motif inside romance structure	Both market and council factions now watch her output	NO
scene_04_02	chapter_04	2	Prepare Ji-eun for politically loaded dialogue	Agency manager controls timing and bans unscripted talk	Ji-eun asks Ina whether the role is a trap	Ina promises protection she cannot guarantee	YES
scene_04_03	chapter_04	3	Lock final cut before broadcast deadline	Censorship notes strip explicit political language	Ina keeps symbolic cues while cutting overt directives	Episode airs but suspicion hardens around Ina	YES
scene_05_01	chapter_05	1	Verify whether campaign reach data is real	Minjae distrusts Ina and limits system access	He reveals detention metadata linked to prior USB drops	Ina can no longer treat the work as abstract culture policy	YES
scene_05_02	chapter_05	2	Force leadership to pause harmful distribution	Kwon dismisses casualties as unavoidable strategic noise	He expands Ina's budget instead of granting a pause	By accepting resources she deepens complicity	YES
scene_06_01	chapter_06	1	Protect collaborators during intelligence raid	NIS seizes servers and scripts while cameras gather outside	Signed contract pages are found in Ina's desk	She is taken for interrogation and publicly marked	YES
scene_06_02	chapter_06	2	Avoid espionage charges in interrogation	Prosecutor threatens detention and financial seizure	NIS offers limited immunity for controlled cooperation	Ina accepts and enters a double-bind	YES
scene_06_03	chapter_06	3	Reestablish contact after release	Press and online rumors isolate Ina from coworkers	Minjae appears with a burner and escape routes	She regains a channel but loses institutional cover	NO
scene_07_01	chapter_07	1	Recruit Minjae into safer routing	He suspects she is fully controlled by NIS	Ina admits partial cooperation and asks for conditional trust	They form a fragile alliance with unequal leverage	YES
scene_07_02	chapter_07	2	Test whether trust can move beyond transaction	Surveillance fear and unresolved trauma keep distance	They have sex and disclose family vulnerabilities afterward	Attachment increases while operational risk multiplies	YES
scene_08_01	chapter_08	1	Build a private ledger of collateral harm	Records are fragmented and access is throttled	Ji-eun passes off-book contract pages proving coercion	Ledger becomes actionable evidence with shared risk	NO
scene_08_02	chapter_08	2	Win formal restitution for harmed families	Kwon humiliates Ina and refuses compensation	Ina diverts campaign petty cash through Hyejin's church account	Families receive relief but Ina commits embezzlement	YES
scene_09_01	chapter_09	1	Deploy coded chorus patch before live show	Rival tech faction inserts nationalist payload	Minjae detects conflict too late for clean rollback	System remains live with unstable messaging	YES
scene_09_02	chapter_09	2	Deliver unifying signal during stadium performance	Ji-eun panics as hacked lyrics propagate to screens	Crowd hears militarized framing instead of reconciliation cue	Street clashes ignite and Ji-eun is blamed	YES
scene_09_03	chapter_09	3	Keep Ji-eun from being chemically managed by handlers	Agency lawyers demand sedation and scripted apology	Ji-eun resists and Ina smuggles her out of the venue	Both become legally exposed	YES
scene_10_01	chapter_10	1	Move Ji-eun to Busan safe housing	Tabloids and drones track station exits	Shared meal and gallows humor de-escalate panic	Temporary calm costs Ina a missed council summons	NO
scene_10_02	chapter_10	2	Prevent Ji-eun from vanishing or self-harming	Ji-eun wants confession livestream regardless of fallout	Ina promises to free her from contract penalties	Promise creates a debt Ina may not pay	YES
scene_11_01	chapter_11	1	Delay Mercury Night launch	Kwon ties schedule to election-night volatility	Ina is removed from final planning room	She loses decision authority before the critical event	YES
scene_11_02	chapter_11	2	Convince Minjae to sabotage from inside	He refuses because his sister depends on current routes	He asks Ina to run away instead	Ina stays and becomes operationally isolated	NO
scene_12_01	chapter_12	1	Find context for Eun-sook's hidden role	Locker contents are degraded and Hyejin resists reopening old history	Ina recovers a cassette detailing a staged border clash	Her image of her mother fractures	NO
scene_12_02	chapter_12	2	Choose whether to weaponize the cassette	Leak could collapse talks and expose civilians	Tape names Kwon as architect of prior civilian deaths	Ina commits to a redacted archive leak	YES
scene_13_01	chapter_13	1	Secure Minjae as leak partner	He prioritizes sister safety and withholds his true intent	After agreeing aloud, he alerts Kwon	Ina operates on false reassurance	YES
scene_13_02	chapter_13	2	Move cash and evidence before crackdown	Accounts are frozen and devices remotely wiped	Ina salvages printed ledger fragments	She becomes financially unstable and evidentially weakened	YES
scene_13_03	chapter_13	3	Repair alliance after discovering betrayal	Mutual accusations make cooperation nearly impossible	Minjae admits warning Kwon to buy family time	Relationship trust collapses at structural level	YES
scene_14_01	chapter_14	1	Protect backup locations under detention	Sleep deprivation and threats against Dohyun erode resistance	Ina yields one backup server address	Council seizes major evidence mirror	YES
