scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
s01_01	chapter_01	1	Establish dying magic through Hermione's daily experience — spell failures, research dead ends, institutional strain	The decay is systemic and her usual competence cannot solve it; every archive is exhausted	She realizes the problem exceeds what conventional research can reach — the scale is larger than the Ministry admits	Her professional identity is shaken; if she cannot solve this, she does not know what she is for	NO
s01_02	chapter_01	2	The Malfoy library proposition arrives — the last uncatalogued major collection	Her history with the Manor, the trauma, the fact that accepting means returning to the place where she was tortured	The lead is the only viable path; professional necessity overrides personal resistance	She must enter the site of her worst memory and negotiate with the boy who watched	YES
s01_03	chapter_01	3	Hermione decides to go to the Manor	Internal resistance, the scar she adjusts without thinking, a sleepless night	Competence wins over fear — she frames it as work because that is how she survives	She commits to proximity with her worst memories; the decision costs her a night's sleep	NO
s02_01	chapter_02	1	Draco alone in the Manor — establish his isolation, the house too large, his careful precise life	The Manor's emptiness, rooms he avoids, the Dark Mark's new restless pain	The Mark's behavior is worsening and he cannot ignore it — he needs help he cannot get from anyone willing to help	He must accept help from someone whose presence in this house will cost him	NO
s02_02	chapter_02	2	The negotiation — Hermione arrives, terms of access set	Their shared history, the formality masking everything underneath, last names as armor	The terms are agreed: library for Mark help. Professional. Civil. But the air in the room knows better	Both are now bound to proximity they did not choose; the professional frame is already under pressure	YES
s02_03	chapter_02	3	Draco walks Hermione to the guest wing; the Manor opens a forgotten corridor	The house's behavior — a shortcut that should not exist — unsettles him	He notices the Manor responding to her presence and chooses not to mention it	The house is already changing; his silence about it is the first thing he withholds	NO
s03_01	chapter_03	1	First Mark examination — Hermione's clinical approach to the Dark Mark on Draco's forearm	The intimacy of sustained physical contact; his rigidity; the Mark's unexpected responsiveness to her diagnostic spells	The Mark behaves differently under her touch — the dark magic in it responds with something like recognition	Clinical distance is harder to maintain than she planned; the Mark is not a standard Dark artifact	YES
s03_02	chapter_03	2	Hermione begins organizing the library — the scale and chaos of the Malfoy collection	Centuries of uncatalogued acquisition, multiple languages, some texts resistant to cataloguing spells	She builds a system and begins to find patterns — the collection is extraordinary and she is in her element	The work will take weeks at minimum; she is committed to sustained presence	NO
s03_03	chapter_03	3	Alone in the Manor at night, the house shifts — Hermione gets genuinely lost	The corridors rearrange; landmarks she used that morning are gone; twenty minutes of disorientation before the house releases her	She reclassifies her situation: this is not a house with quirks, this is a sentient structure and she is inside it	Her sense of control is compromised; she must account for the Manor as an active variable	NO
s04_01	chapter_04	1	Draco observes the Manor treating Hermione differently — doors, shelves, warmth, the house's attention redirected	His lifelong familiarity with the house thrown off; the house prefers her in ways it has never preferred him	He recognizes that the Manor is responding to Hermione specifically, not just to company	His inheritance — the house, the name, the legacy — responds to an outsider more than to him	YES
s04_02	chapter_04	2	Narcissa visits; she walks through the Manor with practiced ease, notices the shifts	Narcissa's careful non-answers; her recognition without surprise when she sees anomalous doors	Narcissa confirms through reaction, not words, that this behavior is significant and has precedent	Draco knows his mother is withholding something about the house; she will not be pushed	NO
