scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
s_ch01_01	chapter_01	1	Kai arrives at Kirchberg and takes in the facility	The uncanny normalcy of a place designed for engineered bodies	The facility feels familiar and alien simultaneously	Kai is inside a world he chose but does not fully belong to	NO
s_ch01_02	chapter_01	2	Kai runs a qualifying 200m sprint	His own disconnection from the effort	Personal best time with no felt experience of earning it	The victory is hollow — performance without agency	NO
s_ch01_03	chapter_01	3	Evening calibration with Yusuf	Proprioception data revealing system-initiated micro-movements	Kai learns the system is moving his body ahead of his conscious intent	The body-self boundary is measurably eroding	YES
s_ch02_01	chapter_02	1	Lena trains in the pool — morning swim session	Her flip turn executes a pattern she did not select	She stops mid-lap recognizing the movement was not hers	The neural link is making motor decisions without conscious input	YES
s_ch02_02	chapter_02	2	Post-session data review with Margot	Telemetry shows the desync but Margot minimizes it	Margot frames the divergence as within acceptable parameters	Lena accepts the reassurance but the data contradicts it	NO
s_ch02_03	chapter_02	3	Lena alone in her quarters trying to read	Twenty minutes pass without her awareness	She returns to herself without any sense of having been absent	The desync affects cognition not just motor control	YES
s_ch03_01	chapter_03	1	Yusuf calibrates athletes and reviews enhancement data	His dual obligation — official reports and unauthorized parallel analysis	He identifies a correlated drift pattern across multiple athletes systems	The pattern suggests something systemic but he does not report it	NO
s_ch03_02	chapter_03	2	Late evening: data transfer and video call with Farah	Farah deflects questions about her worsening condition	Her speech is slightly slower than last month	Yusuf's urgency to collect data increases as his sister declines	YES
s_ch04_01	chapter_04	1	Margot plugs into Tomas during decathlon training	Her addiction drives her to push his heart rate past safety margins	Tomas stumbles and falls on the seventh hurdle	Margot attributes the spike to altitude adjustment and conceals the cause	YES
s_ch04_02	chapter_04	2	Margot alone in her quarters after disconnecting from the feed	The flatness of her own body compared to what she felt through Tomas	She confronts the distance between borrowed sensation and her own diminished physicality	The addiction cycle is visible: intensity then emptiness then craving	NO
s_ch05_01	chapter_05	1	Kai runs the 200m on the indoor track	The virus triggers a total sensory blackout at 140m while synthetic grafts keep his legs running	His body hits the wall at full sprint speed — crash injuries	Shoulder dislocation, facial lacerations, broken wrist; the body performed without him	YES
s_ch05_02	chapter_05	2	Medical response and Yusuf examines system logs	Cascading corruption in the calibration network	The corruption behaves like a virus — engineered not accidental	Every enhanced athlete on the shared network is potentially compromised	YES
s_ch06_01	chapter_06	1	Facility lockdown as Yusuf diagnoses the calibration network	Two more athletes report sensory anomalies	The virus is propagating through shared calibration protocols	The threat is systemic — not one athlete but every enhanced person in the facility	YES
s_ch06_02	chapter_06	2	Lena visits Kai in the medical bay	They barely know each other but share an existential malfunction	A bond forms through shared vulnerability	Both systems are failing in ways that feel like identity erasure not mechanical breakdown	NO
s_ch06_03	chapter_06	3	Margot alone realizes the neural feed may be a transmission vector	Her feed plugs directly into athletes neural systems	She understands she may be spreading the virus through coaching sessions	She does not report this because reporting means losing feed access	YES
s_ch07_01	chapter_07	1	Kai and Lena eat dinner together in the cafeteria	Nothing opposes them — this is a scene of ordinary human presence	They talk about home — Indiana flatlands and the Meridian developmental program	A genuine connection forms outside the crisis frame	NO
s_ch07_02	chapter_07	2	They walk outside into the Alpine night	The beauty of the mountains exists independent of the crisis	The cold the stars the altitude — present without being instrumentalized	Human connection confirmed in a moment that is not about enhancement or survival	NO
s_ch08_01	chapter_08	1	Meridian delegation presents the virus patch and its terms	The contract requires irrevocable surrender of all biological data	The room fractures — some sign immediately some refuse	The body-autonomy question becomes a document with a signature line	YES
s_ch08_02	chapter_08	2	Aftermath as athletes process the ultimatum	The binary is stark: sell your data or risk fatal blackout	Jin-seo describes her brothers death; Tomas signs immediately	The choice reveals each persons economic and existential position	YES
s_ch09_01	chapter_09	1	Yusuf works on the alternative partial patch in the calibration bay	The technical demands of building a firmware-level fix without full data access	The work is feasible but untested and uncertain	An alternative path exists but carries its own risks	NO
s_ch09_02	chapter_09	2	Yusuf analyzes the virus code in detail	Structural signatures in the code match Meridians proprietary development tools	The virus appears deliberately engineered not accidental	The conspiracy is thinkable but unprovable	YES
s_ch09_03	chapter_09	3	Petra confronts Yusuf about unauthorized after-hours access	Her professional duty requires reporting him	She covers for him based on her own distrust of Meridians institutional response	An alliance forms between two people who each distrust the system for different reasons	NO
s_ch10_01	chapter_10	1	Margot plugs into Lena during a training swim	Lenas desync creates an unprecedented feed experience — personality thinning to nothing in real time	Margot pushes Lenas heart rate into the red zone during the desync	Margot conceals the severity of Lenas desync to preserve her own feed access	YES
s_ch10_02	chapter_10	2	Lena confronts Margot about the training session	Lena cannot remember the last two laps and knows something happened	Margot lies directly to Lenas face	The coach-athlete trust is rotten; Lenas safety is subordinated to Margots addiction	YES
s_ch11_01	chapter_11	1	Kai and Lena become physically intimate	Enhancement intrudes: Kais hands move before intent and Lenas desync surfaces during sex	They stop — Kais synthetic reflexes and Lenas brief vacancy make intimacy uncanny	The body-autonomy question enters the most intimate possible register	YES
s_ch11_02	chapter_11	2	Lying awake afterward — Lena describes the desync from inside and Kai describes the blackout void	The terror of what their bodies do without them	Shared horror deepens the connection rather than destroying it	They are bound by a condition no one outside this room fully understands	NO
s_ch12_01	chapter_12	1	Yusuf presents the alternative patch to the holdouts	Margot opposes it because it would sever the neural coaching feed	The group learns the patch exists but also learns Yusufs personal motivation	Trust is complicated rather than earned by the revelation	YES
s_ch12_02	chapter_12	2	The argument escalates as each persons real investment is exposed	No option is clean — every solution protects someone and endangers someone else	Jin-seo argues from grief and Margot argues from addiction and Yusuf argues from family	The group formally fractures with no winner	YES
s_ch13_01	chapter_13	1	Lena volunteers for the overnight patch installation in the calibration bay	The firmware rewrite requires consciousness and produces sensory ordeal	Hours of heat pressure and split vision as the patch maps around active neural patterns	Lena endures the procedure; the ordeal is physical and existential	YES
s_ch13_02	chapter_13	2	Morning after: initial diagnostics and test swim	The desync stabilizes but reaction times slow and sensory acuity is blunted	A strange new silence where the systems ambient processing used to be	The cure works but the cost is a diminishment Lena has no reference for	NO
s_ch13_03	chapter_13	3	Lena swims laps that feel ordinary for the first time	The silence in her head and the ordinary sensation of water	She does not know whether to grieve or celebrate the ordinariness	The question fix the enhancement vs restore the person splits apart	YES
s_ch14_01	chapter_14	1	Group training session — Tomas hits a virus-triggered blackout mid-hurdle	The blackout drives his body into the hurdle at full speed — spinal impact	Tomas is paralyzed from the waist down — neural bridge destroyed	A young life is permanently destroyed; his career and his familys income gone	YES
s_ch14_02	chapter_14	2	Margot in the feed during Tomass crash — she experiences the impact at full sensory resolution	The borrowed sensory memory of spinal compression and legs going silent	She disconnects screaming; the phantom impact stays in her body	Margots addiction reaches its full consequence — she felt someone elses destruction from inside	YES
