scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
scene_01_01	chapter_01	1	Collect Nina after the gala and end the shift cleanly	Nina is drunk, keeps changing the destination, and treats the car as an extension of her mood	Instead of Belgravia, she orders Beni east toward Hackney Wick	Beni's overtime becomes private rather than logged company time	NO
scene_01_02	chapter_01	2	Keep the drive controlled while Nina spirals about Jonas	Nina wants witness without conversation and tests whether Beni will intrude or judge	At Jonas's studio she asks Beni's name and tells dispatch to send only him next time	Beni loses the protection of anonymity and becomes a reusable tool for Nina	YES
scene_02_01	chapter_02	1	Secure Nina's repeat business	Nina offers cash work that depends on secrecy outside normal route procedure	She states that she does not want Mercer knowing where she goes	Beni accepts income that will require future lies	YES
scene_02_02	chapter_02	2	Reduce pressure at home by paying Laci something toward rent	Laci wants exact money and has no patience for vague promises	Beni can pay only part of what he owes and sees how little margin he has	His debt remains active and keeps him tied to unstable work	NO
scene_02_03	chapter_02	3	Get through the Ashdown house without being noticed	Eszter clocks his accent and refuses to let him stay blank in the basement kitchen	She feeds him and jokes in Hungarian until he answers her properly	The townhouse gains a human point of return for Beni	NO
scene_03_01	chapter_03	1	Complete Bea's school run and survive the waiting hours	Service work leaves Beni stranded between tasks and unable to leave the neighborhood	Bea asks about driving in a way that shows she actually sees him	Beni feels observed by someone inside the family, not just used by them	NO
scene_03_02	chapter_03	2	Use lunch break to stay warm and kill time	Eszter keeps asking real questions instead of allowing polite emptiness	She plays Beni a voice note from Lili and turns the kitchen into shared space	Beni starts returning to the kitchen because he wants company	YES
scene_04_01	chapter_04	1	Deliver Nina's pills and catalogue before anyone notices the gap in her day	Jonas is irritated by Nina's dependence and resents Beni's presence	He accepts the items but makes clear Nina is clinging harder than he is	Beni sees the affair's imbalance from the outside	NO
scene_04_02	chapter_04	2	Exit Jonas's studio without becoming part of the drama	Jonas needles Beni as if chauffeurs are furniture that can still be humiliated	He asks whether Nina sends all her errands through boys now	Beni carries away insult along with the errand's completion	NO
scene_04_03	chapter_04	3	Get Nina home and keep Oscar from probing further	Oscar notices the mileage mismatch and asks mildly precise questions	Beni lies about traffic and a pharmacy stop	Beni's discretion becomes an active spoken falsehood	YES
scene_05_01	chapter_05	1	Share an ordinary evening with Eszter without ruining it by self-consciousness	Beni is ashamed of the flat and Laci's resentment hangs over the room	Laci comes home, sees the situation at once, and stays just sober enough to make it awkward	Beni has to remain present in his own life rather than flee into humor	NO
scene_05_02	chapter_05	2	Walk Eszter downstairs and end the night without asking for too much	Beni expects the evening to collapse back into caution	Eszter kisses him first on the stairwell landing	Beni now has something outside work that he can actually lose	YES
scene_06_01	chapter_06	1	Get Nina through the gallery opening and back out after Jonas humiliates her	Jonas refuses to leave with Nina and the room's social politeness sharpens the insult	Nina cuts the evening short and orders Beni to drive without destination	His role shifts from chauffeur to private receiver of her humiliation	NO
scene_06_02	chapter_06	2	Get Nina into the house and reestablish professional distance	Nina turns the parked car and garage into a place where she can still feel chosen	She climbs into the back seat with Beni and he does not stop the encounter	Beni enters a sexual arrangement that repeats the structure of his past catastrophe	YES
scene_07_01	chapter_07	1	Restore normal work after the garage encounter	Nina acts as if sex changed nothing except her entitlement to Beni's time	She hands him extra cash with the next list of errands	Intimacy is recoded as transaction and leverage	NO
scene_07_02	chapter_07	2	Keep Eszter from noticing anything is wrong	Eszter reads altered body language faster than Beni can invent a convincing mood	She asks where the extra cash came from and he lies lightly	The first relational crack opens between them	YES
scene_08_01	chapter_08	1	Let another evening with Eszter stay easy and unforced	Beni wants closeness but keeps editing himself before he speaks	Eszter says she cannot keep guessing which version of him is in the room	Beni is warned that his detachment has effects, not just causes	NO
scene_08_02	chapter_08	2	Move from talking into sex without disappearing inside panic	Real intimacy requires Beni to name what he wants and what he can offer	He freezes when Eszter asks a simple direct question about them	The night ends with connection preserved but conditional	YES
scene_09_01	chapter_09	1	Find out how dangerous the paparazzi image really is	Oscar's office wants route confirmation and treats the discrepancy as administrative	Nina's car is now part of a story the household cannot fully control	Beni's earlier informal lies turn into a paper problem	NO
scene_09_02	chapter_09	2	Get advice from Noor without sounding frightened	Noor recognizes the pattern and does not romanticize what rich clients do to staff	He tells Beni no one protected by money will protect him back	Beni understands the warning and chooses against it	NO
scene_09_03	chapter_09	3	Close the records gap before Oscar sees more	Beni has to alter logs in a system designed to catch alterations	He changes the mileage and route sequence by hand	Beni commits misconduct that can later be proven	YES
scene_10_01	chapter_10	1	Pick Nina up at 3 a.m. and keep the situation from becoming medical or public	Nina is bleeding from a broken glass and refuses a hospital or home	She orders Beni to keep driving along the river instead of stopping	Beni is trapped in her crisis with no clean exit	NO
scene_10_02	chapter_10	2	Endure Nina's night-drive confession without being absorbed by it	Nina turns self-revelation into a test of Beni's silence and loyalty	She tells him he is safest because he never asks for anything	Beni feels objectified rather than chosen and cannot unknow it	YES
scene_11_01	chapter_11	1	Complete an airport run after a sudden traffic disaster	A lorry swerves and the near collision detonates Beni's old crash memory	He gets the car onto the hard shoulder but cannot keep driving	Beni's professional control fails in public and at work	YES
scene_11_02	chapter_11	2	Recover enough to continue the day	Noor takes over the practical tasks but refuses to let Beni hide behind silence	Beni tells Noor about Klara, the affair, and the fatal Hungarian crash	His past becomes shared knowledge with present consequences	NO
scene_12_01	chapter_12	1	Spend a day with Eszter that belongs to neither work nor secrecy	Beni enjoys the market and train ride but knows he is withholding the current truth	Eszter talks openly about Lili and the money London extracts from motherhood	The emotional stakes of lying to her rise sharply	NO
scene_12_02	chapter_12	2	Build physical intimacy that is mutual rather than purchased	Beni can tell the truth about Klara but not about Nina	They have sex, then Beni offers the older wound while hiding the fresh one	The relationship deepens on unstable ground	YES
scene_13_01	chapter_13	1	Understand what the Ashdowns' financial tightening will do to the staff	Oscar turns household cuts into neutral numbers and reduced hours	Eszter learns she is losing shifts and possibly the live-in room	Her precarity becomes immediate and measurable	NO
scene_13_02	chapter_13	2	Protect Eszter from the worst of the shortfall	Nina wants one last set of secret drives and senses exactly what money will buy	She presses cash on Beni while asking for renewed discretion	Beni links care for Eszter to obedience toward Nina	YES
scene_13_03	chapter_13	3	Use the money to solve a real problem without exposing its source	Beni offers Eszter help that she both needs and distrusts	She takes some of it because rent does not care about pride	His betrayal now lives inside an act of support	NO
scene_14_01	chapter_14	1	Limit the fallout from Bea's growing suspicion	Bea has tracked timings, seen the garage moment, and refuses to be gaslit	She tells Eszter before confronting either parent	Beni loses control of who knows what	YES
scene_14_02	chapter_14	2	Keep Eszter from leaving him completely	Eszter is angrier at the lie around the money than at the sex itself	She ends things, returns his key, and shuts him out of the kitchen	Beni becomes socially homeless inside the one house where he had felt less alone	YES
scene_15_01	chapter_15	1	Decide what to do when Bea arrives at his flat with an overnight bag	Beni has no legitimate space to shelter a rich minor and no trust in her parents	Bea says she would rather sleep on his floor than stand in the gala photographs	Beni must choose action over observation	NO
scene_15_02	chapter_15	2	Get Bea somewhere safer than Laci's front room	Laci wants the problem gone and Beni has no right to ask Eszter for help	Beni takes Bea to Eszter's church-basement room anyway	He risks a fresh humiliation because Bea's need is more urgent	YES
scene_15_03	chapter_15	3	Convince Eszter to help Bea for one night	Eszter owes Beni nothing and has every reason to send them away	Bea starts shaking and Eszter switches into maternal command	Eszter helps the girl, and Beni is forced to face care he did not earn	NO
scene_16_01	chapter_16	1	Get the gala machinery moving on time	The house is overfull of deliveries, radios, flowers, and class friction	Service corridors reveal how much labor is needed to stage effortless wealth	Beni sees the side-door world in its fullest form	NO
scene_16_02	chapter_16	2	Decide whether Nina's Paris proposal is escape or another trap	Poverty makes the apartment, money, and status she offers genuinely tempting	Nina frames Paris as a life where no one will ask questions	Beni realizes the offer depends on his continued erasure	YES
scene_16_03	chapter_16	3	Hold himself together through the final setup	Oscar's choreography of arrivals turns family and staff into props	Beni chooses privately not to go with Nina after the gala	His internal decision raises the cost of the evening to come	NO
