scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
scene_01_01	chapter_01	1	Win the crowd and secure a paid christening on Patent Row	Skeptical inventors and a crowd already numb to gimmicks	Silas improvises a filthy, perfect product name and flips ridicule into applause	His local celebrity hardens into expectation that he can name anything	NO
scene_01_02	chapter_01	2	Collect payment and get offstage before anyone asks for more	A spill-born glow-moss crawls over a signboard and the crowd demands another miracle	Silas jokingly calls the bloom bridelight and the crowd repeats it	The throwaway joke becomes attached to a living phenomenon	YES
scene_01_03	chapter_01	3	Dismiss the moss as good copy and go home	Damaris and Gideon close in while more onlookers test the new word	By dusk the same pink glow appears on other walls across Patent Row	Silas realizes his joke has entered the city's ecology and cannot be recalled	YES
scene_02_01	chapter_02	1	Brush off the bridelight fuss as publicity	Inez intercepts Silas with damaged lamp trays and furious household evidence	Neighbors chant a different name and a live patch turns blue in front of him	He can no longer deny that public speech is changing working light	YES
scene_02_02	chapter_02	2	Protect his reputation by staying glib	Inez walks him through homes where the shifting moss is affecting heat and safety	A child burns two fingers when a lamp output changes mid-task	Silas becomes morally implicated in local harm and newly alert to Inez	YES
scene_03_01	chapter_03	1	Arrive at Junie's kitchen looking solvent and in control	Junie has his unpaid meals, borrowed coins, and rising rent figures ready	She shows that neighborhood prestige around the glow has already raised nearby costs	Silas's money trouble becomes inseparable from the moss craze	NO
scene_03_02	chapter_03	2	Eat a real meal and pretend the city is still ordinary	Otis keeps repeating new names and Junie refuses to indulge Silas's vanity	Silas hears how quickly street language becomes domestic speech at the table	His talent stops feeling purely theatrical	NO
scene_03_03	chapter_03	3	See what Damaris wants without losing autonomy	Damaris wants serialized spectacle and warns Gideon will buy him first	Her offer makes clear that silence will not keep him outside the story	Silas recognizes that he himself is now being marketed	NO
scene_03_04	chapter_03	4	Get enough money to cover pigment debt and buy time	Gideon's retainer requires exclusivity over the runaway moss's stable public name	Silas signs the exploratory contract despite knowing the terms smell wrong	He is formally tied to Gideon's campaign and can no longer claim neutrality	YES
scene_04_01	chapter_04	1	Learn the moss well enough to solve it neatly	Sump Ward's layered uses and distrust resist any single elegant explanation	Households demonstrate different names tied to different practical results	Silas accepts that local naming is infrastructure and agrees to work with Inez	YES
scene_05_01	chapter_05	1	Launch Celadon Crown as the stable official name	Mixed crowds arrive ready to heckle, test, and contradict	Gideon's early stagecraft briefly seems to be working	The campaign appears salvageable long enough to raise the fall	NO
scene_05_02	chapter_05	2	Fix the name in public memory by painting it huge on a wet wall	Balcony voices and street kids answer with local names as soon as the chant begins	The moss shifts colors faster than the paint can dry	The official unveiling becomes visibly unstable in front of buyers	YES
scene_05_03	chapter_05	3	Save dignity and keep the contract alive	Spattering pigment ruins clothing and the crowd breaks into laughter and argument	Damaris seizes the fiasco for tomorrow's front page	Silas's authority becomes public comedy and the naming fight goes citywide	YES
scene_06_01	chapter_06	1	Clear contaminated slime from Junie's kitchen before dinner service	Sticky spores, Junie's anger, and Silas's shame make the work slow	Inez arrives because she knows how to save the lamp trays	Forced practical cooperation replaces public posturing	NO
scene_06_02	chapter_06	2	Finish the cleanup without exposing fresh weakness	Shared labor, hot food, and Junie's refusal to let anyone grandstand strip their defenses	Inez explains what names mean in kitchens and crossing ways while Silas actually listens	Respect and desire emerge in a quiet space neither of them controls	YES
scene_07_01	chapter_07	1	Convince himself he can take Gideon's money without becoming a thief	Gideon plainly wants neighborhood names harvested and polished for sale	Silas accepts because the advance clears his immediate debt	He chooses complicity before the theft is fully enacted	NO
scene_07_02	chapter_07	2	Collect names as harmless research	People in Ferrymouth and Patent Row feed him jokes, decoys, and misdirection	He realizes fake names are a form of community self-defense	His task becomes more predatory because sincerity will not be given	NO
scene_07_03	chapter_07	3	Get something real from Sump Ward without asking directly	Inez has frozen him out and Aunt Vero watches him like a trapdoor	He overhears a working exchange and memorizes a private name anyway	He crosses the moral line from listener to thief	YES
scene_07_04	chapter_07	4	Satisfy Gideon with as little damage as possible	Gideon wants everything useful and moves fast once he has it	Overnight labels appear using stolen ward language	Silas can no longer pretend the harm is hypothetical	YES
scene_08_01	chapter_08	1	Blend into the Feast of Mud Names and maybe begin repairing what he broke	The feast crowd notices the new labels match ward phrases and Inez identifies the source	Public accusation turns into a trough dunking that wrenches Silas's wrist	Silas is humiliated, injured, and effectively barred from Sump Ward	YES
scene_09_01	chapter_09	1	Return to ordinary paid work and stop drowning in shame	His injured wrist will not hold a clean line and clients do not wait	He cannot paint well enough to earn the way he usually does	His income collapses at the same moment his public standing does	NO
scene_09_02	chapter_09	2	Make himself useful at Junie's kitchen instead of uselessly apologizing	Lunch rush, fuel strain, and Junie's impatience leave no room for theatrics	Otis repeats a branded schoolyard slogan and Junie goes cold with anger	Silas sees the campaign entering family speech as contamination	YES
scene_09_03	chapter_09	3	Figure out what his disgrace means beyond his own ego	Damaris insists the city is treating the fight like entertainment until he looks harder	From the ferry he watches local signs disappear under Celadon repainting	He understands naming as dispossession rather than bad publicity	YES
scene_10_01	chapter_10	1	Offer Inez labor and truth instead of another performance	Brutal salvage work and Inez's distrust keep him at a distance	Silas admits the contract, the money, and the weakness without polishing the story	A narrow corridor of trust opens because honesty replaces theater	NO
scene_10_02	chapter_10	2	Hold that truce through the long night	Heat, exhaustion, bodily proximity, and unsorted desire make distance impossible	They have sex in the propagation shed and afterward Inez hands him her private ledger	Their bond becomes erotic and strategic, raising the cost of any future failure	YES
scene_11_01	chapter_11	1	Use the ledger to understand the runaway strain	The entries point to old names and uses but not yet to origin	Cross-references reveal the moss descends from a preexisting communal strain	The problem acquires a buried history	NO
scene_11_02	chapter_11	2	Confirm that history with someone who was there	Aunt Vero resents both exploitation and neat retrospective heroics	She explains how ward women bred the ancestor strain and hid it from speculators	The conflict becomes theft of communal labor, not just brand abuse	YES
scene_11_03	chapter_11	3	See what Gideon is planning before he launches it	High Ward access is controlled and the preview is meant for buyers, not enemies	Damaris slips Silas in long enough for him to understand the regatta's saturation design	He learns the official name will be driven through song, print, and free cuttings	YES
scene_11_04	chapter_11	4	Choose the next move with Inez	Exposure alone would still leave someone claiming sole ownership	They agree to make monopoly impossible rather than proving a single rightful owner	The strategy shifts from debunking to plural public use	NO
scene_12_01	chapter_12	1	Get hostile neighbors and allies into the same room long enough to talk	Too many people distrust Silas or hate one another's districts	Junie uses supper and plain insistence to keep everyone seated	A temporary coalition becomes possible through hospitality	NO
scene_12_02	chapter_12	2	Gather names without stealing them again	Each person insists that a name arrives with a story, a task, or a warning	Silas starts recording context instead of just collecting phrases	He begins learning a non-extractive relation to language	YES
scene_12_03	chapter_12	3	Turn the supper's energy into a viable tactic	Some fear that many names at once will only deepen the chaos	Aunt Vero proposes chorus boards and distributed naming across ferries, stoops, and wash lines	The coalition adopts plurality as both method and ethic	YES
