scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
chapter_01_scene_01	chapter_01	1	Finish a sweltering workday without thinking about dating or debt.	Heat, tax notices, and June's refusal to let Lena stay emotionally inert.	June overhauls Lena's Hinge profile and forces the possibility of being seen again.	Lena lets June reopen a part of her life she had kept numbed over.	NO
chapter_01_scene_02	chapter_01	2	Test whether a promising match is worth real attention.	Lena's cynicism and the small humiliations of app banter.	Eli's opening messages are specific enough to disarm her.	Lena starts neglecting work and checking her phone for one person.	NO
chapter_01_scene_03	chapter_01	3	Decide whether to keep the exchange safely on-app or risk intimacy.	Fear of being ridiculous and of wanting too much too fast.	Eli sends a voice note that lands physically, and Lena gives him Signal.	She invites a stranger's voice into her apartment and into her private routine.	YES
chapter_02_scene_01	chapter_02	1	Keep pace with Eli's attention without seeming overeager.	Caption deadlines, self-consciousness, and the speed of the courtship.	A video call makes Eli feel socially plausible and bodily real.	Lena reorganizes her day around responsiveness to him.	NO
chapter_02_scene_02	chapter_02	2	Figure out whether this is still casual flirting or the start of something singular.	Lena's divorce scar and the suspicion that intensity this early cannot be trusted.	She agrees to stop answering other matches after a long night call.	What felt like flirtation becomes exclusivity with a person she has not touched.	YES
chapter_03_scene_01	chapter_03	1	Arrive at Gabe's dinner without looking as consumed as she feels.	Constant notifications and June's knowing amusement.	June folds Mateo into errands and steadies Lena before the meal.	Lena leans more on June even while June is feeding the lie.	NO
chapter_03_scene_02	chapter_03	2	Let family hear Eli and decide whether he belongs in the room.	Gabe's teasing, children's chaos, and Lena's fear of public embarrassment.	Eli charms the table by speakerphone and sounds exactly real enough.	The romance becomes part of family memory rather than private fantasy.	YES
chapter_03_scene_03	chapter_03	3	Hold onto the glow of the meal on the walk home.	June's tiny barbs and Lena's impulse to overshare hope.	Lena confides how serious this already feels.	June gains more emotional material for steering Eli.	NO
chapter_04_scene_01	chapter_04	1	Cross from verbal desire into embodied sexual trust.	Lena's body shame, webcam awkwardness, and the fear of being ridiculous on display.	She follows Eli's guidance, exposes herself fully, and stays present through the act.	The relationship now contains sexual evidence, sexual memory, and a deeper form of leverage.	YES
chapter_05_scene_01	chapter_05	1	Reach the threshold of a first real-world date.	Nerves, grooming rituals, and the fragile hope of finally meeting.	Eli cancels with a work-crisis story moments before the date.	Lena's anticipation turns into vulnerability without an outlet.	NO
chapter_05_scene_02	chapter_05	2	Decide whether to treat Eli's emergency as his problem or hers.	His pride, her need to be generous, and the risk of feeling used.	Eli resists help just enough that Lena offers money herself.	A romantic disappointment mutates into a material transaction.	YES
chapter_05_scene_03	chapter_05	3	Get clarity from June before acting.	June's carefully balanced skepticism and Lena's wish to be told she is good, not foolish.	Lena sends the first transfer anyway.	She now has to hide both emotional and financial stakes from other people.	NO
chapter_06_scene_01	chapter_06	1	Act normal through a wine-shop shift and keep the transfer private.	Farah's perceptiveness and the immediate pinch in Lena's budget.	Lena volunteers for extra hours instead of admitting what happened.	Secrecy becomes labor.	NO
chapter_06_scene_02	chapter_06	2	Convince herself the money changed the relationship for the better.	Mateo's practical needs, June's divided attention, and Lena's private guilt.	Eli's gratitude lands as proof of seriousness rather than proof of leverage.	The first gift is emotionally normalized and ready to become precedent.	YES
chapter_07_scene_01	chapter_07	1	Finally meet Eli in person and convert fantasy into a body in space.	Travel nerves, overprepared hope, and the fragility of the plan.	Delays stretch into absence at Union Station.	Lena is publicly stood up in a way she cannot easily narrate away.	NO
chapter_07_scene_02	chapter_07	2	Decide whether the humiliation means fraud or crisis.	Shame, alcohol, and the unbearable thought that she came for nothing.	Eli sends frantic messages about Noelle's wrecked apartment and his frantic move-out.	Belief becomes the only version of dignity Lena can still choose.	YES
chapter_07_scene_03	chapter_07	3	Get home without collapsing into self-loathing.	June's comfort, the soaked dress, and the temptation to end everything at once.	Lena keeps the relationship alive and sends or promises more help for Noelle.	She sinks more money and pride into a bond already costing her.	NO
chapter_08_scene_01	chapter_08	1	Enjoy the block party as a person, not just as somebody waiting for a phone.	Neighborhood obligations, comic chaos, and her own obsession.	June effortlessly threads Eli into the evening's logistics.	The party becomes another stage on which the lie can harden.	NO
chapter_08_scene_02	chapter_08	2	See whether Eli can survive contact with other people Lena trusts.	Crowd noise, skeptical adults, and the risk of him sounding canned.	He wins over Farah, Gabe, and the twins by being modest and funny.	Eli gains social legitimacy that will deepen later humiliation.	NO
chapter_08_scene_03	chapter_08	3	Hold onto a quieter moment after the noise dies down.	Lag on the call, June's watchfulness, and Lena's fear of speaking too much.	Lena voices love, or something close enough that the distinction no longer matters.	Emotional commitment becomes explicit and harder to undo.	YES
chapter_09_scene_01	chapter_09	1	Protect Lena's remaining money while meeting taxes and ordinary bills.	The real numbers, the tax deadline, and Eli's larger request.	She pawns her mother's signet ring to create enough breathing room to say yes.	A family object leaves her hand because of the romance.	NO
chapter_09_scene_02	chapter_09	2	Get through the larger transfer and believe it will stabilize everything.	Self-disgust, practical terror, and the possibility that she is ruining herself for a voice.	She wires the money and hears Eli's immediate relieved tenderness.	The relationship becomes an ongoing financial wound, not a symbolic risk.	YES
chapter_10_scene_01	chapter_10	1	Keep professional life from slipping while living inside the phone.	Sleeplessness, distraction, and cumulative stress.	Lena makes a captioning error that costs her money and credibility.	The romance now damages the work that pays for it.	NO
chapter_10_scene_02	chapter_10	2	Get through a shift with Farah without being seen too clearly.	Farah's blunt kindness and Lena's evasiveness.	Lena lies by omission instead of accepting help.	Another real-life relationship thins out under the pressure.	NO
chapter_10_scene_03	chapter_10	3	Seek June's reassurance without exposing how shaky Eli now feels.	June's own rent stress and Mateo's school trouble crowding the conversation.	June nudges Lena toward patience and away from scrutiny.	June tightens control of the situation while appearing supportive.	NO
chapter_10_scene_04	chapter_10	4	Recover the earlier feeling of seamless intimacy in a late-night call.	Recycled phrases, lag, and the exhaustion of maintaining fantasy.	Eli sounds just slightly too adaptive, and Lena feels the first real chill.	The romance loses innocence even before proof arrives.	YES
chapter_11_scene_01	chapter_11	1	Disprove Farah's suspicion that Eli's photos are not his.	The low-tech bluntness of a reverse-image search.	The search returns a partial match to drummer Asher Quinn.	Lena can no longer call her discomfort mere insecurity.	NO
chapter_11_scene_02	chapter_11	2	Run a private test and see whether Eli actually remembers her life.	His fluency, her hope that she is wrong, and the seduction of being answered perfectly.	Eli folds a false memory about a childhood dog into intimate empathy.	Perfection itself becomes evidence against him.	NO
chapter_11_scene_03	chapter_11	3	Figure out whether June is still safely outside the field of suspicion.	June's familiar warmth and Lena's resistance to imagining this scale of betrayal.	June repeats a phrase Eli used, and Lena hears the overlap as structure rather than coincidence.	Suspicion spreads from the fake lover to the real friend.	YES
chapter_12_scene_01	chapter_12	1	Convert suspicion into proof by showing up where Eli says he is.	June's attempts to postpone, rationalize, or redirect the plan.	Lena insists on the drive to the shore and traps June inside it.	June has to keep improvising in physical space instead of digital space.	NO
chapter_12_scene_02	chapter_12	2	Find Eli's residency and force the story to become verifiable.	Rain, wrong addresses, closed buildings, and the accumulating absurdity of the trip.	There is no residency, no venue, and no trace that the work story exists.	Lena's doubt becomes humiliation in public weather.	YES
chapter_12_scene_03	chapter_12	3	Get home without saying the thing both women now know is near.	A dead battery, wet groceries, and mutual blame they cannot yet formalize.	June offers one last weak explanation and Lena gives her silence.	The friendship loses ease, and silence begins doing narrative work.	NO
chapter_13_scene_01	chapter_13	1	Finish clearing the trailer without turning the day into an argument.	Memory objects, grief residue, and the old economics of who left and who stayed.	June's jokes about money and forgiveness land with real edge.	Lena starts rereading years of friendship as a ledger, not only a refuge.	NO
chapter_13_scene_02	chapter_13	2	End the day with some remnant of uncomplicated loyalty.	Exhaustion, suspicion, and a late intrusion from Eli's messages.	Eli's voice enters the trailer's grief space too smoothly, revealing how much of his language comes from shared history.	The friendship itself starts feeling contaminated.	YES
chapter_14_scene_01	chapter_14	1	Borrow June's laptop during a storm outage and send an overdue invoice.	Power loss, urgency, and Lena's assumption that June's devices are safe.	Lena opens the OpenClaw dashboard and sees Eli's persona tree, prompts, overrides, and payment scripts.	Certainty detonates; the romance and the friendship collapse into one authored wound.	YES
chapter_15_scene_01	chapter_15	1	Measure the damage by rereading the archive from start to finish.	Nausea, denial, and the unbearable intimacy of sexual and financial evidence.	Chat logs, call lengths, and transfer receipts align into a single map of the fraud.	Memory itself becomes a contaminated site.	YES
chapter_15_scene_02	chapter_15	2	Tell one trusted person the truth without being laughed at or pitied.	Shame, absurdity, and the fear of sounding foolish in plain language.	Farah believes Lena instantly and gets furious on her behalf.	The secret leaves Lena's control and enters the social world.	NO
chapter_15_scene_03	chapter_15	3	Survive family knowledge of what happened.	Gabe's anger, family protectiveness, and the nieces' innocent questions about Eli.	The absence of Eli registers as a real loss inside communal life.	Humiliation becomes shared family fact rather than private damage.	NO
chapter_16_scene_01	chapter_16	1	Force June to say out loud what she built and why.	June's deflection, exhaustion, and the intimate shorthand between them.	June admits that she authored and steered Eli.	The last operational illusion dies.	NO
chapter_16_scene_02	chapter_16	2	Extract motive, money, and truth without letting June reframe herself as tragic or noble.	Old loyalty, class grievance, desire, and the temptation to make a clean explanation from a dirty act.	Jealousy, opportunity, and the thrill of precision are named, and Lena ends the friendship.	There is no catharsis or restoration, only severance and unrecovered loss.	YES
chapter_17_scene_01	chapter_17	1	Make rent and taxes by grinding through December work despite the damage.	Brutal caption volume, exhaustion, and the contamination of partial repayment.	Lena accepts money back from June because survival matters more than purity.	Pragmatism feels like swallowing something bitter but necessary.	YES
chapter_17_scene_02	chapter_17	2	Close the trailer chapter of family life without pretending it heals anything.	Cold weather, leftover objects, and the emotional drag of final handoff.	The trailer sale becomes irrevocable.	Another form of inheritance leaves Lena's life while she is already diminished.	NO
chapter_17_scene_03	chapter_17	3	Re-enter ordinary companionship without mistaking it for cure.	Lingering neighborhood overlap, Mateo's collateral hurt, and June's unread apology.	Farah includes Lena in an ordinary meal and Lena chooses not to answer June.	Recovery shifts from dramatic reckoning to daily practice.	NO
chapter_18_scene_01	chapter_18	1	Decide whether to keep the archive as proof, wound, or substitute for love.	The lingering pull of Eli's voice and the temptation to preserve the engineered tenderness.	Lena listens once, measures what remains, and deletes the archive.	She relinquishes the object that let the false beloved keep living in her devices.	YES
chapter_18_scene_02	chapter_18	2	Return to work and to unoptimized human speech.	Habit, grief residue, and the old impulse to polish every rough edge away.	Lena leaves a speaker's roughness intact and re-enters her own city among living people.	The ending rejects perfection in favor of flawed embodied contact.	NO
