scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
scene_01_01	chapter_01	1	Get Anika to court before dawn.	Anika cannot sleep and resists leaving bed.	She follows Ravi anyway after hearing him in Maya's old kitchen spot.	First surrender of morning autonomy.	NO
scene_01_02	chapter_01	2	Complete full ghosting set.	Ravi keeps increasing reps while Anika's chest tightens with grief memory.	Anika vomits, rinses, and resumes drills.	Pain becomes her chosen mute button for mourning.	YES
scene_01_03	chapter_01	3	Re-enter normal day after training.	School timetable and body fatigue collide.	Anika texts Ravi that she can do this every day.	Commits to a schedule that will erode peer life.	NO
scene_02_01	chapter_02	1	Avoid attention in class.	Exhaustion causes mistakes and microsleeps.	Teacher flags concern and emails home.	Adult scrutiny enters school space.	NO
scene_02_02	chapter_02	2	Decide between friendship and training slot.	Zoe offers a simple hangout while Ravi demands immediate court arrival.	Anika refuses Zoe and leaves mid-conversation.	Trust with Zoe drops; isolation increases.	YES
scene_03_01	chapter_03	1	Sort Maya's kitchen belongings for donation.	Each object triggers Anika's sensory grief.	Ravi labels boxes by speed, not meaning.	Anika feels erased inside practical work.	NO
scene_03_02	chapter_03	2	Finish closet purge before pickup deadline.	Ravi pushes tempo; Anika stalls on Maya's clothes.	Argument spikes when Ravi calls memory-hoarding unhealthy.	Father-daughter communication hardens into command and defiance.	YES
scene_03_03	chapter_03	3	Keep one private connection to Maya.	Ravi watches every box and bag.	Anika pockets Maya's watch while carrying linens.	She begins a secret life of hidden artifacts.	NO
scene_03_04	chapter_03	4	Regain control before sleep.	Grief surges in the silent apartment.	Anika starts a private notebook logging reps, food, pain, and memories.	Self-surveillance becomes coping architecture.	NO
scene_04_01	chapter_04	1	Settle nerves before borough ladder match.	Older opponent taunts Anika's age and inexperience.	Anika adopts hyper-controlled pre-serve routines.	She narrows emotion into process.	NO
scene_04_02	chapter_04	2	Close the match and validate training plan.	Crowd noise triggers hospital associations mid-rally.	Anika wins, then collapses and vomits courtside.	Ravi rewards outcome over wellbeing; pain-performance link deepens.	YES
scene_05_01	chapter_05	1	Increase training load for city qualifier.	Recurring shin pain disrupts movement patterns.	Anika hides the limp when Ravi looks over.	Injury worsens under concealment.	NO
scene_05_02	chapter_05	2	Handle school nurse intervention.	Nurse requests imaging and rest note.	Anika downplays pain to avoid restrictions.	Medical truth is deferred, risk compounds.	NO
scene_05_03	chapter_05	3	Preserve qualifying readiness at any cost.	Jonah declines extra drills and Ravi pressures from sideline.	Anika runs unauthorized late-session suicides alone.	She chooses short-term readiness over bodily safety.	YES
scene_06_01	chapter_06	1	Submit hardship fee paperwork on deadline.	Forms require debt disclosure and supporting statements.	Anika sees the oncology balance and late notices.	Winning becomes tied to imagined financial rescue.	YES
scene_06_02	chapter_06	2	Process what she learned without confrontation.	Ravi minimizes debt severity and shuts down questions.	Anika silently adds extra sessions to her notebook plan.	Pressure internalizes; she self-coerces harder.	NO
scene_07_01	chapter_07	1	Attend Zoe's birthday and stay present.	Anika tracks calories and missed practice minutes.	A silly party game cracks her guarded posture.	Temporary return of ordinary childhood affect.	NO
scene_07_02	chapter_07	2	Repair friendship on honest terms.	Zoe challenges Anika's disappear-and-return pattern.	Anika admits she listens for Maya's key every night.	Emotional truth restores relational foothold.	YES
scene_07_03	chapter_07	3	Go home without relapse into silence.	Ravi interrogates how late she stayed.	Anika answers briefly but does not retract the evening.	She claims a small zone of non-squash life.	NO
scene_08_01	chapter_08	1	Qualify at city tournament.	Sharp shin pain and bracket pressure escalate each round.	Anika plays through and secures qualification.	Immediate success purchased with structural injury risk.	YES
scene_08_02	chapter_08	2	Stabilize after collapse.	Ravi pushes to reinterpret pain as cramp.	Imaging confirms stress fracture and six-week no-impact order.	External authority halts the regimen and humiliates Ravi.	NO
scene_09_01	chapter_09	1	Survive first week off-court.	No physical outlet amplifies grief intrusions.	Anika starts pacing nightly routes inside the apartment.	Rest becomes another performance trap.	NO
scene_09_02	chapter_09	2	Re-establish contact with Ravi.	Ravi extends overtime and avoids conversation at dinner.	Attempted small talk fails into silence.	Household intimacy deteriorates.	YES
scene_09_03	chapter_09	3	Find a nightly ritual that contains panic.	Silence after lights-out feels unmanageable.	Anika replays Maya's voicemail until she can mouth every line.	Memory ritual soothes and traps her simultaneously.	NO
scene_10_01	chapter_10	1	Begin compliant physical therapy.	Tess sets strict load limits; Ravi challenges her authority.	Functional testing exposes weakness and fear.	Anika loses invincibility narrative in front of both adults.	YES
scene_10_02	chapter_10	2	Retain eligibility under program rules.	Ravi seeks exceptions through administrators.	Official warning states any protocol breach triggers suspension.	Power shifts from household command to institutional constraints.	NO
scene_11_01	chapter_11	1	Empty hospital locker before storage fee renewal.	Administrative rush discourages emotional pause.	Anika finds sealed envelope bundle labeled for future birthdays.	Past opens as active pressure in the present.	NO
scene_11_02	chapter_11	2	Decide who controls Maya's letters.	Ravi insists on reading first and limiting access.	Anika keeps one letter and refuses to hand it over.	Authority is openly contested, not implied.	YES
scene_11_03	chapter_11	3	Interpret Maya's message privately.	Letter rejects achievement as substitute for living.	Anika recognizes she has been training to avoid feeling.	She commits to testing boundaries at home.	NO
scene_12_01	chapter_12	1	Negotiate terms for return to court.	Ravi accepts limits in principle but inserts loopholes.	Anika lists non-negotiables in writing.	She moves from pleading to contract language.	YES
scene_12_02	chapter_12	2	Run first capped practice under new terms.	Habit and anxiety tempt overwork.	Session stops on time despite unfinished drills.	A new discipline model appears but remains fragile.	NO
scene_13_01	chapter_13	1	Keep the agreed rest day intact.	Ravi has secretly booked a sparring partner.	Anika realizes the contract is being tested immediately.	Trust drops before dialogue even starts.	NO
scene_13_02	chapter_13	2	Refuse coercive training demand.	Ravi invokes Maya to compel obedience.	Anika says no and does not debate further.	Boundary holds; household rupture becomes unavoidable.	YES
scene_13_03	chapter_13	3	Secure safe place for the night.	Fear of escalating conflict and guilt pressure her to return.	Priya receives Anika without interrogating her choices.	Separation becomes public fact with relational cost.	NO
scene_14_01	chapter_14	1	Conduct mediated family meeting.	Years of avoidance push both toward defensiveness.	Priya enforces turn-taking until admissions become specific.	Grief and control are named instead of displaced.	YES
scene_14_02	chapter_14	2	Set enforceable terms for living and training.	Ravi resists external oversight clauses.	All parties sign a written agreement with clear triggers.	Authority is redistributed and documented.	NO
