scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
s01_01	chapter_01	1	Establish Dan's proxy routine — commute, office, signing, smiling — through embodied physical detail	The emptiness of the routine itself; Dan's inability to locate meaning in his workday	Dan moves through a full day of proxy work and recognizes, without naming it, that he is furniture with a commute	The recognition costs him nothing visible, which is the point: there is nothing at stake in his day	NO
s01_02	chapter_01	2	Mira proposes divorce; Dan agrees; the mutual decision crystallizes	No opposition — the absence of conflict is itself the pressure; a marriage ending by mutual exhaustion	Agreement arrives instantly, which reveals that the marriage has been over longer than either admitted	Relief and grief arrive simultaneously; neither can pretend this was a hard decision, which makes it harder	YES
s02_01	chapter_02	1	Render Mira's proxy work as distinct from Dan's — Gemini-state is faster, more demanding, less polite	Gemini-state's relentless pace; Mira's competence becoming a trap that makes her more useful and more miserable	Mira performs at a level that earns her more visible duties, deepening her entanglement	Her professional skill becomes the mechanism of her captivity	NO
s02_02	chapter_02	2	Mira files divorce papers and receives the infrastructure flag notification	The filing is frictionless; the opposition arrives after — the bureaucratic flag	Twenty mundane minutes of form-filling give way to an opaque system notification that reframes everything	The flag introduces a new adversary — not Dan, not the marriage, but the system itself	YES
s03_01	chapter_03	1	Dan and Mira prepare for the meeting with Lena Morse — anxiety, speculation, the strangeness of being summoned	Their own ignorance about what the meeting means; the gap between expectation and institutional reality	They expect a bureaucratic formality and begin to sense it will be something worse	Preparation reveals how little they understand about the system that governs them	NO
s03_02	chapter_03	2	Lena Morse delivers the infrastructure classification — the marriage, apartment, finances, and child-care routine are all strategic assets	Lena's bureaucratic composure; the classification's absurd granularity; the impossibility of arguing with perfect institutional logic	Each new detail of the classification is more specific and more insane than the last — grocery delivery, commute patterns, the refrigerator's energy profile	Divorce is formally blocked; their private life is reclassified as someone else's resource	YES
s03_03	chapter_03	3	Dan and Mira argue on the sidewalk afterward — their first honest conversation in months	Each other, briefly, but the real target is the system; they're angry at the same thing but can't stop aiming at each other	The argument shifts from blaming the system to blaming each other and back — the alliance is fragile	They leave the argument both more unified and more raw; the shared enemy doesn't erase the personal damage	NO
s04_01	chapter_04	1	Dan takes Theo to school — the AI-administered school rendered through physical detail	The school's optimized normalcy; Dan's unease that he can't articulate because the system isn't visibly wrong	Dan watches Theo disappear into a school that works perfectly and feels slightly off	Dan's protectiveness sharpens without a clear target — the threat is competence, not malice	NO
s04_02	chapter_04	2	The parent-interface session — developmental metrics, resilience indicators, optimization data about Theo	The algorithm's accuracy; Dan's inability to argue with data that is correct but alien	Dan sees charts about his son that are more detailed than his own understanding — the machine knows Theo better in quantifiable terms	Dan's sense of parental authority is quietly undermined; Theo's school placement, friend group, and activities are all optimized	YES
s05_01	chapter_05	1	A full proxy meeting — decisions displayed, nods performed, documents signed	The meeting's meaninglessness; Dan's role is to be present, not to contribute	Dan sits through an hour of decisions he doesn't understand and signs four documents he hasn't read	His compliance deepens without resistance — the routine is sedative	NO
