scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
c01_s01	chapter_01	1	Buy enough coal before queues empty	Limited cash and Tom's missing wages	Elsie learns the account is already overdrawn	She must borrow from Noreen and incur social debt	NO
c01_s02	chapter_01	2	Keep Tom from noticing pantry shortages	Tom deflects with jokes and refuses numbers	Noreen overhears the argument through the wall	Elsie's private shame becomes shared knowledge	YES
c01_s03	chapter_01	3	Restore calm with tea and neighbor chat	Pregnancy exhaustion and cold strain both women	Noreen offers coal without asking questions	A practical alliance forms outside both husbands	NO
c02_s01	chapter_02	1	Return a misdelivered envelope discreetly	Envelope is marked urgent and already opened by mistake	Noreen recognizes finance terms tied to pram layaway	She now holds proof of Elsie's hidden debt crisis	NO
c02_s02	chapter_02	2	Decide whether to tell Peter what she learned	Peter demands to know why she is unsettled	Noreen lies to Peter and tells Elsie the truth	Women become complicit; marital transparency decreases	YES
c03_s01	chapter_03	1	Prepare a shared Christmas meal from scarce supplies	Rationed sugar and missing meat order	Mrs. Bhatti swaps lentils for credit	Holiday proceeds but with visible scarcity	NO
c03_s02	chapter_03	2	Keep dinner conversation light	Peter steers talk toward merit and respectability	He mocks Noreen's family and accent	Noreen stops performing gratitude	YES
c03_s03	chapter_03	3	Defuse brewing fight between husbands	Tom counters with loud bravado and half-truths	Arthur's delayed arrival redirects the table	Conflict pauses but humiliation lingers	NO
c03_s04	chapter_03	4	End evening without public rupture	Noreen wants private apology from Peter	Peter refuses and blames stress	Noreen emotionally withdraws from him	NO
c04_s01	chapter_04	1	Find Tom before roads close	Depot is shut and pub staff protect regulars	Elsie confirms Tom never reported to his shift	Fear replaces anger	NO
c04_s02	chapter_04	2	Get through night safely	Phone lines and power fail	Elsie sleeps at Noreen's and reveals prior stillbirth	Intimacy deepens through vulnerability	YES
c05_s01	chapter_05	1	Stabilize Noreen when bleeding starts	Peter insists it is anxiety	Elsie times contractions and overrides him	Peter's authority is publicly weakened	YES
c05_s02	chapter_05	2	Reach medical help	Roads are blocked and ambulance cannot pass	Midwife gives instructions by delayed callback	Women manage crisis alone	NO
c05_s03	chapter_05	3	Assess aftermath by morning	Pain subsides and bleeding slows	Peter frames event as overreaction	Noreen's trust in Peter drops sharply	NO
c06_s01	chapter_06	1	Build a two-week ration plan	Tom refuses to disclose debts and spending	Elsie hides tins in Noreen's pantry	Household loyalty lines shift	NO
c06_s02	chapter_06	2	Avoid confrontation over missing supplies	Tom inventories shelves and accuses Elsie	Elsie refuses to explain where food went	Tom begins surveillance at home	YES
