scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
s01_01	chapter_01	1	The Bebop returns to Mars and discovers their docking spot behind Mama Yun's is occupied by an unfamiliar ship	The ship is dark, locked, owner absent — no one to confront; Mama Yun is unhelpful because the pilot pre-paid	Mama Yun reveals six months of docking fees paid in cash — this is not a squatter, this is someone who planned	Jet's territorial rage is impotent; they burn their last woolongs docking two blocks away at a paid spot	NO
s01_02	chapter_01	2	The crew eats at Mama Yun's and argues about the failed Deimos bounty while processing the parking situation	Crew dysfunction — Spike and Faye blame each other, Jet blames everyone, no one agrees on what to do about the ship	The argument about the bounty reveals how broke they are — the parking spot wasn't just convenient, it was necessary	Their poverty is exposed as structural, not temporary; the ship isn't just an irritation, it's a threat to their survival infrastructure	NO
s01_03	chapter_01	3	Ed runs the ship's ID through databases while the crew settles in for the night	The ID is clean — proper registration, no warrants, no obvious flags	Ed finds an anomalous signal pattern in the ship's ID that triggers something in the deep bounty databases — Ed's expression shifts	The anomaly is the first sign this is not random; Ed's reaction signals to the reader that something significant has been found	YES
s02_01	chapter_02	1	Ed presents the dormant bounty for Hosuke Takara to the crew — physical description matches a younger Jet	Jet's defensive silence — he recognizes something but won't say what; the crew doesn't know enough to push	Ed's cheerful presentation collides with Jet's visible rigidity — the gap between Ed's innocence and Jet's recognition creates tension	Jet now carries private knowledge that someone has accessed his buried past; he cannot dismiss this as coincidence	YES
s02_02	chapter_02	2	Spike privately analyzes the ship's signal frequency and recognizes it as his old syndicate logistics handshake	The recognition is dangerous — if the old network is live, Spike's location is flagged for people who want him dead	Spike decides to tell no one, reverting to syndicate survival mode — concealment from his own crew	Spike's silence creates an information asymmetry that will fuel the Chapter 11 argument; he is now operating on a separate agenda	NO
s02_03	chapter_02	3	Faye encounters Miriam the waitress at Mama Yun's who insists she remembers Faye from a Ganymede gambling table	Faye's cryosleep timeline makes this impossible — she was frozen; Miriam's certainty versus Faye's knowledge of her own history	Miriam describes the collarbone gesture — Faye's hand goes involuntarily to her own collarbone, a recognition that bypasses logic	Faye's sense of her own identity is destabilized; someone who was not her made her gestures under her name	YES
s03_01	chapter_03	1	Jet recognizes Hosuke Takara as his own teenage alias and begins investigating how this bounty exists	The bounty contains information from ISSP internal records — Jet's sealed vetting file; someone has institutional access he cannot explain	Donovan reveals the bounty was reactivated using a dead informant's access codes — the name Daichi Kozuki, which Jet has never heard	The dead informant's codes being active points to either ISSP negligence or deliberate preservation; Jet has a name but no context	YES
s03_02	chapter_03	2	Jet walks his old Tharsis streets trying to reconcile his teenage self with the bounty's existence	The physical landscape has changed — his old stash building is a laundromat; the past is not accessible through geography	Sitting in the laundromat watching clothes tumble, Jet confronts that his transitions from criminal to cop to bounty hunter were never clean	Jet's self-narrative of redemption cracks; he is more continuous with his past than he has admitted	NO
s03_03	chapter_03	3	Jet returns to the Bebop and deflects the crew's questions about what he found	The crew can see something is wrong; Spike notices Jet's evasion but does not press because Spike is hiding his own discovery	Jet's deflection mirrors Spike's silence — the crew's mutual concealment is now structural, not incidental	The parallel secrets establish the pattern that will explode in Chapter 11; the crew's trust is being undermined from within by each member	NO
s04_01	chapter_04	1	Spike revisits his syndicate-era storage locker and examines the annotated cargo manifest	The locker should be undisturbed — someone has been inside without triggering Spike's biometric lock	The manifest annotation 'She needed this to live' reframes the weapons supply chain as someone's medical lifeline	Spike's logistics work, which he treated as impersonal infrastructure, is revealed to have sustained a human life; his detachment is challenged	YES
s04_02	chapter_04	2	The mysterious ship moves south — Ed tracks it toward the Hellas basin settlements	The ship is moving at a pace that suggests awareness of being tracked but no urgency to escape	The ship's trajectory leads toward territory that is both remote and historically significant — old syndicate waystation country	The pursuit will take them into Spike's former operational territory, raising the danger level for him specifically	NO
s04_03	chapter_04	3	The crew argues about pursuing the ship and each reveals their separate motivation without fully disclosing why	Four conflicting agendas — Jet wants bounty answers, Spike wants to kill alias exposure, Faye wants identity answers, Ed wants the chase	They agree to pursue despite having different reasons — unity of action masking division of purpose	The Bebop lifts off toward the Hellas basin; the crew is committed to a pursuit whose stakes they each understand differently	YES
s05_01	chapter_05	1	The Bebop engages the mysterious ship in the Hellas basin canyon system	The pilot knows Mars terrain intimately; the canyon system favors her smaller, more maneuverable ship	The crew's coordination fails — Spike and Jet argue vectors, Faye breaks formation, Ed gives unparseable navigation	Fuel burned, positions exposed, the crew's dysfunction is operationally costly for the first time	NO
s05_02	chapter_05	2	Spike in the Swordfish gets close enough to glimpse the pilot in her cockpit	The pilot is not panicked — she is focused, almost amused, which is more unsettling than fear would be	Spike sees a young woman flying with the composure of someone who has planned for this exact scenario	The pilot's calm competence reframes the chase — this is not evasion, it is choreography	YES
s05_03	chapter_05	3	The pilot executes a chaff drop and escapes through a maintenance tunnel	The chaff scrambles targeting; the tunnel is too narrow for the Swordfish	The crew discovers they have been chasing a decoy beacon on a freight drone for twenty minutes	Humiliation plus a Mars traffic violation; the crew's professional pride is damaged alongside their finances	NO
s05_04	chapter_05	4	The crew regroups in the aftermath, processing the failure and the traffic summons	Mutual recrimination — everyone blames everyone; the summons adds 8000 woolongs they do not have	Spike's grudging respect for the pilot's skill shifts the frame — this person is not running from them, she is running them	The crew recognizes they are outmatched in preparation if not in raw ability; the pilot controls the tempo	YES
s06_01	chapter_06	1	The crew drifts in orbit eating bell peppers and beef without beef — the Bebop's baseline domestic rhythm	Poverty and friction — they cannot afford fuel, cannot afford food, and each carries private unease from the discoveries	The bickering is familiar and comforting but carries new undertones — Jet is quieter, Spike scans frequencies, Faye checks her collarbone	The routine survives but is inflected; the crew's defense mechanism of normalcy is working but not fully	NO
s06_02	chapter_06	2	Ed falls asleep on the deck with Ein; Jet covers them; Spike and Faye witness without speaking	No opposition — this is a scene of pure domestic warmth	The family acknowledges itself only in silence — three separate acts of witnessing a small kindness	Emotional baseline established: this is what the crew is when no one is performing; this quiet will make the coming fracture hurt	YES
s07_01	chapter_07	1	Faye finds Miriam at a diner on Mars and gets the full story of the woman at the Golden Ox gambling table	Miriam's memory is detailed and certain; Faye cannot dismiss it but cannot reconcile it with her own timeline	The woman had a scar on her left shoulder blade that Faye does not have — confirming this was a different person wearing Faye's identity	The other Faye becomes physically real — a body with scars, gestures, a specific blue dress; Faye's sense of singular selfhood cracks	YES
s07_02	chapter_07	2	Faye visits a public records office and files an identity verification request using her biometric signature	Bureaucratic process — the records are fragmented, partial, slow to surface	The records confirm Faye's identity was sold by a cryogenic facility clerk three years after she was frozen and used for eleven years	Faye has proof: someone lived her life while she was ice; the identity theft is institutional, not personal	NO
s07_03	chapter_07	3	Faye sits alone in the closed records office processing what she has learned	Internal pressure — the vertigo of discovering you are not the only version of yourself; there is no external opposition, only existential disorientation	Faye does not cry — she sits with it; the clerk lets her stay; the chapter ends on stillness, not catharsis	Faye's motivation to find the pilot is no longer curiosity but need — she must understand the woman who wore her name	YES
s08_01	chapter_08	1	Spike examines the annotated manifest in detail — immunosuppressants for organ-transplant aftercare routed through a weapons pipeline	The manifest is mundane — one line item among dozens; the medication was invisible in the larger operation	Spike realizes someone's survival depended on logistics he managed without thought; the impersonality of the supply chain was itself the cruelty	Spike's self-narrative (the syndicate was a thing that happened to him) begins to collapse — it also happened through him	NO
s08_02	chapter_08	2	Spike visits Hector Moro at The Radiant dive bar to ask about the young woman asking questions	Hector is frightened — someone patient, polite, and well-funded has been asking about old routes; Hector does not want to be involved	Hector names Ayane — a courier on the Tharsis-Hellas run, not syndicate by choice, who ran supplies because her husband was killed and she had a kid	The courier has a name and a life — quiet, reliable, a mother; Spike's infrastructure supported and then failed a real person	YES
s08_03	chapter_08	3	Spike sits alone in The Radiant processing what Hector told him	Internal pressure — the weight of systemic damage done through indifference rather than malice	Spike cannot picture Ayane, cannot access grief for someone he never met, but he can stop pretending the syndicate's damage ended when he walked away	Spike's emotional distance cracks — not dramatically, but enough that his behavior will be subtly different going forward	NO
s09_01	chapter_09	1	Ed cross-references all data in a synesthetic hacking sequence — bounty, alias, identity records, ship travel history	The data is scattered across incompatible systems; the connections are not obvious without Ed's lateral pattern recognition	The ship has visited locations from all four crew members' pasts — including Ed's orphanage on Earth; the pilot left deliberate breadcrumbs	The mystery's scope expands to include Ed; the breadcrumbs confirm the pilot wanted to be followed at a controlled pace	YES
s09_02	chapter_09	2	Ed presents the full web of connections to the crew in the Bebop common room	The crew's resistance to seeing the pattern — this implies comprehensive surveillance of their histories	Ed's sprawling nonlinear presentation silences the room; even Spike stands up straight; the web is undeniable	Every crew member is now implicated; the pilot's project is revealed as years in the making, not opportunistic	YES
s10_01	chapter_10	1	The crew plans a trap using the Hosuke Takara identity as bait at a Mars settlement	Internal coordination failures — the plan requires each person to play a specific role, and their individual agendas conflict	Grosz, an actual old associate from Jet's criminal youth, recognizes Jet and blows the stakeout with loud, oblivious reunion	Jet's cover is blown; the plan's first pillar falls; Jet's buried past surfaces literally in the form of an old friend	NO
s10_02	chapter_10	2	Faye's gambling cover at the settlement card game draws unwanted attention from a local enforcer	The enforcer thinks Faye is running a hustle on his territory — she is, but not the kind he assumes	Faye has to manage the enforcer while maintaining surveillance, splitting her attention and capability	Faye's effectiveness is compromised; the plan's second pillar wobbles	NO
s10_03	chapter_10	3	Spike's overwatch position is compromised by a stray cat triggering a motion sensor	Settlement security responds; Spike must explain his presence on a rooftop with surveillance equipment	The comic absurdity of a cat ruining a tactical position — Spike's cool competence defeated by a feral animal	The plan's third pillar collapses; the entire operation is now held together only by Ed's comms	NO
s10_04	chapter_10	4	Faye spots the pilot in the settlement market, follows her, and they meet face to face in a dead-end courtyard	The pilot knows she is being followed and controls the encounter — she chose the courtyard, the timing, the terms	The pilot says 'She looked more like you than I expected,' drops a data chip with the message 'You're looking at this backwards,' and escapes	The pilot has spoken directly to Faye about the identity theft; the power dynamic inverts; the data chip is an invitation to change approach	YES
s11_01	chapter_11	1	The crew examines the data chip's contents — photograph, medical records, ISSP case file fragments	The evidence is fragmentary but its implications are comprehensive; each fragment implicates a different crew member	Ed maps the connections aloud: one family — informant husband, courier wife, stolen identity — linking three crew members to a single destroyed household	The mystery's human core is visible for the first time; the institutional web has a family at its center	YES
s11_02	chapter_11	2	The crew's argument — the worst they have ever had — exposes each person's concealment and breaks the pact of mutual unknowing	Each person's defensiveness — Jet accuses Spike, Spike accuses Jet, Faye turns on both for treating a dead woman's name as operational detail	The argument is not about the mystery but about the violation of the Bebop's foundational agreement to remain strangers with shared rent	Trust is damaged by exposure, not betrayal; the crew's operating system — strategic ignorance — crashes	YES
s12_01	chapter_12	1	Jet sits alone in a Tharsis bar processing the informant connection — did he choose not to see?	Internal pressure — the question is not guilt but willful blindness; Jet's self-image as the responsible one is challenged	Jet counts water stains on the ceiling and confronts the possibility that his integrity was a form of convenient narrowness	Jet's moral self-understanding is damaged; he cannot undo this knowledge	NO
s12_02	chapter_12	2	Spike sits on a rooftop smoking, thinking about Ayane and the limits of his own empathy	Internal pressure — Spike cannot retrofit compassion for someone he never met; his emotional toolkit is not built for systemic guilt	Spike thinks about Julia, about how his departure from the syndicate was personal, never humanitarian; the collateral humans were never in his frame	Spike's self-awareness deepens without resolving; he will carry this differently going forward	NO
s12_03	chapter_12	3	Faye floats in a bath house processing the existence of another Faye Valentine	Internal pressure — the vertigo of shared identity; Faye's sense of self was already fragile from amnesia, and now it has a double	Faye realizes other people carry memories of a version of her she can never access — Miriam's Faye is more real to Miriam than Faye is	Faye's identity crisis deepens from 'who was I' to 'how many of me were there'	NO
s12_04	chapter_12	4	Ed on the Bebop with Ein, talking and then going quiet at the orphanage records	Ed's usual deflection through play and chatter — the orphanage is the first data point that is personal rather than analytical	Ed sees the entry 'Edward Wong Hau Pepelu Tivrusky IV, age 7, admitted' and goes quiet; Ein puts a paw on Ed's knee; 'That was a long time ago, huh'	Ed's emotional directness — the most unguarded moment in the book — establishes that even Ed is not untouched by this investigation	YES
s13_01	chapter_13	1	The crew plans the Peretti bounty hunt — operational briefing with damaged trust	Every shorthand that used to be automatic now requires explicit negotiation; the unspoken coordination is gone	The briefing is agonizing — Jet gives orders, Spike questions them, Faye makes her mercenary motivation explicit, Ed operates normally which makes it worse	The crew's professional relationship is shown to depend on the personal one; damage to trust degrades operational capability	NO
s13_02	chapter_13	2	The crew hunts Sal Peretti through the Tharsis bazaar — competent but strained teamwork	Peretti is paranoid and well-connected; he has watchers in the bazaar; the crew must coordinate despite friction	They catch Peretti — Spike tackles him into a sack of cumin; the arrest works because their skills are real even when trust is not	The muscle memory of teamwork reasserts despite emotional damage; competence survives where comfort does not	YES
s13_03	chapter_13	3	The payout is less than expected; the crew walks back to the Bebop with groceries	Financial disappointment — the bond was reduced; they clear the ticket and buy food but nothing more	Jet asks 'Same time tomorrow, or are we still not talking?'; Faye takes his splitting grocery bag without answering	The small gesture signals the fracture is survivable; coexistence under economic necessity begins to rebuild what the argument broke	YES
s14_01	chapter_14	1	Ed presents Ren Kozuki's full identity and her parents' story to the crew	The crew's resistance to processing another layer of revelation; emotional fatigue competes with the need to understand	Ed is serious — genuinely measured, not performing; the adults are slow to see what Ed grasps: Ren is not an enemy, she is wreckage from the same forces	The mystery has a human name; the crew's adversary is reframed as a person shaped by their collective wake	YES
s14_02	chapter_14	2	The crew decides over a meal to find Ren — the language shifts from 'confront' to 'understand'	Residual anger and defensiveness — each person's complicity is now named; choosing vulnerability is harder than choosing confrontation	The meal conversation is direct, undefended, without the usual bickering armor — a new mode of interaction for the Bebop crew	The crew chooses understanding over answers; this relational shift sets up the tone for the Dry Well confrontation	YES
