scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
s01_01	chapter_01	1	Complete residency intake and secure work credentials.	Nora's legalistic orientation narrows acceptable subject matter to legacy celebration.	Marisol learns donor clauses can end the commission for reputational harm.	She starts under institutional surveillance and self-censors opening notes.	NO
s01_02	chapter_01	2	Meet Salvador in the closed gallery and request interview access.	Salvador refuses formal interview protocol and tests Marisol's nerve.	He recognizes Gloria's name and offers private sessions only.	Marisol trades procedural safety for exclusive access.	YES
s01_03	chapter_01	3	Ground herself after the meeting without drinking.	Craving rises after Salvador's provocation and secrecy bait.	Luis answers and tells her to write facts before feelings.	She postpones relief and commits to evidence logging.	NO
s02_01	chapter_02	1	Record Salvador's first full statement.	Pain medication and ego make him evasive and theatrical.	He states Tomas did not die a martyr and claims Marisol was lied to.	Her central identity story destabilizes before she can verify anything.	YES
s02_02	chapter_02	2	Decide whether to suppress or pursue Salvador's claim.	Fear of relapse and fear of family betrayal pull in opposite directions.	Marisol chooses investigation and alerts Luis instead of hiding.	She loses emotional distance and enters the mystery personally.	NO
s03_01	chapter_03	1	Use All Souls dinner to test family chronology casually.	Gloria and Carina redirect questions into ritual talk and jokes.	Date inconsistencies appear around Tomas's final week.	Marisol realizes the family script is coordinated, not incidental.	NO
s03_02	chapter_03	2	Find physical corroboration inside Gloria's apartment.	Guilt stops Marisol from openly searching rooms.	She discovers a hidden photo of Gloria and Salvador predating her birth.	She crosses a privacy line and cannot return to passive trust.	YES
s04_01	chapter_04	1	Get Ada to run technical scans on Salvador's triptych.	Conservation policy forbids informal data sharing.	Ada agrees to supervised viewing but not file extraction.	Marisol gains limited access while Ada assumes risk.	NO
s04_02	chapter_04	2	Interpret underpainting evidence without overreaching.	Nora insists technical traces are not narrative license.	Infrared reveals a painted-over figure marked T.V.	The mystery shifts from hearsay to material alteration.	YES
s04_03	chapter_04	3	Identify next evidence path from catalog metadata.	Archive indexing is incomplete and intentionally opaque.	A file code points to Red Hook storage manifests.	Marisol's investigation widens beyond museum-controlled spaces.	NO
s05_01	chapter_05	1	Retrieve Red Hook manifests tied to T.V. entries.	Water damage and missing boxes block straightforward search.	A mislabeled crate yields partial shift logs.	Hours of labor produce only fragmentary proof.	NO
s05_02	chapter_05	2	Validate whether logs actually refer to Tomas Vega.	Union steward stonewalls and calls her project predatory.	Retired handler Benny confirms Tomas by scar description.	Marisol gains witness corroboration but alienates union contacts.	YES
s05_03	chapter_05	3	Assemble timeline from copied documents.	Contradictory dates make interpretation uncertain.	She confirms Tomas worked the night before the alleged protest death.	Family myth loses chronological plausibility.	NO
s06_01	chapter_06	1	Confront Gloria with the Red Hook evidence.	Gloria intercepts Marisol outside AA and frames secrecy as maternal duty.	Gloria admits Tomas died of overdose in a motel.	Marisol's martyr framework collapses in public space.	YES
s06_02	chapter_06	2	Prevent immediate self-destruction after the confession.	Shame and rage overwhelm coping routines.	Marisol buys vodka and drinks alone in a bus shelter.	She resets sobriety to day zero and hides the lapse.	YES
s07_01	chapter_07	1	Inventory practical fallout from relapse day.	Hangover, missed calls, and unpaid bills compress decision-making.	She learns she forfeited a paid youth workshop shift.	Economic precarity sharpens the cost of one drinking episode.	NO
s07_02	chapter_07	2	Re-enter recovery community honestly.	Fear of judgment pushes toward minimization.	Marisol takes a day-one chip and states the relapse out loud.	She regains procedural sobriety while losing self-image of control.	YES
s08_01	chapter_08	1	Reconnect with Ada outside institutional context.	Both distrust mixed motives after recent secrecy.	At dinner, Ada sets clear boundaries about files and emotional labor.	Potential intimacy becomes conditional rather than romantic fantasy.	NO
s08_02	chapter_08	2	Decide whether to disclose relapse to Ada.	Marisol fears disclosure will end trust immediately.	She confesses the drinking lapse before they touch.	Ada chooses cautious openness instead of withdrawal.	YES
s08_03	chapter_08	3	Move from confession into physical intimacy.	Residual shame and grief make Marisol detach mid-encounter.	Ada pauses and asks direct consent questions, then intimacy resumes.	Their bond deepens through negotiated vulnerability, not rescue.	NO
s09_01	chapter_09	1	Capture Salvador's final roof-garden testimony on tape.	Salvador mixes remorse with self-exoneration and control.	He says he may be Marisol's biological father.	Interview becomes personal rupture instead of archival exercise.	YES
s09_02	chapter_09	2	Discharge rage without drinking.	Public platform rewards speed over reflection.	Marisol posts an accusatory poem naming patterns everyone can identify.	Museum crisis protocol activates and targets her position.	YES
s10_01	chapter_10	1	Argue against suspension at formal review meeting.	Counsel and donors treat her as reputational threat, not artist.	Badge is deactivated and stipend frozen effective immediately.	She loses institutional leverage and immediate income.	YES
s10_02	chapter_10	2	Preserve contact with Ada after compliance order.	HR warns Ada that informal help could end her employment.	Ada sends one brief message: she needs distance for now.	Marisol is isolated from both archive access and emotional support.	NO
s11_01	chapter_11	1	Request certified death records for Tomas Vega.	Archive backlog and hostile gatekeeping delay processing.	Clerk Imelda identifies a form error Marisol can correct same day.	The search continues, but only through bureaucratic endurance.	NO
s11_02	chapter_11	2	Obtain cause-of-death verification.	Official language around overdose triggers shame spiral.	Certificate confirms acute fentanyl-heroin toxicity.	Family myth is no longer defensible as misunderstanding.	YES
s11_03	chapter_11	3	Check witness and report signatures for cross-links.	Marisol expects anonymous police documentation.	Witness line reads Salvador Rivas with full address.	She gains decisive evidence while deepening personal betrayal.	YES
s12_01	chapter_12	1	Present documents at family dinner and demand full truth.	Gloria reframes forgery as survival under immigration fear and poverty.	Carina admits partial prior knowledge and accuses Marisol of weaponizing art.	Sibling trust breaks in front of Leo.	YES
s12_02	chapter_12	2	Keep housing stability after confrontation.	Carina prioritizes household calm over continued conflict.	Carina tells Marisol to leave that night with one suitcase.	Marisol becomes temporarily unhoused and relationally exiled.	YES
s13_01	chapter_13	1	Draft catalogue essay before Salvador's condition worsens.	Early drafts flatten into revenge rhetoric and self-justification.	Marisol rewrites to include her relapse and Tomas's addiction detail.	She trades moral clarity for harder narrative honesty.	NO
s13_02	chapter_13	2	Secure final interview window with Salvador.	Nurse warns lucid intervals are brief and unpredictable.	Marisol submits focused questions and gets one morning slot.	Dread increases because closure is time-limited and uncertain.	YES
s14_01	chapter_14	1	Spend non-strategic Saturday with Leo and Carina.	Awkwardness keeps conversation brittle and defensive.	Leo's pigeon obsession pulls everyone into ordinary laughter.	Family baseline reappears without resolving core conflict.	NO
s14_02	chapter_14	2	Repair minimal trust with Carina through practical help.	Carina doubts Marisol can show up consistently.	They complete errands and homework together without arguing evidence.	Carina allows limited future contact under strict boundaries.	NO
s14_03	chapter_14	3	Understand Gloria's motives beyond control.	Marisol expects another strategic lie.	Pawn ticket proves Gloria sold her wedding ring for Marisol's first rehab payment.	Marisol's moral frame of Gloria becomes more complex and less punitive.	YES
s15_01	chapter_15	1	Obtain legal permission to use Salvador's taped confession posthumously.	Estate attorney invokes defamation and donor risk to block release.	Salvador dies before signing final authorization.	Official route to publication closes.	YES
s15_02	chapter_15	2	Find an alternative evidentiary path.	Ada risks termination if she shares restricted conservation files.	Ada sends corroborating scans and metadata through a traceable channel.	Marisol gains proof while Ada is placed on administrative leave.	YES
s16_01	chapter_16	1	Attend Salvador's wake and observe legacy narrative formation.	Mourners and clergy pressure everyone toward saintly coherence.	Marisol hears contradictions erased in real time.	She decides silence would reenact the core lie.	NO
s16_02	chapter_16	2	Read a poem that refuses sanitization.	Gloria and Nora urge restraint to avoid permanent fallout.	Marisol reads anyway, naming overdose, forgery, and tenderness together.	Gloria walks out and family rupture becomes public.	YES
s16_03	chapter_16	3	Absorb immediate aftermath of public rupture.	Local arts reporter requests comment while mourners split into camps.	Nora refuses on-record condemnation and leaves without speaking.	Institutional conflict remains unresolved but cannot be privatized again.	NO
s17_01	chapter_17	1	Meet Gloria at Coney Island to set publication boundary.	Both arrive prepared to defend incompatible moral claims.	Gloria confirms Salvador's paternity and says Tomas chose the martyr lie for benefits and Marisol's childhood stability.	Marisol loses the option of simple villain framing.	YES
s17_02	chapter_17	2	Choose manuscript form and disclosure limits.	Pressure from media rewards total expos\u00e9 and certainty.	Marisol commits to a hybrid documentary-poetic book with redactions and consent limits.	She accepts critique from all sides in exchange for ethical coherence.	NO
s18_01	chapter_18	1	Read from the completed manuscript at a small bookstore six months later.	Audience skepticism and career contraction shadow the event.	Marisol reads survival-centered work without martyr rhetoric.	She claims an artistic identity not dependent on inherited myth.	YES
s18_02	chapter_18	2	Define next step with Ada after public fallout.	Neither can promise uncomplicated trust or immediate domestic merger.	They agree to restart slowly while Marisol keeps daily recovery structure.	Ending lands on ongoing practice rather than closure fantasy.	NO
