scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
ch01_s01	chapter_01	1	Nick takes the Zoom call from his publisher client, hoping to discuss the next cover commission	The publisher tells him they are switching to Midjourney — there is no next commission	Nick's last professional lifeline is severed in a three-minute call	Nick loses his only income source; the publisher's casual tone makes the loss feel administrative rather than personal	YES
ch01_s02	chapter_01	2	Nick tries to assess his situation — bills, savings, options	His apartment confronts him with the evidence: overdue rent, dwindling supplies, unsold paintings stacked against the wall	The financial reality is worse than he let himself believe while he still had the client	Nick must face that he has been surviving, not thriving, and the margin is gone	NO
ch01_s03	chapter_01	3	Nick rage-browses AI art forums, looking for evidence that the technology is inferior	Midjourney produces variations of his style that are faster and arguably better — the evidence goes the wrong way	Instead of confirming his superiority, the browsing session crystallizes the plan: learn to code, infiltrate, poison the data	Nick commits to a scheme that may be brilliant or delusional; he has no fallback	NO
ch02_s01	chapter_02	1	Nick begins teaching himself Python through YouTube tutorials and online courses	His painter's brain rejects boolean logic; he cannot parse the syntax; the tutorials assume knowledge he lacks	After weeks he can follow tutorials but cannot solve novel problems independently	Nick has spent his diminishing savings on time that produced minimal competence	NO
ch02_s02	chapter_02	2	Nick grinds LeetCode problems, trying to reach the minimum competence for a technical interview	He fails the same Easy-tier problems repeatedly; the gap between memorized patterns and understanding is vast	Nick discovers he can pass roughly forty percent of Easy problems by pattern-matching rather than comprehension — enough to be plausible if the interview is merciful	He has substituted understanding with mimicry, which is fragile and will not survive hard questions	YES
ch02_s03	chapter_02	3	Jess calls from her residency; Nick wants connection but cannot reveal his plan	Jess is still painting, still broke but making work — her continued artistic practice is an implicit rebuke to Nick's abandonment of the studio	Nick hangs up having said nothing about the plan, which isolates him further inside the project	Nick loses his last chance to have someone talk him out of it; his isolation is now structural	NO
ch03_s01	chapter_03	1	Nick attempts to survive the coding portion of the Canopy interview	The problems exceed his preparation; his memorized patterns only partially apply	He scrapes partial credit on the easiest question and visibly struggles on the rest — the interviewer is ready to end it	Nick's cover as a competent coder is already cracking; the interview should be over	YES
ch03_s02	chapter_03	2	Nick takes the image-evaluation portion, expecting a formality	The evaluation is rigorous: sample AI images with subtle errors that test visual analysis	Nick's trained eye catches anatomical, lighting, and compositional errors the answer key does not even flag — his scores are extraordinary	The interviewer's confusion at the disconnect between coding weakness and visual brilliance buys Nick a second look	NO
ch03_s03	chapter_03	3	Nick waits for the callback, unsure whether his evaluation scores can override his coding performance	The evaluation team lead reviews his scores and overrides the coding concern	Nick is hired — his visual expertise outweighs his technical weakness	Nick is inside Canopy, but his position depends on a skill set that is genuinely his, not fabricated — the infiltration is built on real competence, which will complicate the sabotage	NO
ch04_s01	chapter_04	1	Nick arrives at the San Leandro business park for his first day, maintaining his cover identity as a job-seeker who happens to have art training	The physical environment is disorienting — fluorescent lights, cubicle rows, corporate onboarding paperwork	Nick absorbs the gap between the work's intellectual demand and its industrial setting	Nick is now inside an institution he planned to subvert, and the first impression is not villainy but banality	NO
ch04_s02	chapter_04	2	Nick meets his evaluation team: Dani, Tommy, Bao, Priya	Each person is more specific and human than the faceless corporate drones he imagined sabotaging	Nick registers that his coworkers are mostly artists and gig workers — people whose skills translate to this work because they have the same visual training he does	The realization complicates his moral framework: these are not the enemy, they are the collateral	YES
ch04_s03	chapter_04	3	Nick completes his first full day of rating images on the five-point scale	The work is simultaneously boring and demanding — the rubric categories require genuine visual judgment but the pace is industrial	Nick discovers that his painter's eye makes the work easy in ways his coworkers struggle with, but the repetition is deadening	Nick's first day establishes the rhythm that will define his double life: real skill applied to real work for reasons that are not what anyone thinks	NO
