scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
scene_0101	chapter_01	1	Heal the injured farmer; demonstrate the cost of action	The injury's severity outstrips Vel's budget	The healing succeeds but costs two levels more than planned	Vel drops to 31; her margin for the journey shrinks	NO
scene_0102	chapter_01	2	Assess readiness for the journey to zero	Vel's own doubts and depleted resources	She cannot afford to wait — each job drains her closer to a level where the crossing becomes impossible	She commits to leaving now	NO
scene_0103	chapter_01	3	Identify and locate a high-level spender willing to fall; check route journal	The rarity of Hoarded defectors; the journal's fading annotations	She hears about Kem Aldraste walking out of the Vault; Maren's route journal confirms the southern path	She has a target and heads north; the journal establishes the care she shows an object that isn't hers	YES
scene_0201	chapter_02	1	Endure the Conservatory Rite without breaking	Social pressure; family expectation; his father's visible deterioration	Kem sees his father's empty eyes and cannot stay still any longer	He stands up mid-rite — the break is public and irreversible	YES
scene_0202	chapter_02	2	Leave the Vault using abilities for the first time	Guards; the Vault's physical barriers; his own inexperience	His Projection Shield is absurdly overpowered for opening a door; he takes the House signet from the gate stand	He's out; the court is horrified; 10 levels spent in minutes; the signet is a marker he carries without deciding to	NO
scene_0203	chapter_02	3	Survive first hours outside the Vault	Basic survival requirements he has never faced	His Sustenance Charm produces food for forty because he cannot calibrate	Free, lost, and burning levels on trivial problems	NO
scene_0301	chapter_03	1	Assess whether Kem is useful as a cascade partner	Vel's disgust at his wastefulness and ignorance	Kem has the levels she needs and a genuine desire to reach zero	She proposes the alliance despite her contempt	YES
scene_0302	chapter_03	2	Negotiate terms of the partnership	Mutual distrust; Kem's demand for information; Vel's secrecy	Terms agreed: she guides, he follows, she controls when information is shared	Alliance formed; Vel conceals the mechanism's requirements	NO
scene_0401	chapter_04	1	Evade Hoarded outriders on their trail	Outriders at level 295 with minimal enforcement training	Detection; evasion fails	Fight begins — first real combat	NO
scene_0402	chapter_04	2	Survive first real combat as a team	Outriders' raw power; Kem's total lack of combat experience	Kem is absurdly powerful and absurdly wasteful; Vel is surgical	Outriders defeated; Kem drops 41 levels, Vel spends 3	YES
scene_0403	chapter_04	3	Regroup after the fight	Vel's fury at the waste vs. Kem's exhilaration	Kem is grinning despite the cost — he has never felt alive before	Pursuit confirmed; they need to move smart	NO
scene_0501	chapter_05	1	Make camp and teach Kem basic survival without abilities	Kem's aristocratic helplessness and physical incompetence	Dark comedy of privilege meeting practice; Kem is terrible but earnest	Vel's contempt begins shifting toward something warmer	NO
scene_0502	chapter_05	2	Exchange personal histories over evening fire	Vel's secrecy about zero; Kem's need to understand her	Vel shares her origin (the drowning girl); Kem shares his truth about his father	Real trust established; both become people to each other	YES
scene_0601	chapter_06	1	Accept and understand the retrieval assignment	Sable's lack of field experience; the assignment's absurdity	The Council cannot deploy the Red Reserve without admitting inaction philosophy is insufficient	Sable accepts the impossible assignment	NO
scene_0602	chapter_06	2	Assemble and orient a pursuit team	Five untrained level-300 agents who have never been in a field	The orientation is institutional absurdity at peak: protocols from desk-bound authors, equipment none can use	The most powerful, least competent tracking force ever assembled	YES
scene_0603	chapter_06	3	Leave the capital for the first time using an ability	The psychological barrier of her first spend	Sable activates a Wayfinder and experiences directed ability use for the first time	Sable at 298; the feeling is violation, release, and something she cannot name	NO
scene_0701	chapter_07	1	Enter the Spent Towns and resupply	Suspicion of outsiders; culture shock for Kem; the signet drawing hostility	The Spent Towns are functional and more alive than anything in the Vault; a tavern keeper sees Kem's signet and her face closes	Kem's worldview directly challenged; his first shame at the symbol of his house	NO
scene_0702	chapter_07	2	Hire Dren as a guide through the southern routes	Dren's reluctance and the risk to his family's stability	Dren agrees for payment that could cover his daughter's healing	They have a guide with his own economic stakes	YES
scene_0801	chapter_08	1	Detect and evade Sable's approaching team	Five level-300 agents approaching from the north	Detection fails; the agents arrive before they can move	Combat is unavoidable	NO
scene_0802	chapter_08	2	Survive the fight against untrained but powerful agents	Raw level-300 ability power causing environmental destruction	The fight shifts from comic (agent fuses to boulder) to dangerous (Vel cracks ribs from a glancing hit)	Vel burns 6 levels; Kem burns 42; Dren takes silo shrapnel	YES
scene_0803	chapter_08	3	Escape the disorganized agents	Pursuit by disoriented but recovering agents	Sable watches and learns rather than engaging directly	They escape diminished; Sable has begun studying combat	NO
scene_0901	chapter_09	1	Tend Dren's wound without abilities; take stock of transformation	Kem's lack of medical skill; the emotional weight of his level descent	Kem performs ugly but functional field medicine — his first competent non-ability act	Kem is changing from liability to partner	NO
scene_0902	chapter_09	2	Learn about level zero as a threshold	Vel's habitual secrecy; the concept's strangeness	Vel reveals zero is a threshold to a world without the Ledger	The journey gains a metaphysical destination	YES
scene_1001	chapter_10	1	Reach Thessa's settlement and confront the past	Thessa's hostility; twelve years of silence; the Hoarded representative with early-stage Stillness	Thessa is not happy to see Vel; the Hoarded rep's speech slows mid-sentence, eyes going vacant — Stillness in present tense	The spoken confrontation begins; Stillness is rendered outside the Vault for the first time	NO
scene_1002	chapter_10	2	Navigate the confrontation; extract route information	Thessa's Hoarded deal; Vel's guilt; Thessa's revelation about Vel searching for defectors	Thessa gives partial route info, reveals Vel came through years ago asking about high-level defectors; Vel consults Maren's route journal and Thessa recognizes it	Trust between Vel and Thessa shattered; partial route obtained; the manipulation seed is planted; Kem notices	YES
scene_1003	chapter_10	3	Flee before the Hoarded representative acts	Hoarded presence closing in; emotional wreckage	Kem burns 18 levels on defensive abilities during the escape	Vel is shaken; Kem at ~160; the route to the Margins is partially mapped; Kem's trust has its first crack	NO
scene_1101	chapter_11	1	Cross a river without using abilities; confront the limits of restraint	The river's genuine danger; Kem's instinct to spend; Vel's judgment that the crossing is possible without abilities	Kem fights the river for two hours and nearly drowns — the river was more dangerous than Vel judged; the lesson is that restraint without judgment is ideology, not discipline	Kem learns restraint has limits; Vel absorbs that her call was wrong; Vel confronts Kem about bleeding levels on incidentals	YES
scene_1102	chapter_11	2	Report to Lady Aldraste; confront shifting loyalty and the developing question	Sable's duty vs. her growing identification with Kem's choice; the question forming about what spending means	Sable withholds information about her own transformation; the question sharpens: does spending make you more?	The pursuit's institutional foundation cracks; Sable's question about zero begins to form	NO
scene_1201	chapter_12	1	Cross the Margins and witness exploitative bureaucracy through dark comedy	Depleted communities; distrust of Kem's Hoarded identity; the absurdity of Hoarded labor classifications	The Margins' exploitation is rendered through bureaucratic dark comedy: Productivity Tiers, Renewable Expenditure Units, interest rates nobody can follow	The system's violence dressed in procedural language; Vel's romanticism about spending challenged	NO
scene_1202	chapter_12	2	Intervene in Hoarded exploitation; Kem's major spending chapter	The enforcer and backup; Kem's dwindling levels; Vel's cascade budget burning	Kem spends 98 levels on deliberate interventions: healing, breaking the enforcement mechanism, combat, infrastructure, smaller helps (148 to 50)	Every spend dramatized as a moral choice; Vel watches her budget burn and can't tell him to stop; Dren makes his first non-transactional choice	YES
scene_1203	chapter_12	3	Learn about the threshold's geography from Fallow	Fallow's exhaustion; their unsentimental view of zero	Fallow describes the Scour — where people at zero vanish — with flat dark humor; Vel consults Maren's route journal for the path	The route to the threshold is concrete; zero is real to the Margins as disappearance, not destination	NO
scene_1301	chapter_13	1	Register the symbolic moment of matching Vel's starting level	The psychological weight of sustained depletion; emergency road-collapse spend	Kem hits 31 after emergency spend (12 levels) and incidentals (7 levels) — Vel's starting number	Empathy deepens despite growing tension; the number carries weight	NO
scene_1302	chapter_13	2	Learn the cascade mechanism's requirements	The mechanism's specificity; Vel's concealment; Thessa's earlier revelation compounding	Vel explains co-spending cascade; Kem realizes she planned for a high-level partner all along — Thessa's Ch 10 seed pays off	Vel's manipulation exposed as premeditated, not opportunistic	YES
scene_1303	chapter_13	3	Confront Vel about using him — with Margins awareness	Kem's cold anger contaminated by Margins context; Vel's inability to deny the accusation	Kem accuses Vel of replicating the Hoarded's logic: recruiting him as a component the way the system uses Margins people; Vel's delay in answering is its own answer	Alliance fractured but intact — they cannot survive alone; Kem considers discarding the signet, keeps it	NO
scene_1401	chapter_14	1	Navigate fractured alliance through the deep Margins	Communication collapsed to logistics; hostile territory at near-zero levels	Vel and Kem move with practiced efficiency and no warmth — the mechanical competence is worse than hostility	The fracture sustained; the reader trapped in Kem's perspective	NO
