scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
scene_0101	chapter_01	1	Heal the injured farmer; demonstrate the cost of action	The injury's severity outstrips Vel's budget	The healing succeeds but costs two levels more than planned	Vel drops to 31; her margin for the journey shrinks	NO
scene_0102	chapter_01	2	Assess readiness for the journey to zero	Vel's own doubts and depleted resources	She cannot afford to wait — each job drains her closer to a level where the crossing becomes impossible	She commits to leaving now	NO
scene_0103	chapter_01	3	Identify and locate a high-level spender willing to fall	The rarity of Hoarded defectors	She hears about Kem Aldraste walking out of the Vault	She has a target and heads north	YES
scene_0201	chapter_02	1	Endure the Conservatory Rite without breaking	Social pressure; family expectation; his father's visible deterioration	Kem sees his father's empty eyes and cannot stay still any longer	He stands up mid-rite — the break is public and irreversible	YES
scene_0202	chapter_02	2	Leave the Vault using abilities for the first time	Guards; the Vault's physical barriers; his own inexperience	His Projection Shield is absurdly overpowered for opening a door	He's out; the court is horrified; 10 levels spent in minutes	NO
scene_0203	chapter_02	3	Survive first hours outside the Vault	Basic survival requirements he has never faced	His Sustenance Charm produces food for forty because he cannot calibrate	Free, lost, and burning levels on trivial problems	NO
scene_0301	chapter_03	1	Assess whether Kem is useful as a cascade partner	Vel's disgust at his wastefulness and ignorance	Kem has the levels she needs and a genuine desire to reach zero	She proposes the alliance despite her contempt	YES
scene_0302	chapter_03	2	Negotiate terms of the partnership	Mutual distrust; Kem's demand for information; Vel's secrecy	Terms agreed: she guides, he follows, she controls when information is shared	Alliance formed; Vel conceals the mechanism's requirements	NO
scene_0401	chapter_04	1	Evade Hoarded outriders on their trail	Outriders at level 295 with minimal enforcement training	Detection; evasion fails	Fight begins — first real combat	NO
scene_0402	chapter_04	2	Survive first real combat as a team	Outriders' raw power; Kem's total lack of combat experience	Kem is absurdly powerful and absurdly wasteful; Vel is surgical	Outriders defeated; Kem drops 41 levels, Vel spends 3	YES
scene_0403	chapter_04	3	Regroup after the fight	Vel's fury at the waste vs. Kem's exhilaration	Kem is grinning despite the cost — he has never felt alive before	Pursuit confirmed; they need to move smart	NO
scene_0501	chapter_05	1	Make camp and teach Kem basic survival without abilities	Kem's aristocratic helplessness and physical incompetence	Dark comedy of privilege meeting practice; Kem is terrible but earnest	Vel's contempt begins shifting toward something warmer	NO
scene_0502	chapter_05	2	Exchange personal histories over evening fire	Vel's secrecy about zero; Kem's need to understand her	Vel shares her origin (the drowning girl); Kem shares his truth about his father	Real trust established; both become people to each other	YES
scene_0601	chapter_06	1	Accept and understand the retrieval assignment	Sable's lack of field experience; the assignment's absurdity	The Council cannot deploy the Red Reserve without admitting inaction philosophy is insufficient	Sable accepts the impossible assignment	NO
scene_0602	chapter_06	2	Assemble and orient a pursuit team	Five untrained level-300 agents who have never been in a field	The orientation is institutional absurdity at peak: protocols from desk-bound authors, equipment none can use	The most powerful, least competent tracking force ever assembled	YES
scene_0603	chapter_06	3	Leave the capital for the first time using an ability	The psychological barrier of her first spend	Sable activates a Wayfinder and experiences directed ability use for the first time	Sable at 298; the feeling is violation, release, and something she cannot name	NO
scene_0701	chapter_07	1	Enter the Spent Towns and resupply	Suspicion of outsiders; culture shock for Kem	The Spent Towns are functional and more alive than anything in the Vault	Kem's worldview directly challenged	NO
scene_0702	chapter_07	2	Hire Dren as a guide through the southern routes	Dren's reluctance and the risk to his family's stability	Dren agrees for payment that could cover his daughter's healing	They have a guide with his own economic stakes	YES
scene_0801	chapter_08	1	Detect and evade Sable's approaching team	Five level-300 agents approaching from the north	Detection fails; the agents arrive before they can move	Combat is unavoidable	NO
scene_0802	chapter_08	2	Survive the fight against untrained but powerful agents	Raw level-300 ability power causing environmental destruction	The fight shifts from comic (agent fuses to boulder) to dangerous (Vel cracks ribs from a glancing hit)	Vel burns 4 levels; Kem burns 42; Dren takes silo shrapnel	YES
scene_0803	chapter_08	3	Escape the disorganized agents	Pursuit by disoriented but recovering agents	Sable watches and learns rather than engaging directly	They escape diminished; Sable has begun studying combat	NO
scene_0901	chapter_09	1	Tend Dren's wound without abilities; take stock of transformation	Kem's lack of medical skill; the emotional weight of his level descent	Kem performs ugly but functional field medicine — his first competent non-ability act	Kem is changing from liability to partner	NO
scene_0902	chapter_09	2	Learn about level zero as a threshold	Vel's habitual secrecy; the concept's strangeness	Vel reveals zero is a threshold to a world without the Ledger	The journey gains a metaphysical destination	YES
scene_1001	chapter_10	1	Reach Thessa's settlement and request route information	Thessa's hostility; twelve years of silence	Thessa is not happy to see Vel; history erupts beneath the surface	The spoken confrontation begins	NO
scene_1002	chapter_10	2	Navigate the confrontation between Vel and Thessa	Thessa's Hoarded deal; Vel's guilt and stubbornness	Thessa gives partial route info but has been compromised by Hoarded representatives	Trust between Vel and Thessa shattered; partial route obtained	YES
scene_1003	chapter_10	3	Flee before Hoarded representatives arrive	Hoarded presence closing in; emotional wreckage	Vel spends one level on Concealment; they leave without resolution	Vel is shaken; the route to the Margins is partially mapped	NO
scene_1101	chapter_11	1	Cross a river without using abilities	The river's physical danger; Kem's instinct to spend	Kem fights the river for two hours and crosses by brute physical effort	Kem learns that experience outlasts abilities	YES
scene_1102	chapter_11	2	Report to Lady Aldraste; confront shifting loyalty	Sable's duty vs. her growing identification with Kem's choice	Sable withholds information about her own transformation from Lady Aldraste	The pursuit's institutional foundation cracks	NO
scene_1201	chapter_12	1	Cross the Margins and witness the human cost of Hoarded exploitation	Depleted communities; distrust of Kem's Hoarded identity	The Margins are full of people ground down by the system that preserved Kem	Vel's romanticism about spending complicated; Kem confronts his family's legacy	NO
scene_1202	chapter_12	2	Learn about the threshold's geography from Fallow	Fallow's bitterness; their unsentimental view of zero	Fallow describes the Scour — where people at zero vanish — as a geographic fact, not a mystery	The route to the threshold is concrete; zero is real to the Margins as disappearance, not destination	YES
scene_1301	chapter_13	1	Register the symbolic moment of matching Vel's starting level	The psychological weight of sustained depletion	Kem hits 31 and understands what Vel has lived with for forty years	Empathy deepens despite growing tension	NO
scene_1302	chapter_13	2	Learn the cascade mechanism's requirements	The mechanism's specificity; Vel's concealment	Vel explains co-spending cascade; Kem realizes she planned for a high-level partner all along	Vel's manipulation exposed	YES
scene_1303	chapter_13	3	Confront Vel about using him	Kem's cold anger; Vel's inability to answer immediately	Kem asks if anything was real; Vel's delay in answering is its own answer	Alliance fractured but intact — they cannot survive alone at these levels	NO
scene_1401	chapter_14	1	Arrive alone in the Margins after sending the team back	Sable's isolation and identity crisis	She finds them — alone, at 240, transformed by six weeks of spending	The dynamic shifts from institutional pursuit to personal confrontation	NO
scene_1402	chapter_14	2	Confront all three characters' changed motivations	Competing needs: Sable's duty, Kem's broken trust, Vel's urgency	Kem tells Sable about the Stillness; Sable recognizes it from other Hoarded she has known	Sable cannot bring herself to return Kem to the system that produces Stillness	YES
scene_1403	chapter_14	3	Resolve the pursuit and deliver the Red Reserve warning	The consequences of Sable's choice; the escalation ahead	Sable departs after warning them: the Council has authorized the Red Reserve	Pursuit changes form; trained spenders are coming	NO
scene_1501	chapter_15	1	Say goodbye to Dren; confront the weight of nearness to zero	Dren's departure; the silence between Vel and Kem since Ch 13	Dren leaves — his reasons are real and his absence is felt	The group shrinks to two; Kem demands the truth	YES
scene_1502	chapter_15	2	Tell Kem about Maren and the real reason for reaching zero	Vel's grief; her resistance to vulnerability	Vel tells the Maren story in pieces — love, co-spending, the threshold, the loss	The emotional core lands; Kem chooses to continue for understanding plus his own reasons	YES
scene_1601	chapter_16	1	Approach the Scour and assess the Red Reserve positions	Reserve operatives at the basin's navigable descent; Vel at 14, Kem at 12	The Reserve agents are positioned at the only clear path; direct approach is impossible	They need an alternative route through the collapsed tunnel	NO
scene_1602	chapter_16	2	Navigate the collapsed mining tunnel to reach the basin floor	Structural danger; their depleted abilities	Kem spends 3 levels on light and reinforcement; Vel spends 1 on Perception mapping	They reach the basin floor but are further depleted	NO
scene_1603	chapter_16	3	Reach the basin floor and begin the final approach	The Reserve detects them; open ground with nowhere to hide	They emerge and are spotted; the final confrontation is unavoidable	The approach to the threshold begins under fire	YES
