scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
scene_01_01	chapter_01	1	Report to the temporary relocation office and define Della's role.	Lucille needs legal precision while locals treat the whole operation as desecration.	Della realizes her memory is being hired as evidence, not merely local color.	Della accepts federal pay and becomes publicly tied to the move.	NO
scene_01_02	chapter_01	2	Get Sadie Kincaid's coffin lifted and tagged without incident.	Sadie's daughters dispute which surname belongs on the relocation papers.	The coffin plaque and church register point to different husbands.	The first removal produces an inheritance problem instead of closure.	YES
scene_01_03	chapter_01	3	Leave the cemetery with some authority still intact.	Rafe confronts Della for helping other families before fixing their own claim.	Lucille asks Della to be present for the first county hearing.	Della is pulled further into the state's process and deeper into conflict with Rafe.	NO
scene_02_01	chapter_02	1	Get through supper without letting the cemetery consume the house.	Rafe keeps turning ordinary talk toward debt and the frozen Bledsoe payout.	June notices Della guarding a bundle of papers under her apron.	The household quiet is breached and June starts watching.	NO
scene_02_02	chapter_02	2	Decide whether to reopen the hidden midwife ledger.	The ledger could save some claims while exposing people Della once protected.	Della retrieves the ledger from its hiding place instead of destroying it.	She chooses leverage at the cost of new risk.	YES
scene_03_01	chapter_03	1	Assess the washout in the fever plot before workers make assumptions.	Rain-soft ground and impatient laborers are already exposing the grave.	Rafe identifies the opening as a chance to certify Eli dead.	The grave becomes materially tied to Bledsoe survival.	NO
scene_03_02	chapter_03	2	Keep officials from tagging the unmarked remains too quickly.	Lucille wants a provisional label and workers want the grave cleared.	Della recognizes the burial location as Gabriel Wolfe's.	Della's buried past is dragged into the present.	YES
scene_03_03	chapter_03	3	Shut Rafe down before he files anything.	Rafe argues that truth without money is just another luxury for richer people.	Della refuses to name the bones as Eli.	Rafe turns from pleading to acting on his own.	NO
scene_04_01	chapter_04	1	Testify narrowly in Sadie Kincaid's claim hearing.	Vernon presses for strict written record while Sadie's daughters need the lived truth.	Della states which marriage actually held the household together at the end of Sadie's life.	One daughter gains standing and the room sees Della can move money with memory.	YES
scene_04_02	chapter_04	2	Leave the hearing without promising future testimony.	Noreen corners Della while Lucille needs clarity on how much more Della knows.	Della refuses broader confession but does not deny there is more.	Noreen begins hoping Della may reopen Wolfe history too.	NO
scene_05_01	chapter_05	1	Stage a family supper that still feels like summer.	Financial stress keeps breaking through small talk and shared food.	Ruthie draws out a briefly funny story that relaxes the room.	The chapter builds a human baseline before conflict returns.	NO
scene_05_02	chapter_05	2	Keep Rafe from pressing the grave question in front of June.	Rafe accuses Della of spending truth on strangers while hoarding it at home.	Della goes silent instead of answering.	Rafe's resentment hardens into suspicion that she is protecting blood, not uncertainty.	YES
scene_05_03	chapter_05	3	Recover the night after supper.	Rafe slips out to search the cemetery and June follows far enough to hear names.	June overhears Gabriel's name in the dark.	June gains a clue she cannot yet interpret.	NO
scene_06_01	chapter_06	1	Get Silas alone on the cemetery ridge and make him speak plainly.	Silas is short of breath, resentful of old secrecy, and unwilling to soothe Della.	He confirms the fever-plot grave can still be identified by body details and placement.	Della loses the excuse of uncertainty.	YES
scene_06_02	chapter_06	2	Leave with a usable understanding of the old burial night.	Silas forces Della to remember Eli's flight and her own choice to bury Gabriel hidden.	Della admits to herself that silence has become theft, not protection.	Her inner defense shifts from delay to dread of action.	NO
scene_07_01	chapter_07	1	Move the child section before the weather turns.	Small coffins, grieving relatives, and damp ground make the work physically punishing.	An infant coffin's record does not match the church book.	A practical workday becomes a moral spectacle.	NO
scene_07_02	chapter_07	2	Contain the rumor before it spreads through the gathered families.	Onlookers connect the mismatch to old whispers that Della shifted babies or names.	The crowd decides rumor is more satisfying than context.	Della's reputation mutates from midwife to manipulator.	YES
scene_07_03	chapter_07	3	Get June and Ruthie home before the shame deepens.	Children and neighbors echo adult accusations at June.	June refuses to cry where they can see her.	The household carries the cemetery scandal into daily life.	NO
scene_08_01	chapter_08	1	Sort the ledger and decide what present use, if any, is justifiable.	Ruthie argues that Della's solitary control has already damaged everyone around her.	Della starts copying only grave-relevant entries for current cases.	Della embraces selective disclosure instead of all-or-nothing secrecy.	NO
scene_08_02	chapter_08	2	Preserve the original ledger until a decision can be finalized.	Someone else in the house or valley may already suspect where the book is hidden.	By dawn the original ledger is gone.	Della loses exclusive control over the full history she kept.	YES
scene_09_01	chapter_09	1	Reach the county seat and learn what damage the theft has enabled.	Lucille must speak as an officer first, even though she knows the stakes are intimate.	She tells Della that Rafe filed an affidavit naming the grave as Eli.	The lie now has paperwork behind it.	NO
scene_09_02	chapter_09	2	Find a way to stop the affidavit from becoming final.	County procedure gives filed claims momentum and does not care about family nuance.	The clerk sets a ten-day window for contest and hearing.	The story gains a fixed legal deadline.	YES
scene_09_03	chapter_09	3	Leave the courthouse with something other than panic.	Lucille asks Della whether she intends to fight her own son publicly.	Della says silence would now be the same as lying.	Della crosses from private burden into chosen action.	NO
scene_10_01	chapter_10	1	Attend the church farewell dinner and let ordinary valley life surface.	The whole room knows the hearing is coming and keeps glancing toward Della anyway.	Conversation about recipes, roads, and shade briefly steadies the chapter.	The book widens beyond the central dispute and reminds the reader what displacement erases.	NO
scene_10_02	chapter_10	2	Read the moral temperature of the room before the hearing week.	Vernon praises lawful names in public and Rafe corners Della in the pantry afterward.	Della sees people sorting themselves around her future testimony.	The coming hearing becomes a communal referendum, not a private case.	YES
