scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
scene_001	chapter_01	1	Finish the dawn sanitation pass and keep the train dispatchable.	Heat surge, backed-up blackwater, and intake volume.	Marisol spots a detainee with Gabriel's eyebrow scar in the intake queue.	She hides her reaction and fails to report a mis-scanned wristband.	NO
scene_002	chapter_01	2	Confirm the detainee's identity without flagging a family connection.	Locked manifest access and Teresa's remote oversight.	The file identifies him as Rafael Avelar bound for Santa Avelina.	Marisol leaves an unauthorized duplicate trace in the system.	NO
scene_003	chapter_01	3	Get close enough to signal help before the car seals.	Security timing and Gabriel's placement under guard.	Gabriel recognizes her and chooses to act as if she is a stranger.	The train is still on schedule and Marisol has no private alliance.	YES
scene_004	chapter_02	1	Move Gabriel into the trauma room on a medical pretext.	Guard suspicion and overloaded intake staff.	Marisol sees his bruises and the bag holding his confiscated recorder.	She burns medical goodwill and exposes personal urgency.	NO
scene_005	chapter_02	2	Persuade Gabriel to let her fix the paperwork quietly.	Gabriel's fury and years of mistrust.	He says she taught the line how to hide people once the blood is scrubbed away.	Their estrangement becomes active resistance to her plan.	YES
scene_006	chapter_03	1	Act normal through a layover meal while seeking a clerical correction.	Friendly routine, compliance stonewalling, and the need to mask panic.	The hotline denies any pre-transfer remedy and Marisol pockets Gabriel's recorder from property storage.	She crosses from private worry into secret evidence-taking.	YES
scene_007	chapter_04	1	Find a lawful way to contest Gabriel's destination before departure.	Ancestral-admissibility rules and sealed digital records.	Marisol learns the paternal certificate locks the case until after transfer.	Official rescue becomes impossible on the line's timeline.	NO
scene_008	chapter_04	2	Push Teresa for an exception.	Teresa's contract logic and implied threats around housing and rank.	Teresa warns her to keep family feeling out of custody records.	Marisol is formally watched and informally cornered.	NO
scene_009	chapter_04	3	Tell Gabriel what she has learned and get him to trust any next step.	His refusal to plead and a guard's short time window.	Gabriel hands her a scrap of other names tied to false-country assignments.	Marisol's problem expands from one son to a pattern.	YES
scene_010	chapter_05	1	Buy time before the southbound departure.	Auditable thresholds and dispatch pressure.	Marisol orders a fabricated deep clean on Car 8.	Crew overtime spikes and suspicion falls on maintenance.	NO
scene_011	chapter_05	2	Hide the hold's real purpose and decide who else must know.	Ivo's questions and Gabriel's contempt.	Ivo covers with a fake valve fault while Gabriel passes bunk numbers linked to false papers.	Ivo is implicated and Gabriel forces a collective frame onto the sabotage.	YES
scene_012	chapter_06	1	Decide whether to keep sabotaging after the first delay.	Night outage, stalled metal, and recorder testimony she cannot unhear.	The recorded voices turn paperwork into named people with objects, accents, and destinations assigned by force.	Marisol gives up the fantasy of saving only Gabriel.	YES
scene_013	chapter_07	1	Survive Teresa's audit without exposing the delay as sabotage.	Log discrepancies, missing time, and Teresa's authority.	Teresa downgrades Marisol's passcard and transfers Gabriel to a higher-security car.	Marisol loses reach and future access.	NO
