scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
scene_01_01	chapter_01	1	Survive breakfast without being pulled into open resistance	Martha's pressure, Carrow theatrics, and Owen's instinct to stay unremarkable	Owen pockets the obsolete Binns edition instead of returning it	He begins the day by hiding in scholarship rather than solidarity	NO
scene_01_02	chapter_01	2	Finish detention with minimum pain while stealing reading time	Shattered stacks, Pince's patrols, and the risk of Amycus wandering through	Owen finds the impossible footnote to North Stacks C-13 in the old edition	His attention shifts from the school year's surface miseries to a private line of inquiry	NO
scene_01_03	chapter_01	3	Test whether the footnote points to a real place	Curfew, broken shelving, and the danger of being caught in the Restricted Section	Exposed stone numerals show the modern stacks sit over an older arrangement	Owen commits to investigating the hidden location instead of letting the clue go	YES
scene_02_01	chapter_02	1	Translate the obsolete citation into a current route	Modern catalog charms, missing maps, and curfew pressure	An old prefect guide ties North Stacks C-13 to a retired shelf-chase above the kitchen runs	Owen now has a physical access plan that depends on timing and his body size	NO
scene_02_02	chapter_02	2	Reach the lost shelf and recover whatever the footnote names	A cramped crawlspace, lead-lined concealment, and ward nausea from the coffer	Owen opens the lead box and finds the Grinlow Leaves with pages that describe the First Art	His hand is burned, his wand misfires, and he now carries evidence too dangerous to explain easily	YES
scene_03_01	chapter_03	1	Get help from the Room of Requirement group before the discovery overwhelms him	The resistance's immediate operational needs and Owen's own inability to frame the problem socially	Neville dismisses the pitch, but Prue notices the citation Owen quotes cannot exist	Owen is publicly humiliated and privately marked by the only person smart enough to hear the real anomaly	YES
scene_04_01	chapter_04	1	Extract one usable exercise from the manuscript	Conditional text, blank pages, and Owen's impatience	The pages answer differently once his burned hand touches the margin	Owen realizes the manuscript is reacting to him and not simply being read	NO
scene_04_02	chapter_04	2	Perform the smallest possible amendment on a dead vine	Imprecise instructions and no intuitive feel for how First Art propagates	He changes the local condition of open instead of affecting the vine alone	Latches all through the greenhouse answer the rule-change and chaos starts	YES
scene_04_03	chapter_04	3	Contain the fallout before anyone notices	Cascading hinge failures, startled students, and approaching patrols	Owen sees that the amendment has acted on category rather than target	He understands the work is structurally dangerous even when the effect looks ridiculous	NO
scene_04_04	chapter_04	4	Pass through the evening as if nothing has happened	A deepening palm burn and a wand that no longer obeys simple charms	His basic school magic stutters in public	Owen accepts that the First Art is real and already changing what ordinary magic feels like in his hands	NO
scene_05_01	chapter_05	1	Find out how much Prue actually knows about the footnote	Prue's precise questions and Owen's need to protect the manuscript	Prue proves the citation belongs to a censored printing lineage	Keeping her outside the work becomes less rational than letting her in	NO
scene_05_02	chapter_05	2	Use Prue's overlays to surface more of the manuscript without losing control	Cold, secrecy, and mutual mistrust	Her astronomy transparencies pull the first ward tables into legible form	Owen gains a collaborator and loses the possibility of pretending this is a private hobby	YES
scene_06_01	chapter_06	1	Get through a student roundup without exposing the manuscript	Searches, frightened students, and Martha's demand for honesty	Owen hides a prepared chalk line instead of joining the open protest	He enters the punishment scene already divided between human duty and the work	NO
scene_06_02	chapter_06	2	Keep Martha from taking the full force of Amycus's lesson	Public cruelty, incomplete technique, and no safe time to think	Owen amends contact just long enough for curses to glance and skid	The save is partial and visible, leaving magical and social residue	YES
scene_06_03	chapter_06	3	Understand what the failed-improvised intervention has done to him	Wand recoil, ward hum, and the sense of being observed	The castle answers the amendment like a struck bell	Snape and the deeper sites now have reason to notice Owen specifically	NO
