scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
s01_01	chapter_01	1	Establish Nate's 2025 life: the dead-end job, the divorce, the apartment, the obsessive folder on Dominic Altieri	Nate's own inertia and the banality of his resentment — he has nursed this hatred so long it has become furniture	Nate opens the ALTIERI folder and we see the depth of his obsession — photos, records, a timeline of grievances — revealing this is not casual bitterness but an organized pathology	The reader understands that Nate has sacrificed years of his life to this fixation; the cost is already paid	NO
s01_02	chapter_01	2	Show the vibe-coding process: the AI sessions, the Amazon components, the incremental discovery that the device manipulates spacetime, the decision to use it for murder	Nate's ignorance — he doesn't understand the physics, the AI's warnings are in jargon he skims past, the device is held together with code he can't read	The device works in ways Nate didn't expect during testing — a coffee mug ages overnight, timestamps scramble — and Nate realizes he has built something real. The turn is from confused tinkering to deliberate weaponization	Nate has committed to murder as a plan; the vibe-coded device is unstable and poorly understood; he has ignored every warning	YES
s01_03	chapter_01	3	The activation: Nate targets Dominic in 2005, activates the machine, and wakes up in Dominic's body	The machine itself — it doesn't do what Nate expected. Instead of physical transport, consciousness transfer	Blackout, then sensation: wrong body, wrong room, wrong decade. Nate opens eyes that aren't his. Clock reads 3:47 AM. A woman breathes beside him. July 11, 2005	Nate's 2025 body is gone, the machine is destroyed, the transfer is permanent. He has killed Dominic by overwriting his consciousness — murder by deletion. There is no return	YES
s02_01	chapter_02	1	Nate gets out of bed, explores the bathroom and apartment, inventories Dominic's life through physical objects	The physical alienation of being in the wrong body — wrong hands, wrong face, wrong muscle memory. No smartphone, no internet worth using, a flip phone he can barely operate	The mirror scene: Nate sees Dominic's face and must accept that this is now his face. The inventory reveals the contours of a life — wallet, keys, a percolator he doesn't know how to use	Nate's technological helplessness in 2005 is established as an ongoing constraint; his identity as Nate Lazar is functionally erased	YES
s02_02	chapter_02	2	Sarah's morning routine; Nate's first interaction with someone who thinks he's Dominic; Sarah leaves and Nate sits with the weight of what he's done	Sarah's unselfconscious intimacy — she kisses his cheek, calls him Dom, moves through the apartment with the ease of someone who knows this space and this man	Sarah notices nothing catastrophic, which is itself the turn: the impersonation is viable, which means it must continue. After she leaves, the relief curdles into horror — this can work, and that means he's trapped in it	Nate is committed to the impersonation. Sarah's trust is a resource he's exploiting and a debt that will compound	NO
s03_01	chapter_03	1	Nate drives through Bridgeport for the first time, navigating 2005 without GPS, registering the temporal displacement through physical details	Spatial disorientation — no GPS, a paper atlas, different storefronts, the sheer sensory strangeness of a world without smartphones	The turn is accumulative rather than punctual: the Blockbuster, the gas prices, the newspaper confirming the date — each detail hammers in the permanence of Nate's situation	The emotional cost of temporal displacement: Nate is twenty years from everything he knows, in a body that isn't his, with a paper map	NO
s03_02	chapter_03	2	Nate drives to Eastbridge Plaza and sees his father alive through the window of Lazar's Hardware	Nate's own paralysis — he cannot enter the store, cannot approach Mort, cannot be recognized in this body	Seeing Mort: alive, healthy, talking to a customer, hands moving the way Nate remembers. The turn is purely emotional — the abstraction of revenge gives way to the embodied reality of a living father. Nate sits in the car for forty minutes, unable to move	Nate's revenge mission has delivered him to the one outcome he didn't plan for: proximity to what he lost, without the ability to claim it. The cost is exquisite, ongoing, and has no relief	YES
s04_01	chapter_04	1	Nate arrives at Kassos Development for the first time, meets Ray, and begins faking Dominic's professional life	The office demands specific knowledge Nate doesn't have — software, clients, project history, professional relationships	Ray greets him warmly and starts catching him up on work Nate doesn't understand. Nate asks questions that surprise Ray — basic things Dominic would know	Nate's incompetence creates immediate professional risk; Ray's confusion is an early crack in the impersonation	NO
s04_02	chapter_04	2	Meeting with Victor; Nate's first exposure to the charismatic, paternal authority that controlled Dominic's professional life	Victor's sharp intelligence beneath the warmth — he assesses people constantly, and the man in front of him is not performing at the expected level	Victor greets Nate warmly but watches him through the meeting with a quality of attention that isn't casual. Nate stumbles through project updates he doesn't understand	The professional impersonation is fragile; Victor is established as a perceptive, potentially dangerous figure	YES
s04_03	chapter_04	3	Nate at Dominic's desk, opening the Eastbridge Plaza file, discovering his father's name on the tenant list	The file itself — the physical evidence that Dominic's desk processed the destruction of Nate's family	Nate opens the folder and finds: site plans, demolition timeline, tenant list. Morton Lazar, Lazar's Hardware, Unit 7. He is sitting at the desk where it happened	The discovery transforms the office from a place of comic imposture to a site of moral reckoning. Nate is now the custodian of the project that will destroy his father's store	YES
