scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
chapter_01_scene_01	chapter_01	1	Riva wants to verify the summons before committing herself to Reedmouth.	Monsoon flood and the sight of a child-corpse at Sereya's ferry make skepticism impossible.	A black salt-fig seed rolls from the drowned girl's mouth onto the boards.	Riva loses the option of treating the recall as rumor.	YES
chapter_01_scene_02	chapter_01	2	The siblings want to gather without immediately becoming a family again.	Old resentments, debt pressure, and Nami's openness turn reunion into abrasion.	Tovin arrives with the lover-order and says the channels are backing the dead into town wells.	Private avoidance becomes communal obligation.	NO
chapter_01_scene_03	chapter_01	3	Riva wants final proof before agreeing to lead anything.	A second drowned body lodges under the house while the first seed sprouts in wet floorboards.	All five agree to begin at Reed Gate before dawn.	The reluctant alliance forms under duress, not trust.	YES
chapter_02_scene_01	chapter_02	1	The siblings try to mine Sereya's belongings for route logic.	The house is dense with relics, paternity wounds, and incompatible memories of their mother.	They find the reed ledger but discover a missing page near the final channel.	Trust narrows instantly around hidden knowledge.	NO
chapter_02_scene_02	chapter_02	2	Everyone wants a few hours of sleep before work begins.	The drowned man's voice moves through the pilings and addresses each sibling differently.	Each child receives a private sign from the river, and Nami secretly keeps one seed.	The mission becomes a competition over interpretation as well as a duty.	YES
chapter_03_scene_01	chapter_03	1	Riva wants to force Reed Gate open fast.	Tovin refuses haste and makes them clear silt by hand in floodwater.	She says the gate will not answer until each child names what Sereya took from them.	They lose time and have to trade effort for honesty.	NO
chapter_03_scene_02	chapter_03	2	The siblings try to finish the confession-labor without splintering.	Daro performs, Iven jokes, and Riva almost walks away from the emotional demand.	Tovin admits Sereya promised none of them a single inheritance.	Riva's control agenda is exposed as only one reading of the route.	NO
chapter_03_scene_03	chapter_03	3	The family tests whether the first channel still lives.	Gate teeth jam against years of silt and backward water pressure.	Reed Gate breaks open and the current finally catches the corpse-ferry.	Riva inherits the burden of practical leadership whether she wants it or not.	YES
chapter_04_scene_01	chapter_04	1	The siblings want one meal that is not strategy.	No one remembers how to be easy with one another in peacetime.	Humor returns through recipes, gossip, and Daro's bad imitation of Sereya.	They feel what repair might cost to lose.	NO
chapter_04_scene_02	chapter_04	2	Lale wants to prepare the next leg cleanly.	The missing page, Daro's under-floor singing, and Riva's suspicion poison the quiet.	Riva turns blame toward Iven and the room hardens again.	The domestic baseline is established only to be threatened.	YES
chapter_05_scene_01	chapter_05	1	The siblings want Ilyan's help at Hymn Cut without ceding authority.	Ilyan controls the shrine's cadence and enjoys making them wait.	He greets Daro as a son in front of the others.	Daro gains symbolic leverage and the family balance tilts.	NO
chapter_05_scene_02	chapter_05	2	Riva wants the rite explained plainly.	The rite requires someone to speak how Sereya used desire as leverage, and no one wants that public.	Lale names the humiliating economy of Sereya's charm while pilgrims listen.	Family shame becomes part of the work instead of background.	NO
chapter_05_scene_03	chapter_05	3	Daro wants to prove he can open Hymn Cut without failing in his father's register.	The gate answers only to song and Daro is terrified of being insufficient.	He sings and the shrine bells answer him.	Daro experiences public holiness and starts wanting more of it.	YES
chapter_05_scene_04	chapter_05	4	Riva wants to leave before Daro sinks into Ilyan's orbit.	Ilyan keeps framing sainthood as lineage and Daro keeps listening.	Daro privately decides the river chose him, not the group.	A hidden schism takes root under outward progress.	NO
chapter_06_scene_01	chapter_06	1	Iven wants quick cash and adoration while passing through Marrow Market.	The route is unstable and the family needs discretion, not spectacle.	He sells passage promises and invites a crowd onto the mission.	The work slows and becomes public theater.	NO
chapter_06_scene_02	chapter_06	2	The siblings want to cross the market without incident.	Because Hymn Cut has not settled, corpses, barges, and stalls jam together in flooded reeds.	The crowd sees the family literally dragging the dead through commerce.	Public disgust and fear replace curiosity.	YES
chapter_06_scene_03	chapter_06	3	Riva wants discipline after the fiasco.	Iven resists shame, Daro reads the crowd as proof of holiness, and town crews hold back equipment.	Iven takes on new debt trying to buy back help or supplies.	External pressure and internal distrust both sharpen.	NO
chapter_07_scene_01	chapter_07	1	Lale wants maps and sequence from Paska as quickly as possible.	Paska refuses route help until Lale sits for new tide marks.	The act of being tattooed starts reopening Lale's memory of Sereya's last monsoon.	Lale loses the protective numbness of distance.	NO
chapter_07_scene_02	chapter_07	2	The siblings want a clean answer about the third cut.	Paska tells stories sideways, half flirtation and half accusation.	She explains Sereya distributed power because a single heir would turn service into rule.	The chosen-one fantasy is undermined without anyone accepting that lesson yet.	NO
chapter_07_scene_03	chapter_07	3	Lale wants to understand the ledger damage.	Her memory is unreliable and shame keeps trying to blunt it.	She remembers tearing out the page after reading the words sixth mouth.	The catastrophe is revealed as internal to the family.	YES
chapter_08_scene_01	chapter_08	1	Riva wants to finish clearing Inkwater before nightfall.	Sleepwalking townspeople begin drifting toward blackwater and Nami's cut keeps reopening.	A woman walks into waist-deep flood without waking.	The stakes shift from corpses to salvageable living people.	NO
chapter_08_scene_02	chapter_08	2	The siblings want to rescue the walkers without losing the ferry.	The half-open channel pulls boat and bodies in opposite directions.	Riva orders Daro to sing like a tool and he obeys resentfully.	The power struggle between practical and spiritual leadership sharpens.	NO
chapter_08_scene_03	chapter_08	3	Nami wants to stay useful despite her hand and fever.	Infection, floodwater, and seed rot are working through her body.	In fever she sees a drowned infant curled among roots.	The sixth-mouth mystery becomes immediate and bodily.	YES
chapter_08_scene_04	chapter_08	4	The family wants to stop long enough to treat Nami properly.	Delay means more sleepwalkers and more upstream pressure.	They choose to keep moving with Nami bandaged and burning.	The mission becomes physically reckless.	NO
chapter_09_scene_01	chapter_09	1	The siblings want shelter at Lantern Quay without discussing disaster every second.	Ordinary hospitality exposes how starved they are for a life outside emergency.	Supper opens into jokes, appetite, gossip, and stories that have nothing strategic about them.	Hope of repair becomes emotionally credible.	NO
chapter_09_scene_02	chapter_09	2	Iven wants a night that costs nothing.	Sena knows exactly what kind of man he has been and refuses innocence.	After they have sex, she returns the missing page he sold her and makes him say Jun's name aloud.	Iven loses the last version of himself that could treat damage as atmosphere.	YES
chapter_10_scene_01	chapter_10	1	The family wants to know what the recovered page contains.	No one wants the answer if it fully changes their mother.	The page names Jun and ties him to a failed attempt to open Storm Mouth permanently.	Sereya's legend tears open.	NO
chapter_10_scene_02	chapter_10	2	Riva wants the revelation confirmed before it rewrites their lives.	Tovin would rather avoid saying Jun's name and Daro wants martyrdom instead of fact.	Tovin admits Sereya scattered the surviving children after Jun's death because she feared repetition.	Their estrangement becomes part of the design, not an accident.	YES
chapter_10_scene_03	chapter_10	3	The siblings want a shared interpretation of the page.	Each reads Jun and Sereya differently, and the living still need the channels.	They continue toward Coil Reach without agreement.	Necessity overrides understanding, not conflict.	NO
chapter_11_scene_01	chapter_11	1	Riva wants rope, fuel, and passage from Enver with minimal drama.	Enver meets them with contempt and publicly names Iven as his son.	Iven's practiced swagger collapses in front of the group.	Humiliation replaces performance.	NO
chapter_11_scene_02	chapter_11	2	Iven wants to force progress before Enver can define him.	Father and son are both angry, proud, and handling dangerous material around floodwater.	A lamp goes over during the struggle and the ropehouse catches fire.	Emotional damage becomes material catastrophe.	YES
chapter_11_scene_03	chapter_11	3	The family wants to save what matters from the blaze.	Fire, rain, and backward current take choices away faster than they can think.	They pull Enver out alive but lose the Bitter Thread and most heavy gear.	The route can continue only in stripped-down funeral mode.	NO
chapter_12_scene_01	chapter_12	1	The siblings want to keep Nami alive through fever night.	Cold rain, infected flesh, exhaustion, and unspoken guilt crowd the hut.	Riva and Lale finally speak honestly about leaving Nami behind after Sereya's death.	Blame gives way to painful intimacy.	NO
chapter_12_scene_02	chapter_12	2	Riva wants a rational reason to stop the journey.	Without the dredge, the last cut looks impossible; Daro's voices and Nami's fever make everyone unreliable.	Daro admits he has heard the drowned since childhood and the family chooses to continue on Sereya's hand-poled funeral ferry.	They trade competence and illusion for care and exposure.	YES
chapter_13_scene_01	chapter_13	1	The siblings want to stop Halcote's sleepwalkers and keep the route moving.	The crisis is too large for one style of leadership and the town still half mistrusts them.	Lale takes charge of inland containment while Riva pushes toward sea.	Leadership becomes distributed in practice.	NO
chapter_13_scene_02	chapter_13	2	Lale wants families to help restrain their entranced kin.	People resist admitting the trance is real until it is already dangerous.	She uses tide marks and lantern lines to redirect walkers into a grain hall.	The town owes its safety to the woman it once regarded as suspect.	YES
chapter_13_scene_03	chapter_13	3	Lale wants to keep the rescue humane.	Panic turns ugly when one man begs to be allowed into the quarry water.	She strikes him to save him.	Her detached self-image ends in one bodily act.	NO
chapter_13_scene_04	chapter_13	4	Halcote wants Lale to stay and keep leading there.	The family still needs her for the final push.	The town lends poles, oil, and labor instead of merely gratitude.	Communal trust arrives late but materially changes the last act.	NO
