scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
scene_01_01	chapter_01	1	Secure temporary work and a bed at Rookery Key despite her damaged reputation.	Imogen's distrust, donor-facing camp norms, and Mina's own need to look harmless.	Imogen hires Mina on strict daytime-only terms with no independent night access.	Mina gets shelter but must hide the real reason she came.	NO
scene_01_02	chapter_01	2	Test whether the eel rumor has enough substance to justify staying.	Beto's teasing folklore tone, busy camp labor, and Tomas's amused evasiveness.	Beto's specific spoonbill story and Tomas's visible control of fuel and channels convince Mina the rumor is actionable.	Mina privately commits to breaking camp rules and using Tomas if necessary.	YES
scene_02_01	chapter_02	1	Find a legal route into the creeks at night.	Permit rules, protected-rookery restrictions, and Mina's blacklisted name.	Every official path proves too slow or already closed to her.	Respectability fails; Mina's options narrow to illegality or surrender.	NO
scene_02_02	chapter_02	2	Sound out Tomas without giving away how desperate she is.	Tomas's ability to read leverage, his married status, and Mina's pride.	Tomas offers fuel and access in a bargain that is sexual as well as practical.	Mina sees exactly what the night will cost her.	NO
scene_02_03	chapter_02	3	Choose whether to accept Tomas's terms.	Mina's shame, the risk of camp gossip, and the knowledge that she is repeating an old pattern.	She accepts and follows him into illicit night access.	Her body and her hunt become entangled from the start.	YES
scene_03_01	chapter_03	1	See the eel and prove to herself that the risk is not fantasy.	Dark water, insects, unreliable visibility, and Tomas's distracting hunger.	A blue coil turns once under the blackwater before vanishing, and the sighting tips straight into sex.	Mina now has just enough evidence to be obsessed and just enough complicity to be trapped.	YES
scene_04_01	chapter_04	1	Survive Rhea's scrutiny on the bat shift without turning defensive.	Rhea's intelligence, fieldwork fatigue, and Mina's fear of being read correctly.	Shared competence handling bats builds respect instead of immediate confrontation.	Mina begins to care what Rhea thinks of her.	NO
scene_04_02	chapter_04	2	Understand what Rhea knows and how dangerous that knowledge is.	Rhea's deliberate indirectness, Tomas sleeping nearby, and camp proximity.	Rhea makes it clear that nothing on the stilts stays hidden for long, but she does not claim injury or ownership.	The triangle moves from hypothetical threat to active possibility.	YES
scene_05_01	chapter_05	1	Help with bat survey work and keep her reaction hidden when the route shifts.	Flooded footing, collapsing infrastructure, and Mina's shock at BrightCurrent markings in the tunnel.	Mina recognizes the annex as part of the biotech system tied to her scandal.	The wetland stops feeling like neutral ground and becomes contaminated memory.	NO
scene_05_02	chapter_05	2	Avoid confessing too much when Rhea notices her reaction.	Rhea's calm attention and Mina's reflex to control the story.	Mina admits familiarity without yet naming the cooler or the theft.	Rhea knows there is a larger secret under the flirtation.	NO
scene_05_03	chapter_05	3	Decide whether desire with Rhea can exist inside all this history.	Marriage, secrecy, and Rhea's refusal to play naive.	Rhea kisses Mina only after naming her terms.	The affair becomes triadic, and the past is now physically underfoot.	YES
scene_06_01	chapter_06	1	Get through donor preview day professionally.	A cruel visiting birder who recognizes Mina, public scrutiny, and Mina's brittle self-control.	The old scandal is dragged into the open in front of guests.	Mina becomes a visible risk to the camp rather than a private one.	YES
scene_06_02	chapter_06	2	Keep her place at camp long enough to follow the eel.	Imogen's fury, donor optics, and staff embarrassment.	Imogen lets Mina stay only through spoonbill week and then wants her gone if trouble continues.	The hunt is placed under a hard clock.	NO
scene_07_01	chapter_07	1	Endure storm lock-in without letting tension curdle the house.	Claustrophobic weather, thin walls, exposed attraction, and ordinary domestic friction.	A shared meal and storm routine open into a three-way encounter initiated by Rhea.	Secrecy gives way to tenderness, which raises the stakes far more than lust did.	YES
scene_08_01	chapter_08	1	Tell enough truth after the threesome to keep intimacy from turning false.	Mina's shame and the temptation to stay in afterglow instead of history.	Mina admits she once carried a BrightCurrent cooler for Jonah Pike.	The room has a past in it now, not just desire.	NO
scene_08_02	chapter_08	2	Contain the fallout from the confession.	Tomas's sense of being used, Rhea's sharper questions, and Mina's uncertainty about what the first eel really was.	Tomas realizes he has been ferrying Mina into a story she never fully disclosed, but the three do not fully break.	Trust survives only in altered, damaged form.	YES
scene_09_01	chapter_09	1	Create a window to get into the creeks during spoonbill frenzy.	Guest schedules, donor eyes, Imogen's control of staff, and breeding-season chaos.	Tomas manufactures a dusk gap and ferries Mina and Rhea out.	Their private alliance now depends on precision and luck, not just appetite.	NO
scene_09_02	chapter_09	2	Witness the eel clearly enough to move beyond rumor.	Exploding bird activity, unstable water, failing equipment, and time pressure.	The eel rises under the spoonbills in a full unmistakable sighting while Rhea captures only partial evidence.	Certainty becomes shared and therefore ethically demanding.	YES
scene_09_03	chapter_09	3	Get back with the evidence and a coherent plan.	Panic, damaged gear, and the fact that they have less proof than the experience deserves.	They return with a corrupted file and three matching eyewitness memories.	Proof remains too weak for institutions and too strong for private denial.	NO
scene_10_01	chapter_10	1	Turn the sighting into official evidence.	Permit bureaucracy, hostile memories of Mina's scandal, and chain-of-custody rules.	Mina learns she cannot formalize the discovery without institutional sponsorship.	She has to involve people who will want ownership.	NO
scene_10_02	chapter_10	2	Secure camp backing and better equipment without losing control of the story.	Imogen's opportunism and Tomas's growing audit exposure.	Imogen claims the eel as a possible lifeline for the camp while Tomas deepens his gear and fuel risk.	The obsession becomes a collective scheme with real collateral.	YES
scene_11_01	chapter_11	1	Help Tomas survive the fuel audit.	County ledgers, supervisory suspicion, and prior thefts that no longer hide.	Tomas is suspended from the night route.	His income and Mina's access both collapse at once.	YES
