scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
S01_01	chapter_01	1	Establish the seven men arriving at the lake house, the twenty-five-year tradition, and the group dynamics through reunion and settling in	Old grudges surfacing through seemingly casual catching-up; competitive edges sharpening	From polite reunion energy to the first real jab — someone's divorce, someone's money, someone's weight	Old wounds reopen under the guise of friendly ribbing; the group's fault lines are visible before the first beer is finished	NO
S01_02	chapter_01	2	The fantasy football draft as a comedy set piece — the excuse for the weekend and the language through which these men express loyalty, grudge, and dominance	Everyone wants the same picks; Martin's controlling generosity clashes with Cliff's deal-making and Joel's simmering anger	Martin's quiet authority over the group becomes visible when he overrides a disputed pick; Tommy gives Martin the Viagra as a joke	Relationships strained by competition that is both trivial and deeply personal; Tommy's gift is a ticking clock the reader doesn't recognize	NO
S01_03	chapter_01	3	Late night unraveling — the evening loosens into drinking, hot tub, old stories, and finally Nate discovering Martin dead in his bed	The evening's momentum toward sleep vs. Nate's impulse to find Martin for one last bet	Nate finds Martin dead; the body is still warm; the comedy of the evening becomes retroactively horrifying	The twenty-five-year ritual is shattered; the reader's relationship to everything that came before changes	YES
S02_01	chapter_02	1	Paul finds Martin's body, attempts CPR, and confronts the reality that his best friend is dead	Death itself — Paul's desperate resuscitation against the irreversible	Paul accepts Martin is dead; his grief is immediate, physical, and specific	Loss of his closest friend; the beginning of Paul's night of irrational decisions	NO
S02_02	chapter_02	2	Paul tampers with the scene and becomes aware that others are also moving through the house	Paul's rational self vs. his panic; the sounds of other people sneaking through the house	Paul decides to reposition the body and wipe surfaces; by dawn the scene is unrecognizable	Scene contaminated by Paul and at least four others; a natural death now looks like an elaborate homicide	YES
S03_01	chapter_03	1	Tommy wakes to the news of Martin's death and realizes the Viagra he gave Martin may have contributed to cardiac arrest	Tommy's guilt colliding with his need to appear normal; his body betraying his panic	Tommy decides to destroy the Viagra — his guilt overrides his judgment	Evidence about to be destroyed; Tommy's pattern of impulsive panic-action established	NO
S03_02	chapter_03	2	Tommy flushes the Viagra pills while Detective Mallick arrives at the house	Mallick's arrival audible through the bathroom door; Tommy is holding evidence as the detective enters	Tommy is trapped in the bathroom — he drops a pill, chases it, flushes as the doorbell rings and Mallick's voice carries through the house	Evidence destroyed; Tommy's proximity to Mallick at the moment of tampering creates future vulnerability	YES
S04_01	chapter_04	1	Mallick's entrance — casserole, wrong name, bathroom request — establishes her persona for the guests and the reader	Social norms colliding with a death investigation; the guests' expectation of procedural seriousness vs. Mallick's apparent disorder	Mallick's bumbling performance establishes; the guests relax, which is her intent	The guests underestimate Mallick — they begin correcting her freely, each correction a gift of information	NO
S04_02	chapter_04	2	Mallick's informal interrogation of Joel — the most obviously suspicious guest	Joel's legal training (silence) vs. his guilt about the argument (confession); Mallick's indirection vs. Joel's precision	Mallick pins Joel as prime suspect through his own non-answers — his refusal to explain the argument becomes the loudest statement in the room	Joel is now the most watched man in the house; his clean hands look calculated rather than innocent	YES
S04_03	chapter_04	3	The group reacts to Mallick's presence and begins negotiating their collective presentation	Need to present a united front vs. individual secrets pulling each man toward self-preservation	The group's attempt at solidarity fractures — small contradictions in their stories emerge as they try to coordinate	Trust begins to erode; the facade of group loyalty shows cracks	NO
