scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
scene_001	chapter_01	1	Secure cotton gin perimeter and preserve trace evidence.	Clay pressures for a quick close and summer heat degrades blood pattern edges.	A yearbook photo confirms the second corpse resembles Isaiah Bell.	Case instantly becomes political and every evidence decision gains public cost.	NO
scene_002	chapter_01	2	Canvass gin workers for timeline before rumor overtakes memory.	Workers fear retaliation and offer rehearsed non-answers.	A mechanic reports a county-marked refrigerated van leaving before dawn.	Suspicion shifts toward insider logistics and inflames union mistrust.	NO
scene_003	chapter_01	3	Set investigative scope at night briefing.	Sheriff demands a narrow script for press and city hall.	Lena rejects scripted certainty and requests state-lab priority intake.	Clay marks Lena as noncompliant and narrows her future room to maneuver.	YES
scene_004	chapter_02	1	Re-enter normal life at church fish fry to stabilize family.	Ida deflects any mention of 1963 while neighbors treat case as spectacle.	Ida slips and references papers your father should have burned.	Lena realizes family archives may hold case-critical facts.	NO
scene_005	chapter_02	2	Search storage unit for the referenced papers.	Flood damage, missing boxes, and closing-time pressure slow the search.	Lena finds coded notebook index with Mercer docket notation.	She chooses obsession over rest and misses Jalen's evening call.	YES
scene_006	chapter_03	1	Verify morgue chain of custody at start of shift.	Logbook and camera timestamps conflict and staff close ranks.	Isaiah's body is missing from cold storage before notification goes out.	Inside access moves from theory to immediate operational threat.	NO
scene_007	chapter_03	2	Process second scene at river ramp before contamination.	Crowd gathers, phones record, and officers argue over perimeter control.	Second victim Lyle Fenn is found with Isaiah's body staged beside him.	Public panic spikes and anti-police narrative hardens.	YES
scene_008	chapter_03	3	Preserve investigative flexibility through command meeting.	Clay imposes secrecy terms and excludes external partners.	Closed task force formed with direct sheriff oversight.	Lena loses informal channels and must work within hostile command constraints.	NO
scene_009	chapter_04	1	Run forensics to test whether one body is reappearing.	Tissue degradation and missing archival references slow certainty.	Dr. Rao confirms mixed remains with recent preservative chemistry.	Supernatural rumors collapse but evidence tampering appears systemic.	YES
scene_010	chapter_04	2	Trace preservative and transport pathways.	County clerks deny records and funeral routes are undocumented in parts.	Transport logs converge on county crematory and Bell and Sons transfer routes.	Focus shifts to logistics network and risks stigmatizing Bell family descendants.	NO
scene_011	chapter_05	1	Keep protest corridor from turning violent while tracking leads.	Protesters and counter-protesters both target Lena by name.	Flyers with Lena's home address spread through the crowd.	Case pressure invades private life and increases family danger.	YES
scene_012	chapter_05	2	Defend investigative strategy in emergency command hearing.	Mayor wants an arrest timeline and Clay frames dissent as disorder.	Lena is suspended pending internal review.	She loses badge access and cannot legally direct evidence handling.	YES
scene_013	chapter_05	3	Secure family after suspension and decide next move.	Marcus demands she step back and legal counsel warns against contact.	Lena chooses to continue through unofficial channels with Mara.	Custody friction rises and any misstep can become criminal exposure.	NO
scene_014	chapter_06	1	Hold a non-strategic family dinner to reduce fear.	Conversation keeps drifting toward danger and blame.	Jalen asks whether police can lie and expects a real answer.	Lena's authority as mother and detective fractures at once.	NO
scene_015	chapter_06	2	Decode her father's notebook without database access.	Codes reference obsolete parcel tags and Lena is exhausted.	Parcel tags map to Gideon Tract transfer years.	Historical land theft becomes concrete motive terrain.	YES
scene_016	chapter_07	1	Plan archive entry with Mara and assign legal fallback.	Mutual distrust over source control and publication timing.	Mara agrees to proceed if no document is hidden from community counsel.	Partnership forms under brittle terms that can break later.	NO
scene_017	chapter_07	2	Enter chancery archive after hours and pull sealed files.	Alarm sensors, missing folders, and time pressure reduce search depth.	Coroner packet and redacted heir list appear with Deputy Waller signature.	Lena's father moves from background figure to implicated actor.	YES
scene_018	chapter_07	3	Exit without seizure and protect the find.	Night clerk notices them and could trigger charges.	Clerk accepts payment and warns records are being moved by morning.	They escape with copies but inherit blackmail risk and legal exposure.	NO
scene_019	chapter_08	1	Work Ava Boyd scene and isolate signature changes.	Crowd grief targets police and perimeter keeps collapsing.	Tagged teeth jar replaces earlier full-body staging pattern.	Potential second operator enters the case and fear multiplies.	YES
scene_020	chapter_08	2	Address community meeting before retaliation escalates.	Families reject police language and demand record access now.	Lena commits to a release timeline tied to chain-of-custody milestones.	Her personal credibility becomes collateral if command blocks disclosure.	NO
scene_021	chapter_08	3	Negotiate reinstatement to regain evidence access.	Clay imposes surveillance terms and script control.	Lena accepts reinstatement under monitoring.	She regains formal access but loses strategic independence.	NO
scene_022	chapter_09	1	Argue for broad warrants covering trusts and transport records.	Judge narrows scope after political pressure from county donors.	Only partial warrant is granted.	Critical evidence remains shielded, forcing narrower inference path.	NO
scene_023	chapter_09	2	Exploit granted scope to find usable financial links.	Shell entities and partial ledgers obscure beneficial ownership.	Payment schedule ties trust outflows to Hollis Reddick entities.	Law-enforcement family link enters record and strains team trust.	YES
scene_024	chapter_10	1	Interview Otis Mayfield in a low-pressure setting.	Otis evades direct questions and mocks official language.	Shared food and humor lower his guard enough for memory fragments.	Investigation gains human context but no sworn testimony yet.	NO
scene_025	chapter_10	2	Convert fragment memory into actionable location data.	Otis fears retaliation and refuses formal statement.	He hands over a hand-drawn map from his guitar case to the icehouse site.	Lead becomes searchable but evidentiary value stays fragile.	YES
