scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
s01_01	chapter_01	1	Anya surveils a dead-drop site in Berlint, managing telepathic noise from pedestrians; the handoff goes wrong and she improvises extraction	Two professional pursuers tailing the WISE contact; crowd noise making it hard to isolate operational signals	She reads the pursuers' intended routes and steers the contact through gaps — the extraction succeeds messily	Anya is physically rattled; the contact is shaken; the method (telepathy under crowd pressure) is established as both powerful and exhausting	YES
s01_02	chapter_01	2	WISE briefing: unauthorized covert operation detected inside Ostania's government; Anya assigned to investigate	Institutional opacity — the operation's purpose and operator are unknown	The intelligence pattern suggests pre-conflict positioning, raising stakes from espionage to potential war; Falk's cynical thought about inflated threat assessments registers as an odd note	Anya takes on a mission whose scope she cannot yet see; the cynical institutional undercurrent is seeded	NO
s01_03	chapter_01	3	Anya and Loid debrief at a cafe; she walks home reading the city's anxious collective mood	Loid's protective instincts vs. his respect for Anya as an operative	Anya reads Loid's fear for her and chooses not to acknowledge it; the walk home registers every mind she passes as a person who doesn't know she's inside their head	The gap between what Anya knows and what she can say presses tighter; the lifelong violation is seeded	NO
s02_01	chapter_02	1	Anya infiltrates an Ostanian state dinner under cover as a cultural attache	High-security event with SSS presence; maintaining cover while scanning telepathically	She establishes her cover identity and begins reading the room — fragments accumulate about 'the initiative,' a timeline, a weapons shipment	Anya is inside the event but surrounded by potential threats and surveillance	NO
s02_02	chapter_02	2	Anya follows the strongest operational thread through the crowd noise	Hundreds of overlapping thoughts; the signal is buried in political and social chatter	The thread leads to a man standing alone near the terrace — Damian Desmond	She has identified the operative but the emotional stakes haven't landed yet	NO
s02_03	chapter_02	3	Anya reads Damian's unguarded thoughts and discovers the truth	The revelation's emotional impact — the target is running a counter-operation AND is a childhood connection	Damian is dismantling the conspiracy, not building it; his thoughts carry memories of a girl with pink hair, a name he almost forms	Anya holds total asymmetric knowledge about Damian's operation and feelings; the mission is personal; the recognition is a ticking clock	YES
s03_01	chapter_03	1	Anya must file her initial assessment to WISE — she decides what to report about Damian	The conflict between institutional loyalty, telepathic knowledge she can't disclose, and personal feeling she can't fully separate from strategic judgment	She files a misleading report — downgrading Damian's profile, minimizing Renewal Front intelligence — while reading Sylvia's complete trust	A traceable lie is now in WISE's system; Sylvia's trust, which Anya read and exploited, makes the betrayal personal	YES
s03_02	chapter_03	2	Anya engineers a chance encounter with Damian at a cultural exchange event	Damian's partial recognition — something familiar he cannot place; his professional guardedness	The conversation becomes a dual-layer game: spoken charm vs. his unfiltered thoughts about her smile, a rehearsed line delivered poorly	Anya pushes deeper into contact than safe protocol allows	NO
s03_03	chapter_03	3	Anya deepens the connection, reading Damian's thoughts to gauge his vulnerability and sincerity	Damian's guarded nature; Anya's own growing emotional response complicating her operational judgment	He agrees to meet again; she reads his loneliness and stubborn decency alongside attraction	She is emotionally entangled — the mission and her feelings are no longer fully separable	NO
s04_01	chapter_04	1	A Renewal Front operative pressures Damian at a policy forum; Anya reads the threat in real time	The operative suspects Damian's loyalty and is considering reporting him	Anya realizes Damian is about to be exposed to the Renewal Front	She must intervene or lose her primary intelligence source and her ally	NO
