scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
s01_01	chapter_01	1	Establish Nora's social world and emotional state at the engagement party	The party itself — coupled happiness surrounding Nora's singleness, the obligation to perform joy for others	Nora shifts from performing enjoyment to privately registering what she lacks	Nora's self-image as someone who is fine alone begins to crack	NO
s01_02	chapter_01	2	Establish the Nora-Simone friendship through their subway debrief of the party	No opposition — this is communion, not conflict	Simone's face does something complicated when Nora mentions her raise — a beat too slow, a beat too bright	The reader's first signal that Simone's warmth has a second layer	NO
s01_03	chapter_01	3	Nora alone in her apartment, downloading Hinge	Self-resistance — downloading a dating app feels like admitting defeat	Nora downloads it, sets up a profile, and closes the app before she can change her mind	She has admitted to herself that she is lonely enough to try	YES
s02_01	chapter_02	1	Nora's first days on Hinge — the bad matches	The comic hopelessness of the dating-app ecosystem	Each bad match intensifies Nora's sense that this was a mistake	Nora's expectations lower, making Caleb's arrival more impactful by contrast	NO
s02_02	chapter_02	2	Nora discovers Caleb's profile and they match	The uncanny perfection of his profile — almost too good	Nora matches with Caleb and their first conversation is electric	Nora is hooked — the chemistry feels unprecedented	YES
s02_03	chapter_02	3	Nora texts Simone about the match and Simone responds with enthusiasm	No visible opposition — the exchange reads as pure friendship	Simone's detailed follow-up questions are indistinguishable from genuine interest	The information pipeline between Nora and the AI's creator is established and invisible	NO
s03_01	chapter_03	1	Reveal the OpenClaw dashboard and Simone's construction of Caleb	The technical difficulty of building a convincing persona from AI tools	Simone reviews the system's conversation logs and fine-tunes personality parameters	The reader sees the scale of the deception — weeks of engineering before Nora ever matched	YES
s03_02	chapter_03	2	Simone's memories of specific injuries — the jealousy's architecture	Simone's own awareness that her resentment may be disproportionate	Each memory reinforces Simone's grievance narrative while the reader sees its distortions	Simone's self-justification is exposed as both understandable and self-serving	NO
s03_03	chapter_03	3	Simone's financial situation — the debt, the precarity	The math of her debt versus her income	Simone tells herself this is just an experiment, she will stop before it goes too far	The reader understands Simone is too invested to stop and too broke not to escalate	YES
s04_01	chapter_04	1	The romance deepens through daily texting — Nora falling for Caleb through language	The absence of physical presence — everything depends on words	Nora tells Caleb things she has only told Simone, not realizing the AI already has this information	Nora's emotional investment is now deep enough that withdrawal would cost her	YES
