scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
sc_01_01	chapter_01	1	Establish Gavin, Miren, and Duncan on the Hogwarts Express; convey the atmosphere of a diminished, frightened student body heading into an occupied school	The atmosphere itself — missing students, rumors, the visible fear on faces — presses on normal social interaction without anyone being able to name the threat directly	Miren's anger shifts the compartment from anxious quiet to something more charged; Duncan's careful blankness registers as a specific, personal cost of the regime	Emotional: the comfort of friendship is already strained by the political context neither Gavin nor Duncan knows how to address	NO
sc_01_02	chapter_01	2	The Sorting Feast under Snape's headmastership; introduce the Carrows and establish the institutional reality of the occupation	Snape's presence in Dumbledore's chair, the Carrows' introduction, the threatening speech — the institution itself has become hostile	The feast that should feel like homecoming feels like a warning; students eat quickly and leave instead of lingering	Emotional: the school Gavin has known for four years has been replaced by something that looks the same and is not	NO
sc_01_03	chapter_01	3	Gavin studies A History of Magic in the library late at night and finds the footnote referencing a pre-wand magical substrate	None external — this is Gavin alone with a textbook. The opposition is the footnote's obscurity: it is easy to miss, parenthetical, buried	Gavin reads the footnote twice. Something in it catches — not dramatically, just the pull of a curious mind encountering a loose thread	None: this costs Gavin nothing except a dog-eared page and a thought he carries to bed	NO
sc_02_01	chapter_02	1	Gavin searches the library catalogue and asks Madam Pince about the manuscript cited in the footnote	Pince's paranoia and hostility; the absence of any catalogue record; the impossibility of getting a Restricted Section permission slip under the current regime	Pince's refusal convinces Gavin the manuscript exists — if it were simply an error, she would not be so adamant. He decides to try the Restricted Section on his own	Time and access: Gavin has burned his safe option (asking) and must now take a risk	NO
sc_02_02	chapter_02	2	Gavin attempts to access the Restricted Section after hours and is caught by Filch, leading to detention with Amycus Carrow	Filch's surveillance; Carrow's authority and cruelty; the physical reality of punishment under the regime	The detention shifts from punishment to education: Gavin learns exactly what the Carrows are willing to do to students over minor infractions. The stinging hexes and forced kneeling are specific and bodily	Physical: bruises, cuts from stinging hexes, three hours of pain, the trembling aftermath	YES
sc_02_03	chapter_02	3	Returning to Hufflepuff after detention, Gavin takes a wrong turn in the shifting corridors and discovers the sub-collection catalogue	The castle's shifting architecture — the corridors that rearrange are both obstacle and, accidentally, guide	The wrong turn yields the right discovery: a small room with an old catalogue listing the manuscript in a sub-collection that appears on no map. Punishment has accidentally produced access	None immediate — but Gavin now has information that will pull him deeper	NO
sc_03_01	chapter_03	1	Gavin navigates to the sub-collection and finds the manuscript	The sub-collection's strangeness — older stonework, no torches, the unsettling quality of self-lit rooms in a part of the castle that feels categorically different	The manuscript is found but is nothing like what Gavin expected: not a book, not parchment, notation that moves representationally. The discovery is also a confrontation with incomprehension	Gavin takes the manuscript back to Hufflepuff — he has committed a kind of theft from a part of the castle that may not be meant to be accessible	YES
sc_03_02	chapter_03	2	Weeks pass as Gavin attempts to decode the manuscript and fails; daily life in the Hufflepuff common room continues around his private obsession	The manuscript's opacity — the notation maps to no known system; Gavin's own limitations as a middling student	The turn is temporal: weeks of failure accumulate into obsession. Gavin transitions from curiosity to compulsion without a single dramatic moment	Emotional: the isolation of a private fixation that Gavin cannot explain or share. Academic time lost to decoding attempts	NO
sc_04_01	chapter_04	1	Gavin brings a page to Professor Babbling in Ancient Runes and asks for help identifying the notation system	Babbling's caution — she is excited by the notation but frightened of drawing Carrow attention to unauthorized research	Babbling recognizes the notation as genuinely unprecedented, pre-Futhark, and provides a translational framework. Then she withdraws: she will not ask what he is using it for	Gavin gains the tool he needs but loses the only expert who might help further — Babbling has drawn a line she will not cross	YES
sc_04_02	chapter_04	2	Gavin works through weeks of slow, painful translation using Babbling's framework; the first decoded passages begin to emerge	The manuscript's difficulty — translation is agonizingly slow, each decoded section raises more questions than it answers	The first decoded content is strange: magic described as 'agreements' that can be 'renegotiated.' The conceptual foundation of the First Art begins to take shape	Time and energy: Gavin's academic work deteriorates as translation consumes his free hours	NO
