scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
chapter_01_scene_01	chapter_01	1	Clear the Friday return pile before cutoff	The inspected bargain model carries an undocumented scar and a retained image of a drowning boy	Mira realizes the damage profile belongs to no listed renter and flags the file instead of closing it	She loses throughput time and starts a pattern the audit software can notice	NO
chapter_01_scene_02	chapter_01	2	Reconcile the anomaly with the renter record	The renter's assistant stonewalls and treats the body as disposable scandal control	The assistant admits the client paid extra for memory dampening and still wants no statement	Mira's curiosity becomes visible to management	NO
chapter_01_scene_03	chapter_01	3	Process the body for disposal without attracting attention	Celia wants the hold shelf cleared and the system demands a final classification	Mira places LM-127B on administrative hold and duplicates the residue scan	She falsifies workflow and creates evidence of tampering	YES
chapter_02_scene_01	chapter_02	1	Close a poor client's appeal before fees finalize	Policy says an undocumented injury voids coverage and turns repair into debt	The client reveals she leases bargain bodies because her own wrists can no longer scrub hotel rooms	Mira can no longer pretend the claims system is neutral	NO
chapter_02_scene_02	chapter_02	2	Get the body repaired outside official channels	Tavi distrusts corporate employees and has neither time nor sterile supplies to waste	He agrees to take the case if Mira brings cash, cases, and silence	Mira enters an illegal partnership with someone who knows more than she does	YES
chapter_03_scene_01	chapter_03	1	Secure Jo's back room as a repair site	Jo does not want cops, tissue leaks, or strangers dying behind her dryers	Jo agrees if Mira and Tavi clean up after themselves and keep laundry customers insulated	The clinic exists only on Jo's tolerance and neighborhood discretion	NO
chapter_03_scene_02	chapter_03	2	Assemble a usable wetbench from salvaged parts	Old equipment fails and sterilants are scarce	The first client arrives before the tools are stable	The desk begins under pressure instead of preparation	NO
chapter_03_scene_03	chapter_03	3	Repair a courier's shredded bargain knee quietly	The body keeps reacting to a subway-fall memory that belongs to no one present	Mira sees the same kind of overlap signature she found in claims	This is a pattern, not a single glitch	NO
chapter_03_scene_04	chapter_03	4	Get through the first night without exposure	Word of mouth brings more clients than the room can safely hold	Jo invents a laundry-membership cover story and the line stays	The desk becomes a standing operation the neighborhood already expects	YES
chapter_04_scene_01	chapter_04	1	Wipe and stabilize the held model before anyone checks the shelf	The body wakes mid-procedure in panic and addresses Mira directly	LM-127B begs not to be returned and speaks from multiple incompatible memories	Mira and Tavi can no longer treat the body as a defective object	YES
chapter_04_scene_02	chapter_04	2	Decide whether to report, sedate, or hide the conscious model	Tavi wants caution, Mira knows reporting means pulp, and the body is listening	The model names themself Lin from a borrowed stairwell memory	Concealment becomes personal and criminal at once	NO
chapter_05_scene_01	chapter_05	1	Get Lin safely through an ordinary morning	Lin keeps slipping between present objects and borrowed sensations	Breakfast and borrowed clothes give Lin their first calm hour in the present	Mira starts acting like a host instead of an investigator	NO
chapter_05_scene_02	chapter_05	2	Introduce Lin to Gabe without a scene	Gabe assumes Mira has brought home a theft problem and Lin reads his defensiveness instantly	Lin makes a shy joke about the apartment chairs and Gabe relaxes	The household expands and so does the risk of exposure	NO
chapter_05_scene_03	chapter_05	3	Decide whether Lin is temporary evidence or a resident	Mira fears attachment and Lin asks what happens to unwanted bodies	Mira gives Lin a key and promises not to return them	She binds herself emotionally and legally to Lin's survival	YES
chapter_06_scene_01	chapter_06	1	Survive Celia's audit without losing access	Missing disposal paperwork and duplicate logs have already been flagged	Celia schedules a deeper review instead of accepting a clerical explanation	Mira's workday stops being a place of cover	NO
chapter_06_scene_02	chapter_06	2	Minimize Yaret Sanz's suspicion	Sanz's questions are specific enough to show he already knows about anomalies	Mira lies about filing lag and sees that Sanz does not believe her	The investigation becomes personal rather than general	NO
chapter_06_scene_03	chapter_06	3	Steal usable proof before the system locks her out	Office surveillance and short access windows leave almost no margin	Mira copies the anomaly wafer from archived claims and walks out with it	If caught, she faces tampering charges in addition to illegal repair work	YES
chapter_07_scene_01	chapter_07	1	Repair a cleaner's sex-torn rental body fast enough to save her from fees	The injury is deep, the anesthetic patchy, and the body carries someone else's arousal panic	Mira and Tavi fall into a rhythm of touch, instruction, and trust that feels intimate before either names it	The repair succeeds but the working boundary between them thins dangerously	NO
chapter_07_scene_02	chapter_07	2	Release the charge without destroying the partnership	Tavi's guilt and Mira's distrust could turn desire into recoil	They have urgent sex in the laundry back room and afterward Tavi admits he wrote part of CommonFrame's aggregate-lattice shortcut	Intimacy deepens even as Mira learns her lover helped make overlap profitable	YES
