scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
s_ch01_01	chapter_01	1	Establish the flood and the families' convergence on the hilltop shrine	The flood itself — rising water, abandoned vehicles, seven families arriving from different directions with no shared plan	The custodians' calm protocol transforms the panic of arrival into enforced order	Families surrender autonomy to the shrine's authority before understanding what that authority will demand	NO
s_ch01_02	chapter_01	2	Custodians register each family and assign sleeping quarters	Families resist being organized by strangers — Deshi's complaints, Venn's insistence on keeping the Kondos together	Olet's quiet authority settles objections without argument — he does not negotiate, he assigns	The families accept externally imposed structure; the hierarchy of the compound is established	NO
s_ch01_03	chapter_01	3	Suna settles her children and confronts her private panic	Deshi's demands, the children's needs, Suna's fear that her lie about her husband will not hold	In a private moment after the children sleep, Suna admits to herself that her husband left — he is not ahead, he is gone	Suna's secret is planted as a load she carries alone; the gap in the Mera family is established	YES
s_ch02_01	chapter_02	1	Fasa prepares the naming and establishes her interior world	Her private uncertainty about whether this group will yield genuine connections or merely comply	Fasa reads the arriving families and identifies the gaps — Jin's economy, Bett's silence, the Leos' careful wording	Fasa has a working map of which families are hiding something before the naming even begins	NO
s_ch02_02	chapter_02	2	The first naming ceremony — each family declares its composition	The families' discomfort with public declaration; Jin's minimal answers; the Leos' struggle with categories	Gitta Tesh declares Fen as her grandson without a flicker — the smoothest declaration is the biggest lie	Every family is on record; their first declarations become the baseline against which all subsequent namings are measured	YES
s_ch03_01	chapter_03	1	Establish the daily routines the custodians impose	Space constraints, different domestic standards, Deshi's criticism of other families' cooking	Routines create unexpected competencies — some families are better at certain tasks, reshuffling informal status	A pragmatic hierarchy forms based on usefulness rather than family size or patriarch authority	NO
s_ch03_02	chapter_03	2	The children's cross-family play group forms	Parental anxiety about children mixing freely across family lines	The children ignore the boundaries their parents maintain — they play by affinity, not lineage	Children's porosity is established as a pattern; the play group becomes the site where manifestations will emerge	NO
s_ch03_03	chapter_03	3	Evening radio news; adults assess the political crisis	Information scarcity — only fragments reach the shrine; Leni eavesdrops on parents' whispered fear	The crisis is worse than parents are telling children — checkpoints, curfew, reports of violence	The families realize rescue is not coming; they are genuinely stranded, not merely inconvenienced	YES
s_ch04_01	chapter_04	1	Suna notices Asha's ear-rubbing gesture and tries to rationalize it	Suna's desire for normalcy — she wants this to be childhood imitation	Asha performs the gesture in her sleep, ruling out conscious copying	Suna can no longer dismiss the behavior as imitation; she must investigate	NO
s_ch04_02	chapter_04	2	Suna approaches Mava Kondo privately and learns the word's origin	Mava's initial silence; Suna's fear of confirmation	Mava reveals the word was her dead sister's endearment — a sister who died on this road forty years ago	The Mera-Kondo connection is confirmed through grief; a four-year-old carries a dead woman's vocabulary	YES
