scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
scene_001	chapter_01	1	Unload June's belongings and keep the mood light	June keeps redirecting toward peers and orientation tasks	Eli realizes she has already moved emotionally beyond the family unit	He feels erased and begins lying about his return timing	NO
scene_002	chapter_01	2	Say goodbye in a way that preserves dignity	Nora texts schedule reminders and expects certainty	Eli promises he is heading home while staying parked for an hour	First deception toward Nora and June	YES
scene_003	chapter_01	3	Start driving east	The empty highway amplifies panic and grief	He misses the eastbound interchange and stays westbound	Disappearance begins as an action, not a thought	YES
scene_004	chapter_02	1	Maintain silence long enough to think	Missed calls from Nora and Cal stack up with bank fraud alerts	Cal's voicemail makes clear Eli has work obligations he is abandoning	Silence becomes professionally and relationally costly	NO
scene_005	chapter_02	2	Break traceability	Phone location, shared apps, and habits tie him to home	Eli throws out his smartphone and buys a burner with cash	He severs easy contact and escalates suspicion	YES
scene_006	chapter_03	1	Reach Indianapolis for cheap motel lodging	Radiator overheats on frontage road	Tow driver requires cash deposit Eli cannot fully cover	Eli is stranded and exposed	NO
scene_007	chapter_03	2	Negotiate partial repair terms	Mechanic distrusts delayed payment promises	Cora suggests kitchen shift to cover gap	Eli trades status for manual labor	NO
scene_008	chapter_03	3	Complete dishwashing shift and keep to himself	Physical strain and coworker banter puncture his composure	He admits to Cora he left his family without a plan	His self-myth cracks in spoken language	YES
scene_009	chapter_03	4	Sleep before driving again	Shame and noise prevent rest	He writes but does not send an apology text	Avoidance costs another day and more lies	NO
scene_010	chapter_04	1	Review available funds and deadlines	Notifications reveal tuition and mortgage due windows	Nora messages evidence of the emergency transfer	Eli can no longer frame his trip as harmless	YES
scene_011	chapter_04	2	Respond to Nora with a calming plan	Nora's message is legal and numerical, not emotional bargaining	Eli delays repayment and sends a vague promise	Trust degrades and legal action accelerates	YES
scene_012	chapter_05	1	Arrive at Theo's apartment and request shelter	Theo answers the door already suspicious	Theo refuses sentimental reunion language	Eli must ask plainly for two nights	NO
scene_013	chapter_05	2	Defend his disappearance as temporary	Theo recounts rehab-era abandonment with dates and specifics	Eli stops arguing and accepts blame without immediate forgiveness	Power shifts to Theo's boundary setting	YES
scene_014	chapter_05	3	Set house terms for the stay	Imani refuses household chaos and names practical rules	Eli agrees to chores, curfew, and no drinking	He loses patriarchal authority posture	NO
scene_015	chapter_06	1	Participate in a normal dinner routine	The rhythm of Theo and Imani's life excludes Eli's old scripts	Humor surfaces over burnt onions and shared music trivia	Eli experiences intimacy without control	NO
scene_016	chapter_06	2	Check work email privately	HR deadline has passed and termination letter is final	Eli tells Theo he has lost job and insurance	Financial and medical vulnerability become immediate	YES
scene_017	chapter_07	1	Plan route and job leads from Theo's atlas	Nora's repayment deadline leaves no feasible timeline	Eli chooses Colorado day labor despite weak odds	He commits to another uncertain leg	NO
scene_018	chapter_07	2	Reestablish contact with June	June declines call and sends brief boundary text	Eli leaves increasingly performative voicemails	Relational distance hardens	NO
scene_019	chapter_07	3	Call Nora with a repayment promise	Nora requests dates and amounts, not apologies	Eli promises seventy-two-hour movement he cannot meet	Future breach is preloaded	YES
