scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
chapter_01_scene_01	chapter_01	1	Secure the mission terms and understand what Vautrin really wants	Vautrin uses Elise's mother's bills and her deniable status as leverage	Elise realizes the assignment is meant to justify a larger dragnet, not a precise arrest	She accepts a job she already distrusts because refusal would abandon her mother and herself	NO
chapter_01_scene_02	chapter_01	2	Gain entry to the quarry contact chain under the Jeanne Morel alias	An early police arrest shreds the planned handoff and leaves Clemence suspicious	The courier is taken and Elise improvises her cover in motion	She wins shelter only by letting another operative-contact disappear into custody	YES
chapter_02_scene_01	chapter_02	1	Map the refuge while pretending merely to settle in	Sensory disorientation and communal kindness make detached observation harder	Lucie assumes Elise can help with lessons and folds her into supper	Elise's target set acquires texture, appetite, and childhood	NO
chapter_02_scene_02	chapter_02	2	Identify the leader and test how dangerous he is	Lucien notices false notes in Elise's story without exposing her publicly	He invites her deeper into the schoolroom instead of keeping her at the margin	She must keep lying face to face to a man who treats her as teachable	YES
chapter_03_scene_01	chapter_03	1	Send the first report without burning her new cover	Dead-drop surveillance risk and her own reluctance narrow what she can say	Elise deliberately leaves out Clemence and Lucie	Vautrin receives useful intelligence but not the full human map he wants	NO
chapter_03_scene_02	chapter_03	2	Get Clemence and Lucie through a sudden sweep near the laundry yard	Police vans close the street and panic spreads faster than orders	Elise moves them through the gap with instincts too polished for her cover	Clemence begins noticing that Jeanne reacts like someone trained to read raids	YES
chapter_03_scene_03	chapter_03	3	Keep Vautrin satisfied after the thin report	Vautrin hears the omission in the report's shape even without proof	He widens the sweep rather than waiting for better evidence	Elise's first lie produces more arrests elsewhere in the city	NO
chapter_04_scene_01	chapter_04	1	Find evidence of operational planning in the print room	Abel resents scrutiny and the room is full of ordinary labor rather than weapons	Elise finds ration lists, primers, and relief broadsides instead of an attack plan	Her assumptions about the quarry's purpose begin to erode	NO
chapter_04_scene_02	chapter_04	2	Test Ferrand the moment he enters the refuge's orbit	Ferrand is charming enough to pass, and Lucien hates paranoia for its own sake	Ferrand names powder and fuses before anyone asks about them	Elise identifies him as the real destabilizer but cannot expose why she knows it	YES
chapter_05_scene_01	chapter_05	1	Learn whether the May Day threat is real	A communal meeting splits between Lucien's restraint and Ferrand's appetite for spectacle	Abel publicly aligns himself with Ferrand's rhetoric	The ideological disagreement becomes a practical risk with a willing young instrument	YES
chapter_05_scene_02	chapter_05	2	Decide what to do with the cache ledger before Vautrin demands it	Fear of being searched competes with fear of helping the police too far	Elise hides the ledger in a quarry niche instead of turning it over	She begins actively interfering with her own assignment and loses clean deniability	NO
chapter_06_scene_01	chapter_06	1	Use wash day to study Lucien and the others aboveground	Ordinary ease and humor loosen the distance Elise depends on	Clemence relaxes enough to tease Lucie and share chores without guard-talk	Elise finds herself enjoying a world she entered to dismantle	NO
chapter_06_scene_02	chapter_06	2	Push Lucien into revealing what the quarry means to him	Lucien listens closely enough to hear where Elise's invented life frays	He tells her how the refuge grew from evictions, prison visits, and old maps	Elise nearly says her own name and leaves the scene more compromised than before	YES
chapter_07_scene_01	chapter_07	1	Deliver paper and money to a print runner without drawing notice	Vautrin's men strike early, Ferrand vanishes, and the room collapses into panic	Nadir chooses to drag an injured runner instead of saving the bundle	The job is blown and Elise's side knowledge is suddenly dangerous	YES
chapter_07_scene_02	chapter_07	2	Preserve cover after the raid by destroying her reporting tools	Losing the slips will cut her off from official channels she may still need	Elise burns the cipher slips in an alley drain while Clemence watches from a distance	She is stranded between sides with no safe way back to routine obedience	NO
chapter_08_scene_01	chapter_08	1	Count who and what is left after the raid	Grief, hunger, and blame make every tally feel accusatory	Lucien cannot decide whose absence hurts most and stalls the room	The commune sees how badly leadership falters under domestic scarcity	NO
chapter_08_scene_02	chapter_08	2	Rebuild a minimal survival plan	Clemence will not trust the cash and papers to anyone lightly	Elise volunteers to carry the reserve funds and forged documents to a new cache	She becomes physically entangled in the commune's survival rather than merely observing it	YES
chapter_09_scene_01	chapter_09	1	Learn what Vautrin and Ferrand are planning now	Risk of recognition and Vautrin's scrutiny make re-entry into police space dangerous	Elise finds payment records and draft warrants showing Ferrand is meant to manufacture a bomb case	She now knows silence could make her complicit in a massacre-by-paper	YES
chapter_09_scene_02	chapter_09	2	Warn Lucien without exposing her full role	Telling the whole truth would detonate her cover before the commune is ready to hear it	Elise names Ferrand as danger and presses for moving the press	Her warning helps, but Lucien still lacks the source logic that would let him judge her fully	NO
chapter_10_scene_01	chapter_10	1	Get the hand press and records into a safer chamber	The load is awkward, the passages are narrow, and trust is frayed	Elise takes the front lift when others hesitate and helps save the type cases	She earns practical credibility at the cost of exhaustion and deeper investment	NO
chapter_10_scene_02	chapter_10	2	Decide whether to stop at comradeship or cross into desire	Their mutual secrecy and the night's fatigue make intimacy morally dangerous	Lucien and Elise have sex after the move, with no clean line between comfort and surrender	Their attachment becomes bodily evidence against every abstraction either has lived by	YES
chapter_11_scene_01	chapter_11	1	Get Nadir through a routine delivery without incident	Police pick him up in public and Ferrand seems unsurprised	Nadir is taken before Elise can intervene	The commune loses its steadiest practical intelligence and its best compositor	NO
chapter_11_scene_02	chapter_11	2	Keep the arrest from becoming a call for spectacle	Ferrand turns Nadir's seizure into propaganda and Lucien's restraint reads as weakness	Abel sees that Ferrand's satchel is unattended and that nobody can stop him by argument alone	The room fractures into grief, blame, and dangerous opportunity	NO
chapter_11_scene_03	chapter_11	3	Find Abel before he leaves with the explosives	Time is gone, Lucie overhears too much, and no one trusts the same facts	Abel vanishes with the gelignite and pistol	What was political debate becomes a countdown with a moving target	YES
chapter_12_scene_01	chapter_12	1	Search the city for Abel before night falls	False leads, market crowds, and ordinary amusements keep swallowing time	A bookseller points them toward the old tollhouse route Abel used as a courier	Hours are lost and dusk turns the search into dread	NO
chapter_12_scene_02	chapter_12	2	Hold the search together long enough to think clearly	Truth and affection press against each other more urgently than strategy	Lucien admits he knows Elise has lied and chooses not to force confession tonight	The mercy deepens the harm his later discovery will carry	YES
chapter_13_scene_01	chapter_13	1	Talk Abel down and keep Ferrand from triggering the explosives	Abel wants martyrdom and Ferrand wants a usable blast, not a clean escape	Ferrand reaches for the fuse as Abel points the gun at Elise	Words fail and the conflict narrows to bodies in a room	NO
