scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
s01_01	chapter_01	1	Complete the fake sin-eating ritual convincingly over the dead farmer's body	The family watches closely; the body is fresh; Maren must sell the performance through precise physical choreography	The ritual unexpectedly works — something answers from within the accumulated contamination	The paladin's consciousness, combat training, and memories slam into Maren without warning or consent	NO
s01_02	chapter_01	2	Survive the overwhelming sensory and psychological onslaught of the paladin's arrival	Aldric tries to impose his will — demanding prayer, submission, control of the body he now shares	Maren fights back mentally, refusing the paladin's authority despite physical collapse; vomits in the ditch	Maren loses muscular control in front of the farmer's family; his reputation as a calm, competent sin-eater is destroyed	YES
s01_03	chapter_01	3	Establish terms of coexistence with the hostile consciousness now sharing his skull	Aldric considers Maren morally repugnant and says so; Maren considers Aldric insufferable and invasive	Aldric begins grudgingly reading the System interface to Maren — the first mediated access to what everyone else sees	Maren's eleven-year blindness is suddenly narrated by someone who despises everything about him	NO
s02_01	chapter_02	1	Get through a normal morning in Fenhold without anyone noticing something has changed	Aldric provides running commentary on everything: hygiene, food, moral choices, ambient System data	Maren discovers Aldric can read the full interface in real-time — skills, levels, nearby threats, quest data — revealing twenty-eight years of missed information	Maren's daily fraud routine is permanently disrupted; he can never return to the comfortable blindness of not knowing	NO
s02_02	chapter_02	2	Establish workable boundaries with Aldric before the shared existence becomes unbearable	Aldric's grief surfaces — he is dead, had an order, had people, and is now trapped with no body and no exit	Maren sees Aldric as a grieving person rather than an annoyance; sincerity enters a dynamic that was pure comedy	The relationship acquires emotional weight Maren is not equipped to handle; he owes something to a dead man he didn't invite	YES
s03_01	chapter_03	1	Maintain the fraud with Derry while processing Aldric's constant presence	Derry notices Maren flinching at threat notifications and glancing at quest markers he's never acknowledged	Derry realizes something fundamental has changed; the trust that sustained their partnership cracks	The fraud partnership begins failing because Maren's behavior no longer matches the blindness he has always performed	NO
s03_02	chapter_03	2	Understand what the System now registers when it encounters Maren	The System classifies Maren as an unclassified entity and generates a bounty visible across the region	The bounty number is impossibly large — orders of magnitude beyond a standard sin-eater valuation	Every hero in range can see Maren's bounty; his lifelong invisibility is over	YES
s03_03	chapter_03	3	Decide whether to flee Fenhold and what that costs	Derry's wife Lenna and daughter Pell cannot come; leaving splits Derry from his family	Derry chooses to accompany Maren out of loyalty and the fear of what happens if Maren is caught alone and questioned about their shared fraud	Derry's family is left behind; the human cost of Maren's new reality lands on someone who never chose any of this	NO
s04_01	chapter_04	1	Put distance between themselves and Fenhold on hero-patrolled roads	Quest-light marks their route; heroes patrol these roads and the bounty is fresh	They discover an abandoned quest pooling contamination toward a nearby settlement — Maren faces a choice between safety and intervention	The detour costs time and draws System attention; choosing to help means performing a ritual he's only ever faked	NO
s04_02	chapter_04	2	Clear the contamination before it reaches the settlement using a real sin-eating consumption	Maren doesn't know the actual ritual order — he has only performed the fake version for eleven years	The botched consumption pulls in the assassin fragment (Vess), who arrives furious about sharing skull-space with a paladin and an incompetent host	Three consciousnesses now occupy one skull; Vess's combat instincts and tactical awareness flood Maren's already overloaded senses	YES
