scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
scene_01_01	chapter_01	1	Get the Vale house shuttered before the storm lands	The wind outruns the warning bell and Dell is still away from home	Thea stumbles in half-blind from dust, forcing Cora to open the house and lose time she meant to spend searching for Dell	Cora trades immediate safety for another person's survival and feels how exposed the household already is	NO
scene_01_02	chapter_01	2	Keep panic from breaking the household while the storm blacks out noon	Dust invades every seam, the animals batter the shed, and Dell still has not returned	Dell finally claws his way home, but only after Cora has imagined burying a second family member	Everyone enters the house alive but stripped raw, and Dell sees the scale of Cora's fear	YES
scene_01_03	chapter_01	3	Clean enough of the front room to restore ordinary life after the storm	The dust will not stay outside, and grief makes every object feel occupied by Ezra	Breathing on the window draws out a memory of Ezra signing papers in August's office	Cora loses the clean story that has steadied her since Ezra's death	NO
scene_02_01	chapter_02	1	Reopen the schoolhouse and convince the remaining children that routine still exists	The room is ruined with dust and half the desks belong to families who left overnight	A memory on the window shows children reciting names of absent classmates as if the room itself is taking attendance	Thea understands that Morrow's losses are cumulative and public, not private accidents	NO
scene_02_02	chapter_02	2	Get through the evening without letting the Lincoln letter change anything yet	The letter offers a real exit, while Cora's exhausted tenderness makes leaving feel like treachery	Thea hides the interview offer during a quiet meal and chooses, for one more night, not to disturb the fragile household	Thea carries a secret future that now competes with every act of care she gives Cora	YES
scene_03_01	chapter_03	1	Test whether Hester can preserve a dust-memory instead of waiting for random apparitions	Ridicule, shaky hands, and the possibility that grief is making fools of them	A sealed jar reveals Otto's finger marking wet ground where Saint's Basin used to lie	Hester gains proof that the phenomenon has repeatable limits and is tied to place	NO
scene_03_02	chapter_03	2	Get Dell an answer about Ezra that is harder than gossip but not yet final	Dell wants innocence for Ezra and Hester knows the jars may refuse him	Another jar shows Ezra hiding a paper from Cora, not confessing but undeniably concealing	Dell trades comfort for pursuit and joins Hester's search	YES
scene_03_03	chapter_03	3	Choose a next step instead of treating the jars as parlor wonders	Cora would stop Dell if she knew, and the landscape may no longer match Otto's map	Hester decides they will go find Saint's Basin in daylight using the map and Dell's eye for grade and runoff	Dell steps into adult secrecy for the first time and cannot easily step back out	NO
scene_04_01	chapter_04	1	Keep the bank operating as if Morrow is still manageable	Delinquent farmers, the county examiner, and the storm's afterimage make order look theatrical	A mirror flare briefly shows August's father dismissing Otto's warning about overplowing	August destroys the evidence and confirms to himself that procedure will not contain the past	NO
scene_04_02	chapter_04	2	Protect the bank's position before outside authorities decide Morrow's fate	The examiner wants clear titles and fewer extensions, and August knows Cora's note is symbolic as well as financial	August shortens Cora's extension to prove he is still in command	He buys temporary institutional credibility by making himself the immediate enemy of the Vales	YES
