scene_id	chapter_id	scene_order	objective	opposition	turn	consequence_cost	tension_peak
chapter_01_scene_01	chapter_01	1	Accept the award and keep the family embarrassment from swallowing the night.	The family arrives late and conspicuous, and Tiana feels the class gap between her household and other families.	Tiana gets her scholarship packet and hears the dorm deadline spoken aloud.	She chooses concealment over openness, beginning the book's pattern of strategic silence.	NO
chapter_01_scene_02	chapter_01	2	Get home believing the apartment still exists as a stable fact.	A red code-enforcement notice is posted on the garage door, and Delroy treats it like paperwork that can be charmed away.	Marcia reads the notice closely and confirms a 90-day compliance or vacate clock.	The family's housing becomes a countdown, and Tiana buries her own deadline deeper.	YES
chapter_02_scene_01	chapter_02	1	Make the Sunday church appearance and partner contribution look normal.	Marcia is short on cash and knows every eye notices who is late with money.	She puts the utility cash into Yvette's hand anyway.	The future payout becomes more crucial while the immediate household grows shakier.	NO
chapter_02_scene_02	chapter_02	2	Contain Micah's school trouble before it reshapes his name.	The dean's message frames the fight before Micah can explain it, and Micah refuses the posture of apology.	The hearing is set and the insult that triggered the fight comes fully into view.	The family loses emotional room on top of money.	NO
chapter_02_scene_03	chapter_02	3	Keep Sunday dinner inside the borders of ordinary family life.	Tiana is hiding college timing, Micah is spoiling for respect, and Delroy keeps making jokes instead of plans.	The meal exposes that everyone is already managing a private emergency.	Baseline trust thins even in a chapter built around food and home.	YES
chapter_03_scene_01	chapter_03	1	Get picked for steady work at the labor yard.	Contractors sort men by age, language, body condition, and assumed usefulness before speaking to them.	Delroy is passed over repeatedly while younger men climb into trucks.	He leaves with wounded pride and no legal paycheck in hand.	NO
chapter_03_scene_02	chapter_03	2	Secure bridge money without admitting desperation at home.	Claude offers cash only as debt tied to future labor and public obligation.	Delroy accepts the $400 advance and the promise of a demolition weekend.	Hidden debt enters the household economy.	YES
chapter_04_scene_01	chapter_04	1	Get through the wait outside the discipline office without looking scared.	The school building itself feels accusatory, and Marcia's silence makes Micah feel already judged.	The school cop joins the meeting.	Micah's body goes on alert before anyone has ruled on him.	NO
chapter_04_scene_02	chapter_04	2	Avoid suspension by telling the fight story on his own terms.	The dean and cop read him as a type, and Micah answers pressure with attitude.	He mouths off at the wrong moment and the suspension becomes official.	School becomes another system that has already priced him in.	YES
chapter_04_scene_03	chapter_04	3	Leave the office with some version of dignity.	Humiliation follows him onto the bus, and Dre offers a faster route to money than school ever has.	Micah listens instead of dismissing the dock-work offer.	Cash labor starts to look more rational than compliance.	NO
chapter_04_scene_04	chapter_04	4	Convince himself the suspension does not matter.	At home he can hear adult worry through thin walls and has no private place to fail.	He pockets the clippers and decides earning will count more than explaining.	He takes the first inward step away from the student identity.	NO
chapter_05_scene_01	chapter_05	1	Ask for extra hours or an advance without losing face.	Celia is weaker, Elena is already staging the end, and class etiquette narrows what Marcia can say.	Elena offers sympathy but no immediate money or hours.	Marcia leaves with less time and no extra income.	NO
chapter_05_scene_02	chapter_05	2	Rebuild a survival plan on the bus ride home.	The arithmetic does not work unless the partner hand lands exactly when promised.	Marcia decides to increase her commitment to the July payout instead of pulling back.	One fragile financial instrument becomes the book's central near-term hinge.	YES
chapter_06_scene_01	chapter_06	1	Feel like a real incoming college student for one morning.	Other families move through campus with money, confidence, and parental certainty Tiana does not have.	Tiana sees how much of college is built on unseen family infrastructure.	Her ambition becomes more urgent and more lonely.	NO
chapter_06_scene_02	chapter_06	2	Finalize aid paperwork before another deadline slips.	The file is blocked by the expired resident card and missing parental documentation.	The aid officer places a hold that stops the scholarship from converting into enrollment.	The dream is no longer delayed in theory but stalled in writing.	YES
chapter_06_scene_03	chapter_06	3	Get herself home without breaking down in public.	Malik's steadiness invites honesty, but Tiana hates being witnessed at her most administratively helpless.	She decides Delroy will answer for the paperwork that night.	Confrontation becomes unavoidable.	NO
chapter_07_scene_01	chapter_07	1	Collect the partner payout and turn sacrifice into cash.	Yvette is absent, the room grows suspicious, and no one wants to say collapse before it is confirmed.	A voice note reveals Yvette raided the hand after her husband's stroke and mortgage crisis.	Marcia's rescue fund disappears in a room full of witnesses.	YES
chapter_07_scene_02	chapter_07	2	Tell the family the money is gone without disintegrating.	Tiana's college deadline and Delroy's need to locate blame leave no room for Marcia's private grief.	Marcia states the amount lost out loud.	The household loses faith in the one plan that had felt mathematically possible.	YES
chapter_08_scene_01	chapter_08	1	Force Delroy to explain the missing document money.	Delroy is ashamed, defensive, and cornered in front of Marcia and the children.	He admits he used the renewal money to cover rent months earlier.	Tiana's trust in him breaks, and Marcia realizes she was cut out of the truth.	YES
chapter_08_scene_02	chapter_08	2	Get through the city night without going back upstairs.	Tiana wants escape without pity, and Malik refuses to let her turn silence into a full story.	She admits she has been imagining him as a way to breathe.	Intimacy becomes ethically charged before it becomes physical.	NO
chapter_08_scene_03	chapter_08	3	Find relief in someone else's room without having to solve anything.	Tiana's fear of need and Malik's refusal to be used hover inside the attraction.	They have sex for the first time, and it changes what either can pretend the relationship is.	Pleasure carries consequence, not just comfort.	YES
chapter_08_scene_04	chapter_08	4	Decide what the night means on the ride back home.	The crisis remains unsolved, and dawn turns secrecy back into responsibility.	Tiana chooses not to tell her family where she was.	Another layer of concealment settles over the house.	NO
chapter_09_scene_01	chapter_09	1	Make a family beach day happen before the house becomes only crisis management.	Everyone distrusts Delroy's sudden enthusiasm and reads the outing as performance.	The family still gets in the car and goes.	For a few hours the novel opens into a wider, less tactical space.	NO
chapter_09_scene_02	chapter_09	2	Hold the feeling of ordinary life at Virginia Key.	Old resentments keep surfacing in jokes and silences, and Marcia cannot fully stop calculating.	Elena calls to say Celia has died.	Marcia loses both a person she cared for and the job tied to that care.	YES
chapter_09_scene_03	chapter_09	3	Translate fresh loss into an actionable next move.	Delroy has no authority left and almost no money.	He commits himself to Claude's demolition job without telling Marcia.	He chooses a dangerous form of love that will further reduce him.	NO
chapter_10_scene_01	chapter_10	1	Get onto the demolition crew and finish a shift no matter what.	The site is unsafe, the crew is rushed, and Delroy's shoulder is already unreliable.	He lies about how much weight and machine work he can take.	He enters the shift already paying with the body he has left.	NO
